x	y	progress.rate.q.0.05.0.00.quality.maturePerformance	progress.rate.q.0.05.0.00.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.0.10.quality.maturePerformance	progress.rate.q.0.05.0.10.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.0.25.quality.maturePerformance	progress.rate.q.0.05.0.25.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.0.50.quality.maturePerformance	progress.rate.q.0.05.0.50.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.1.00.quality.maturePerformance	progress.rate.q.0.05.1.00.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.
0	0	nan	nan	2.300e-01	-1.735e-03	2.300e-01	-1.735e-03	1.000e+00	9.583e-02	1.000e+00	9.583e-02
0	1	nan	nan	5.000e-02	-9.089e-10	1.000e+00	6.767e-02	1.000e+00	6.767e-02	1.000e+00	6.767e-02
0	2	nan	nan	6.500e-01	5.256e-02	1.000e+00	2.350e-01	1.000e+00	2.350e-01	1.000e+00	2.350e-01
0	3	nan	nan	2.100e-01	5.811e-03	1.000e+00	7.395e-02	1.000e+00	7.395e-02	1.000e+00	7.395e-02
0	4	nan	nan	5.000e-01	4.218e-02	6.500e-01	4.851e-02	7.000e-01	-6.030e-03	1.000e+00	1.012e-01
0	5	-5.000e-02	-2.811e-02	6.500e-01	7.832e-02	6.500e-01	7.832e-02	6.500e-01	7.832e-02	6.500e-01	7.832e-02
0	6	nan	nan	2.600e-01	6.996e-02	6.500e-01	8.783e-02	6.500e-01	8.783e-02	6.500e-01	8.783e-02
0	7	nan	nan	3.400e-01	6.695e-02	6.500e-01	-4.998e-02	6.500e-01	-4.998e-02	6.500e-01	-4.998e-02
0	8	3.800e-01	-5.919e-02	5.100e-01	1.051e-01	5.100e-01	1.051e-01	6.500e-01	9.133e-02	6.500e-01	9.133e-02
0	9	1.000e-01	-2.093e-03	5.900e-01	-3.500e-02	6.500e-01	-3.463e-02	6.500e-01	-3.463e-02	6.500e-01	-3.463e-02
1	0	nan	nan	nan	nan	nan	nan	1.000e+00	9.668e-02	1.000e+00	9.668e-02
1	1	nan	nan	nan	nan	1.000e+00	1.634e-01	1.000e+00	1.634e-01	1.000e+00	1.634e-01
1	2	nan	nan	nan	nan	1.000e+00	1.220e-01	1.000e+00	1.220e-01	1.000e+00	1.220e-01
1	3	nan	nan	nan	nan	9.900e-01	1.079e-01	1.000e+00	2.701e-01	1.000e+00	2.701e-01
