n.evals.q.1.0.	xor._.me.hebbian.network.best.quality.increase	xor._.me.hebbian.network.best.quality.increase.min	xor._.me.hebbian.network.best.quality.increase.max	xor._.me.hebbian.layer.best.quality.increase	xor._.me.hebbian.layer.best.quality.increase.min	xor._.me.hebbian.layer.best.quality.increase.max	xor._.me.hebbian.neuron.best.quality.increase	xor._.me.hebbian.neuron.best.quality.increase.min	xor._.me.hebbian.neuron.best.quality.increase.max	xor._.me.hebbian.synapse.best.quality.increase	xor._.me.hebbian.synapse.best.quality.increase.min	xor._.me.hebbian.synapse.best.quality.increase.max	xor._.me.freeForm.best.quality.increase	xor._.me.freeForm.best.quality.increase.min	xor._.me.freeForm.best.quality.increase.max
1.000e+02	1.608e-01	8.127e-02	4.826e-01	4.579e-01	3.273e-01	4.994e-01	4.339e-01	3.451e-01	4.964e-01	5.006e-01	3.870e-01	5.822e-01	2.136e-01	1.251e-01	4.332e-01
2.000e+02	9.791e-02	6.675e-02	1.852e-01	3.890e-01	2.920e-01	4.671e-01	6.591e-01	3.196e-01	7.834e-01	5.822e-01	3.397e-01	6.897e-01	2.447e-01	9.130e-02	4.717e-01
3.000e+02	9.067e-02	6.248e-02	1.608e-01	3.058e-01	1.467e-01	4.477e-01	4.924e-01	3.417e-01	7.816e-01	5.354e-01	2.696e-01	7.255e-01	2.250e-01	7.460e-02	3.327e-01
4.000e+02	8.970e-02	6.248e-02	1.481e-01	2.717e-01	1.326e-01	4.095e-01	4.513e-01	3.331e-01	5.168e-01	5.354e-01	3.397e-01	7.255e-01	1.996e-01	7.470e-02	3.038e-01
5.000e+02	8.851e-02	6.248e-02	1.084e-01	2.664e-01	6.581e-02	4.095e-01	4.513e-01	3.669e-01	4.924e-01	5.215e-01	3.397e-01	7.378e-01	1.904e-01	7.470e-02	3.642e-01
6.000e+02	8.851e-02	6.248e-02	1.084e-01	2.341e-01	6.581e-02	3.608e-01	4.228e-01	3.620e-01	4.917e-01	5.757e-01	3.821e-01	7.378e-01	1.996e-01	7.498e-02	4.332e-01
7.000e+02	8.851e-02	6.248e-02	1.084e-01	1.977e-01	4.776e-02	3.608e-01	4.212e-01	3.593e-01	4.917e-01	6.237e-01	5.000e-01	7.378e-01	2.249e-01	7.498e-02	4.332e-01
8.000e+02	8.851e-02	6.248e-02	1.084e-01	9.881e-02	1.710e-03	3.273e-01	4.171e-01	3.620e-01	4.872e-01	5.569e-01	3.870e-01	7.181e-01	1.904e-01	8.373e-02	3.998e-01
9.000e+02	8.851e-02	6.248e-02	1.084e-01	9.881e-02	-1.707e-02	3.058e-01	4.126e-01	3.620e-01	4.861e-01	5.612e-01	3.821e-01	6.944e-01	1.904e-01	8.482e-02	3.998e-01
1.000e+03	8.851e-02	6.248e-02	1.084e-01	9.881e-02	-1.707e-02	2.717e-01	3.835e-01	2.963e-01	4.228e-01	5.417e-01	3.722e-01	6.944e-01	1.845e-01	8.482e-02	3.998e-01
1.100e+03	8.851e-02	6.248e-02	1.084e-01	9.881e-02	-1.707e-02	2.666e-01	3.835e-01	2.963e-01	4.228e-01	5.612e-01	3.821e-01	6.882e-01	2.251e-01	8.482e-02	4.332e-01
1.200e+03	8.851e-02	6.248e-02	1.084e-01	9.200e-02	-1.707e-02	2.662e-01	3.910e-01	2.963e-01	4.259e-01	5.638e-01	3.722e-01	6.736e-01	2.447e-01	8.644e-02	4.332e-01
1.300e+03	8.851e-02	6.248e-02	1.084e-01	9.200e-02	-1.707e-02	2.662e-01	3.910e-01	2.963e-01	4.513e-01	5.612e-01	3.722e-01	6.703e-01	2.251e-01	8.644e-02	4.176e-01
1.400e+03	8.851e-02	6.248e-02	1.084e-01	9.881e-02	4.404e-02	2.662e-01	3.835e-01	2.894e-01	4.259e-01	5.612e-01	3.821e-01	6.736e-01	2.447e-01	9.130e-02	4.176e-01
1.500e+03	8.851e-02	6.248e-02	1.084e-01	9.881e-02	4.404e-02	2.662e-01	3.835e-01	2.963e-01	4.259e-01	5.612e-01	4.100e-01	6.736e-01	2.447e-01	9.130e-02	4.176e-01
1.600e+03	8.851e-02	6.248e-02	1.084e-01	1.090e-01	6.581e-02	2.662e-01	3.835e-01	2.963e-01	4.259e-01	5.022e-01	3.821e-01	6.703e-01	2.251e-01	9.130e-02	3.965e-01
1.700e+03	8.851e-02	6.248e-02	1.084e-01	1.186e-01	6.581e-02	2.662e-01	3.669e-01	2.894e-01	4.133e-01	5.109e-01	3.821e-01	6.703e-01	2.538e-01	9.632e-02	4.176e-01
1.800e+03	8.851e-02	6.248e-02	1.084e-01	1.198e-01	6.734e-02	2.662e-01	3.669e-01	2.894e-01	4.133e-01	5.612e-01	4.225e-01	6.736e-01	1.904e-01	9.130e-02	3.965e-01
1.900e+03	8.851e-02	6.248e-02	1.084e-01	1.198e-01	6.734e-02	2.602e-01	3.669e-01	2.894e-01	4.133e-01	5.612e-01	4.225e-01	6.736e-01	1.904e-01	8.644e-02	4.332e-01
2.000e+03	8.851e-02	6.248e-02	1.084e-01	1.198e-01	6.734e-02	2.602e-01	3.651e-01	2.785e-01	4.133e-01	5.109e-01	4.100e-01	6.703e-01	2.538e-01	9.130e-02	4.254e-01
2.100e+03	8.851e-02	6.248e-02	1.084e-01	1.351e-01	6.734e-02	2.662e-01	3.620e-01	2.740e-01	4.133e-01	5.167e-01	4.100e-01	6.703e-01	2.747e-01	9.130e-02	5.144e-01
2.200e+03	8.851e-02	6.248e-02	1.084e-01	1.351e-01	6.734e-02	2.662e-01	3.620e-01	2.740e-01	4.133e-01	5.000e-01	3.752e-01	6.084e-01	2.950e-01	9.632e-02	4.558e-01
2.300e+03	8.851e-02	6.248e-02	1.084e-01	1.745e-01	7.756e-02	2.662e-01	3.620e-01	2.740e-01	4.133e-01	4.985e-01	3.752e-01	6.084e-01	2.950e-01	9.632e-02	4.558e-01
2.400e+03	8.851e-02	6.248e-02	1.084e-01	1.508e-01	7.756e-02	2.602e-01	3.620e-01	2.740e-01	4.133e-01	4.985e-01	3.752e-01	6.084e-01	2.950e-01	9.632e-02	4.558e-01
2.500e+03	8.851e-02	6.248e-02	1.084e-01	1.508e-01	7.756e-02	2.602e-01	3.620e-01	2.740e-01	4.133e-01	4.985e-01	3.821e-01	6.084e-01	2.950e-01	9.130e-02	4.558e-01
2.600e+03	8.851e-02	6.248e-02	1.084e-01	1.745e-01	7.756e-02	2.666e-01	3.620e-01	2.702e-01	4.133e-01	4.745e-01	3.752e-01	5.867e-01	3.009e-01	9.632e-02	4.558e-01
2.700e+03	8.851e-02	6.248e-02	1.084e-01	1.879e-01	8.713e-02	2.666e-01	3.584e-01	2.675e-01	4.133e-01	4.745e-01	3.752e-01	5.867e-01	3.452e-01	1.055e-01	4.586e-01
2.800e+03	8.851e-02	6.248e-02	1.084e-01	1.879e-01	8.713e-02	2.647e-01	3.584e-01	2.675e-01	4.133e-01	4.745e-01	3.752e-01	5.867e-01	3.452e-01	1.055e-01	4.586e-01
2.900e+03	8.851e-02	6.248e-02	1.084e-01	1.879e-01	8.713e-02	2.647e-01	3.584e-01	2.675e-01	4.133e-01	4.745e-01	3.752e-01	6.084e-01	3.135e-01	1.055e-01	4.586e-01
3.000e+03	8.851e-02	6.248e-02	1.084e-01	1.745e-01	7.756e-02	2.647e-01	3.584e-01	2.675e-01	4.133e-01	4.745e-01	3.821e-01	6.084e-01	3.135e-01	1.055e-01	4.586e-01
3.100e+03	8.851e-02	6.248e-02	1.084e-01	1.745e-01	7.756e-02	2.647e-01	3.584e-01	2.675e-01	4.133e-01	4.665e-01	3.722e-01	5.867e-01	3.135e-01	1.055e-01	4.586e-01
3.200e+03	8.851e-02	6.248e-02	1.084e-01	1.745e-01	7.756e-02	2.647e-01	3.584e-01	2.675e-01	4.133e-01	4.665e-01	3.722e-01	5.867e-01	3.009e-01	1.055e-01	5.300e-01
3.300e+03	8.851e-02	6.248e-02	1.084e-01	1.745e-01	7.756e-02	2.541e-01	3.584e-01	2.675e-01	4.133e-01	4.665e-01	3.722e-01	5.867e-01	3.009e-01	1.055e-01	4.586e-01
3.400e+03	8.851e-02	6.248e-02	1.084e-01	1.745e-01	7.756e-02	2.541e-01	3.584e-01	2.675e-01	4.133e-01	4.665e-01	3.722e-01	5.867e-01	3.009e-01	1.055e-01	4.586e-01
3.500e+03	8.851e-02	6.248e-02	1.084e-01	1.899e-01	7.756e-02	2.633e-01	3.584e-01	2.675e-01	4.133e-01	4.665e-01	3.722e-01	5.867e-01	3.009e-01	1.055e-01	4.558e-01
