x	y	progress.rate.q.0.05.0.00.fitness	progress.rate.q.0.05.0.00.frozen	progress.rate.q.0.05.0.00.copy.no.reset	progress.rate.q.0.05.0.00.copy.reset	progress.rate.q.0.05.0.00.or.no.reset	progress.rate.q.0.05.0.00.or.reset	progress.rate.q.0.05.0.10.fitness	progress.rate.q.0.05.0.10.frozen	progress.rate.q.0.05.0.10.copy.no.reset	progress.rate.q.0.05.0.10.copy.reset	progress.rate.q.0.05.0.10.or.no.reset	progress.rate.q.0.05.0.10.or.reset	progress.rate.q.0.05.0.25.fitness	progress.rate.q.0.05.0.25.frozen	progress.rate.q.0.05.0.25.copy.no.reset	progress.rate.q.0.05.0.25.copy.reset	progress.rate.q.0.05.0.25.or.no.reset	progress.rate.q.0.05.0.25.or.reset	progress.rate.q.0.05.0.50.fitness	progress.rate.q.0.05.0.50.frozen	progress.rate.q.0.05.0.50.copy.no.reset	progress.rate.q.0.05.0.50.copy.reset	progress.rate.q.0.05.0.50.or.no.reset	progress.rate.q.0.05.0.50.or.reset	progress.rate.q.0.05.1.00.fitness	progress.rate.q.0.05.1.00.frozen	progress.rate.q.0.05.1.00.copy.no.reset	progress.rate.q.0.05.1.00.copy.reset	progress.rate.q.0.05.1.00.or.no.reset	progress.rate.q.0.05.1.00.or.reset
0	0	nan	nan	nan	nan	nan	nan	1.000e+00	1.000e+00	1.000e+00	1.000e+00	4.500e-01	4.500e-01	1.000e+00	1.000e+00	1.000e+00	1.000e+00	4.500e-01	4.500e-01	1.000e+00	1.000e+00	1.000e+00	1.000e+00	4.500e-01	4.500e-01	1.000e+00	1.000e+00	1.000e+00	1.000e+00	4.500e-01	4.500e-01
0	1	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	6.000e-01	3.631e-02	3.644e-02	-2.044e-02	2.362e-02	-1.364e-02
0	2	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	6.200e-01	5.871e-02	5.881e-02	9.499e-03	2.232e-02	7.403e-02
0	3	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.000e+00	9.961e-01	9.851e-01	9.851e-01	4.351e-01	4.351e-01	1.000e+00	9.961e-01	9.851e-01	9.851e-01	4.351e-01	4.351e-01
0	4	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.000e+00	9.500e-01	9.777e-01	9.777e-01	4.278e-01	4.278e-01	1.000e+00	9.500e-01	9.777e-01	9.777e-01	4.278e-01	4.278e-01	1.000e+00	9.500e-01	9.777e-01	9.777e-01	4.278e-01	4.278e-01
0	5	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	-1.500e-01	1.000e+00	1.000e+00	1.000e+00	4.500e-01	-5.022e-02	2.500e-01	1.000e+00	1.000e+00	1.000e+00	4.500e-01	4.500e-01	4.900e-01	9.493e-02	1.398e-02	2.114e-02	4.610e-02	-5.678e-02
0	6	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	3.000e-02	3.247e-05	1.473e-03	-2.683e-03	-4.019e-02	1.037e-01	4.100e-01	9.058e-02	8.559e-02	3.258e-03	1.650e-01	5.718e-02
0	7	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	2.700e-01	1.000e+00	1.000e+00	1.000e+00	4.500e-01	4.500e-01	2.700e-01	1.000e+00	1.000e+00	-1.000e+00	4.500e-01	-4.500e-01	3.800e-01	-1.546e-01	-5.659e-04	-4.327e-02	-1.215e-01	-6.475e-02
0	8	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	9.500e-01	3.833e-01	9.529e-01	9.529e-01	4.030e-01	4.030e-01	9.500e-01	3.833e-01	9.529e-01	9.529e-01	4.030e-01	4.030e-01	1.000e+00	9.683e-01	9.260e-01	9.260e-01	4.608e-01	4.608e-01
0	9	5.000e-01	5.000e-01	5.000e-01	5.000e-01	-5.000e-02	-5.000e-02	5.000e-01	5.000e-01	5.000e-01	5.000e-01	-5.000e-02	-5.000e-02	9.500e-01	5.000e-01	9.500e-01	9.500e-01	3.500e-01	3.500e-01	9.500e-01	5.000e-01	9.500e-01	9.500e-01	3.500e-01	3.500e-01	9.500e-01	5.000e-01	9.500e-01	9.500e-01	3.500e-01	3.500e-01
1	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.000e+00	1.000e+00	1.000e+00	1.000e+00	4.500e-01	4.500e-01	1.000e+00	1.000e+00	1.000e+00	1.000e+00	4.500e-01	4.500e-01	1.000e+00	1.000e+00	1.000e+00	1.000e+00	4.500e-01	4.500e-01
1	1	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.000e+00	1.000e+00	1.000e+00	1.000e+00	4.500e-01	4.606e-01	1.000e+00	1.000e+00	1.000e+00	1.000e+00	4.500e-01	4.500e-01	1.000e+00	1.000e+00	1.000e+00	9.826e-01	4.500e-01	4.606e-01
1	2	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.000e+00	9.726e-01	1.000e+00	1.000e+00	4.500e-01	4.606e-01	1.000e+00	9.726e-01	1.000e+00	1.000e+00	4.500e-01	4.606e-01	1.000e+00	9.726e-01	1.000e+00	1.000e+00	4.500e-01	4.606e-01
1	3	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.000e+00	9.971e-01	9.828e-01	9.828e-01	4.328e-01	4.328e-01	1.000e+00	9.971e-01	9.828e-01	9.828e-01	4.328e-01	4.328e-01
1	4	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.000e+00	9.500e-01	9.777e-01	9.777e-01	4.278e-01	4.278e-01	1.000e+00	9.500e-01	9.777e-01	9.777e-01	4.278e-01	4.278e-01	1.000e+00	9.500e-01	9.777e-01	9.777e-01	4.278e-01	4.278e-01
1	5	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.000e+00	4.068e-01	9.638e-01	9.638e-01	4.138e-01	4.138e-01	1.000e+00	4.068e-01	9.638e-01	8.590e-01	4.138e-01	4.138e-01
1	6	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.000e+00	9.879e-01	9.696e-01	9.696e-01	4.196e-01	4.196e-01	1.000e+00	9.879e-01	9.696e-01	9.696e-01	4.196e-01	4.196e-01
1	7	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.000e+00	3.822e-01	9.645e-01	9.645e-01	4.145e-01	4.145e-01	1.000e+00	3.822e-01	9.645e-01	9.645e-01	4.145e-01	4.145e-01	1.000e+00	3.822e-01	9.645e-01	9.645e-01	4.145e-01	4.145e-01
1	8	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	9.500e-01	3.833e-01	9.529e-01	9.529e-01	4.030e-01	4.030e-01	1.000e+00	9.683e-01	9.260e-01	9.260e-01	4.608e-01	4.608e-01	1.000e+00	9.683e-01	9.260e-01	9.260e-01	4.608e-01	4.608e-01
1	9	5.000e-01	5.000e-01	5.000e-01	5.000e-01	1.000e+00	1.000e+00	5.500e-01	5.000e-01	5.500e-01	5.500e-01	1.000e+00	1.000e+00	9.600e-01	3.822e-01	9.645e-01	9.645e-01	4.145e-01	4.145e-01	9.600e-01	3.822e-01	9.645e-01	9.645e-01	4.145e-01	4.145e-01	1.000e+00	9.964e-01	9.241e-01	9.241e-01	4.368e-01	4.368e-01
2	0	nan	nan	nan	nan	nan	nan	1.000e+00	1.000e+00	1.000e+00	1.000e+00	4.500e-01	4.500e-01	1.000e+00	1.000e+00	1.000e+00	1.000e+00	4.500e-01	4.500e-01	1.000e+00	1.000e+00	1.000e+00	1.000e+00	4.500e-01	4.500e-01	1.000e+00	1.000e+00	1.000e+00	1.000e+00	4.500e-01	4.500e-01
2	1	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.000e+00	1.000e+00	1.000e+00	1.000e+00	4.500e-01	4.606e-01	1.000e+00	1.000e+00	1.000e+00	9.826e-01	4.500e-01	4.606e-01	1.000e+00	1.000e+00	1.000e+00	1.000e+00	4.500e-01	4.500e-01
2	2	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.000e+00	1.000e+00	1.000e+00	9.826e-01	4.500e-01	4.500e-01	1.000e+00	1.000e+00	1.000e+00	1.000e+00	4.500e-01	4.606e-01	1.000e+00	1.000e+00	1.000e+00	1.000e+00	4.500e-01	4.500e-01
2	3	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.000e+00	9.971e-01	9.828e-01	9.828e-01	4.328e-01	4.328e-01	1.000e+00	9.971e-01	9.828e-01	9.828e-01	4.328e-01	4.328e-01	1.000e+00	9.971e-01	9.828e-01	9.828e-01	4.328e-01	4.328e-01
2	4	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.000e+00	9.848e-01	9.791e-01	9.791e-01	4.291e-01	4.291e-01	1.000e+00	9.848e-01	9.791e-01	9.791e-01	4.291e-01	4.291e-01	1.000e+00	9.848e-01	9.791e-01	9.791e-01	4.291e-01	4.291e-01
2	5	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.000e+00	4.730e-01	9.698e-01	9.698e-01	4.198e-01	4.198e-01	1.000e+00	4.730e-01	9.698e-01	9.698e-01	4.198e-01	4.198e-01	1.000e+00	4.730e-01	9.698e-01	9.698e-01	4.198e-01	4.198e-01
2	6	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.000e+00	9.317e-01	9.548e-01	9.548e-01	4.289e-01	4.289e-01	1.000e+00	9.317e-01	9.548e-01	9.548e-01	4.289e-01	4.289e-01	1.000e+00	9.317e-01	9.548e-01	9.548e-01	4.289e-01	4.289e-01
2	7	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.000e+00	3.822e-01	9.645e-01	8.530e-01	4.145e-01	4.145e-01	1.000e+00	3.822e-01	9.645e-01	8.530e-01	4.145e-01	4.145e-01	1.000e+00	3.822e-01	9.645e-01	9.645e-01	4.145e-01	4.145e-01
2	8	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	9.500e-01	2.595e-01	9.529e-01	9.529e-01	4.030e-01	4.030e-01	1.000e+00	9.683e-01	9.260e-01	9.260e-01	4.608e-01	4.608e-01	1.000e+00	9.683e-01	9.260e-01	9.260e-01	4.608e-01	4.608e-01
2	9	4.500e-01	5.000e-01	4.500e-01	4.500e-01	1.000e+00	1.000e+00	6.000e-01	5.000e-01	6.000e-01	6.000e-01	1.000e+00	1.000e+00	9.600e-01	3.822e-01	9.645e-01	9.645e-01	4.145e-01	4.145e-01	9.600e-01	3.822e-01	9.645e-01	9.645e-01	4.145e-01	4.145e-01	1.000e+00	9.964e-01	9.241e-01	9.241e-01	4.368e-01	4.368e-01
3	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.000e+00	1.000e+00	9.999e-01	9.999e-01	4.499e-01	4.499e-01	1.000e+00	1.000e+00	9.999e-01	9.999e-01	4.499e-01	4.499e-01	1.000e+00	1.000e+00	9.999e-01	9.999e-01	4.499e-01	4.499e-01
3	1	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.000e+00	9.975e-01	9.919e-01	9.919e-01	4.419e-01	4.419e-01	1.000e+00	9.975e-01	9.919e-01	9.919e-01	4.419e-01	4.419e-01	1.000e+00	9.975e-01	9.919e-01	9.919e-01	4.419e-01	4.419e-01
3	2	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.000e+00	9.975e-01	9.868e-01	9.868e-01	4.368e-01	4.368e-01	1.000e+00	9.975e-01	9.868e-01	9.868e-01	4.368e-01	4.368e-01	1.000e+00	9.975e-01	9.868e-01	9.868e-01	4.368e-01	4.368e-01
3	3	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.000e+00	9.961e-01	9.823e-01	9.823e-01	4.323e-01	4.323e-01	1.000e+00	9.961e-01	9.823e-01	9.823e-01	4.323e-01	4.323e-01	1.000e+00	9.961e-01	9.823e-01	9.823e-01	4.323e-01	4.323e-01
3	4	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.000e+00	9.848e-01	9.791e-01	9.791e-01	4.291e-01	4.291e-01	1.000e+00	9.848e-01	9.791e-01	9.791e-01	4.291e-01	4.291e-01	1.000e+00	9.848e-01	9.791e-01	9.791e-01	4.291e-01	4.291e-01
3	5	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.000e+00	4.730e-01	9.698e-01	9.698e-01	4.198e-01	4.198e-01	1.000e+00	4.730e-01	9.698e-01	9.698e-01	4.198e-01	4.198e-01	1.000e+00	4.730e-01	9.698e-01	9.698e-01	4.198e-01	4.198e-01
