x	y	progress.rate.q.0.05.0.00.fitness	progress.rate.q.0.05.0.00.frozen	progress.rate.q.0.05.0.00.copy.no.reset	progress.rate.q.0.05.0.00.copy.reset	progress.rate.q.0.05.0.00.or.no.reset	progress.rate.q.0.05.0.00.or.reset	progress.rate.q.0.05.0.10.fitness	progress.rate.q.0.05.0.10.frozen	progress.rate.q.0.05.0.10.copy.no.reset	progress.rate.q.0.05.0.10.copy.reset	progress.rate.q.0.05.0.10.or.no.reset	progress.rate.q.0.05.0.10.or.reset	progress.rate.q.0.05.0.25.fitness	progress.rate.q.0.05.0.25.frozen	progress.rate.q.0.05.0.25.copy.no.reset	progress.rate.q.0.05.0.25.copy.reset	progress.rate.q.0.05.0.25.or.no.reset	progress.rate.q.0.05.0.25.or.reset	progress.rate.q.0.05.0.50.fitness	progress.rate.q.0.05.0.50.frozen	progress.rate.q.0.05.0.50.copy.no.reset	progress.rate.q.0.05.0.50.copy.reset	progress.rate.q.0.05.0.50.or.no.reset	progress.rate.q.0.05.0.50.or.reset	progress.rate.q.0.05.1.00.fitness	progress.rate.q.0.05.1.00.frozen	progress.rate.q.0.05.1.00.copy.no.reset	progress.rate.q.0.05.1.00.copy.reset	progress.rate.q.0.05.1.00.or.no.reset	progress.rate.q.0.05.1.00.or.reset
0	0	nan	nan	nan	nan	nan	nan	5.000e-01	1.300e-02	9.050e-03	1.237e-02	-4.644e-03	-9.052e-03	5.000e-01	1.300e-02	9.050e-03	1.425e-02	-4.644e-03	-8.338e-03	5.000e-01	1.300e-02	9.050e-03	1.259e-02	-4.644e-03	-7.173e-03	5.000e-01	1.300e-02	9.050e-03	1.339e-02	-4.644e-03	-6.644e-03
0	1	nan	nan	nan	nan	nan	nan	5.000e-01	5.948e-03	3.893e-03	8.620e-03	-1.951e-03	-4.198e-03	5.000e-01	5.948e-03	3.893e-03	7.976e-03	-1.951e-03	-4.665e-03	5.000e-01	5.948e-03	3.893e-03	8.761e-03	-1.951e-03	-4.464e-03	5.500e-01	1.788e-02	2.032e-02	2.034e-02	2.222e-02	2.224e-02
0	2	nan	nan	nan	nan	nan	nan	5.000e-01	4.307e-02	3.810e-02	3.993e-02	-2.592e-02	-2.642e-02	5.000e-01	4.307e-02	3.810e-02	4.029e-02	-2.592e-02	-3.050e-02	5.500e-01	2.876e-02	3.250e-02	3.291e-02	3.389e-02	3.441e-02	5.500e-01	2.876e-02	3.250e-02	3.291e-02	3.389e-02	3.443e-02
0	3	nan	nan	nan	nan	nan	nan	5.000e-01	4.041e-02	3.454e-02	3.628e-02	-9.404e-05	-1.296e-03	5.000e-01	4.041e-02	3.454e-02	3.515e-02	-9.404e-05	-3.190e-03	5.000e-01	4.041e-02	3.454e-02	3.520e-02	-9.404e-05	-1.721e-03	5.500e-01	3.654e-02	4.162e-02	4.168e-02	4.351e-02	4.357e-02
0	4	5.000e-02	-3.813e-08	4.880e-03	4.884e-03	-4.880e-02	-4.899e-02	5.000e-01	5.685e-02	6.322e-02	5.785e-02	6.561e-02	6.110e-02	5.500e-01	5.204e-02	5.832e-02	5.902e-02	6.282e-02	6.377e-02	5.500e-01	5.204e-02	5.832e-02	5.904e-02	6.282e-02	6.376e-02	5.500e-01	5.204e-02	5.832e-02	5.902e-02	6.282e-02	6.376e-02
0	5	nan	nan	nan	nan	nan	nan	5.500e-01	6.021e-02	6.775e-02	6.792e-02	7.018e-02	7.035e-02	5.500e-01	6.021e-02	6.775e-02	6.790e-02	7.018e-02	7.034e-02	5.500e-01	6.021e-02	6.775e-02	6.792e-02	7.018e-02	7.034e-02	5.500e-01	6.021e-02	6.775e-02	6.789e-02	7.018e-02	7.036e-02
0	6	nan	nan	nan	nan	nan	nan	5.000e-01	7.621e-02	8.373e-02	8.552e-02	8.864e-02	9.021e-02	5.000e-01	7.621e-02	8.373e-02	8.559e-02	8.864e-02	9.028e-02	5.400e-01	7.193e-02	8.071e-02	7.428e-02	8.706e-02	7.935e-02	5.500e-01	7.158e-02	8.158e-02	8.158e-02	8.571e-02	8.572e-02
0	7	nan	nan	nan	nan	nan	nan	5.000e-01	9.996e-02	8.756e-02	9.430e-02	-2.534e-02	-2.759e-02	5.500e-01	7.876e-02	8.394e-02	8.941e-02	8.869e-02	9.629e-02	5.500e-01	7.876e-02	8.394e-02	8.935e-02	8.869e-02	9.637e-02	5.500e-01	7.876e-02	8.394e-02	8.930e-02	8.869e-02	9.653e-02
0	8	nan	nan	nan	nan	nan	nan	5.000e-01	3.935e-02	8.236e-02	3.562e-02	-2.178e-02	-1.277e-02	5.000e-01	3.935e-02	8.236e-02	3.431e-02	-2.178e-02	-1.347e-02	5.000e-01	3.935e-02	8.236e-02	3.082e-02	-2.178e-02	-9.838e-03	5.500e-01	9.769e-02	1.107e-01	1.107e-01	1.226e-01	1.226e-01
0	9	5.000e-02	-1.553e-02	4.643e-02	3.530e-02	-5.036e-01	-5.140e-01	5.000e-01	1.017e-01	1.761e-01	9.297e-02	-2.113e-01	-1.858e-01	5.000e-01	1.017e-01	1.761e-01	9.343e-02	-2.113e-01	-1.892e-01	5.000e-01	1.017e-01	1.761e-01	9.232e-02	-2.113e-01	-1.839e-01	5.500e-01	9.896e-02	1.123e-01	1.125e-01	1.180e-01	1.182e-01
1	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
1	1	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
1	2	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
1	3	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
1	4	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
1	5	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
1	6	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	4.500e-01	8.559e-02	8.553e-02	9.143e-02	1.195e-01	1.249e-01	4.500e-01	8.559e-02	8.553e-02	9.087e-02	1.195e-01	1.240e-01	7.300e-01	9.030e-02	1.230e-01	1.462e-01	1.406e-01	1.959e-01
1	7	nan	nan	nan	nan	nan	nan	4.500e-01	9.106e-02	9.515e-02	9.709e-02	1.410e-01	1.427e-01	5.000e-01	8.568e-02	9.500e-02	9.525e-02	1.199e-01	1.201e-01	5.000e-01	8.568e-02	9.500e-02	9.529e-02	1.199e-01	1.201e-01	5.500e-01	8.543e-02	9.617e-02	9.621e-02	1.038e-01	1.038e-01
1	8	nan	nan	nan	nan	nan	nan	5.000e-01	1.010e-01	1.088e-01	1.099e-01	1.270e-01	1.278e-01	5.200e-01	9.870e-02	1.037e-01	1.052e-01	1.120e-01	1.138e-01	5.200e-01	9.870e-02	1.037e-01	1.050e-01	1.120e-01	1.133e-01	5.500e-01	9.571e-02	1.072e-01	1.075e-01	1.116e-01	1.117e-01
1	9	5.000e-02	9.633e-02	1.153e-01	1.018e-01	-1.524e-01	-1.263e-01	5.500e-01	1.114e-01	1.143e-01	1.209e-01	1.235e-01	1.280e-01	5.500e-01	1.114e-01	1.143e-01	1.206e-01	1.235e-01	1.294e-01	5.500e-01	1.114e-01	1.143e-01	1.194e-01	1.235e-01	1.288e-01	5.500e-01	1.114e-01	1.143e-01	1.197e-01	1.235e-01	1.280e-01
2	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
2	1	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
2	2	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
2	3	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
2	4	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
2	5	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
2	6	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
2	7	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
2	8	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
2	9	4.500e-01	2.767e-01	3.014e-01	2.575e-01	7.828e-01	7.633e-01	5.000e-01	2.163e-01	2.929e-01	1.947e-01	-2.494e-01	-1.997e-01	5.000e-01	2.163e-01	2.929e-01	1.923e-01	-2.494e-01	-1.985e-01	5.400e-01	1.734e-01	1.069e-01	1.965e-01	1.561e-01	2.144e-01	5.400e-01	1.734e-01	1.069e-01	1.685e-01	1.561e-01	2.414e-01
3	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
3	1	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
3	2	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
3	3	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
3	4	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
3	5	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
3	6	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
3	7	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
3	8	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
3	9	4.500e-01	4.169e-01	4.283e-01	3.735e-01	9.212e-01	7.386e-01	5.000e-01	3.354e-01	4.275e-01	3.271e-01	-7.243e-02	-5.104e-02	5.000e-01	3.354e-01	4.275e-01	3.244e-01	-7.243e-02	-5.664e-02	5.000e-01	3.354e-01	4.275e-01	3.252e-01	-7.243e-02	-5.555e-02	6.600e-01	4.575e-01	3.112e-01	1.451e-01	4.762e-01	1.724e-01
4	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
4	1	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
4	2	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
4	3	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
4	4	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
4	5	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
4	6	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
4	7	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
4	8	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
4	9	5.000e-01	4.260e-01	4.647e-01	4.167e-01	-1.527e-02	1.553e-02	5.000e-01	4.260e-01	4.647e-01	4.180e-01	-1.527e-02	6.628e-03	5.000e-01	4.260e-01	4.647e-01	4.219e-01	-1.527e-02	2.047e-02	5.000e-01	4.260e-01	4.647e-01	4.106e-01	-1.527e-02	1.492e-02	5.000e-01	4.260e-01	4.647e-01	4.101e-01	-1.527e-02	6.015e-03
5	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
5	1	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
5	2	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
5	3	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
5	4	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
5	5	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
5	6	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
5	7	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
5	8	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
5	9	5.000e-01	5.000e-01	5.000e-01	4.999e-01	-5.000e-02	-5.000e-02	5.000e-01	5.000e-01	5.000e-01	4.999e-01	-5.000e-02	-4.998e-02	5.000e-01	5.000e-01	5.000e-01	5.000e-01	-5.000e-02	-4.990e-02	5.000e-01	5.000e-01	5.000e-01	5.000e-01	-5.000e-02	-4.996e-02	5.000e-01	5.000e-01	5.000e-01	4.999e-01	-5.000e-02	-5.000e-02
6	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
6	1	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
6	2	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
6	3	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
6	4	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
6	5	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
6	6	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
6	7	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
6	8	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
6	9	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
7	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
7	1	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
7	2	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
