x	y	progress.rate.q.0.05.0.00.fitness	progress.rate.q.0.05.0.00.frozen	progress.rate.q.0.05.0.00.copy.no.reset	progress.rate.q.0.05.0.00.copy.reset	progress.rate.q.0.05.0.00.or.no.reset	progress.rate.q.0.05.0.00.or.reset	progress.rate.q.0.05.0.10.fitness	progress.rate.q.0.05.0.10.frozen	progress.rate.q.0.05.0.10.copy.no.reset	progress.rate.q.0.05.0.10.copy.reset	progress.rate.q.0.05.0.10.or.no.reset	progress.rate.q.0.05.0.10.or.reset	progress.rate.q.0.05.0.25.fitness	progress.rate.q.0.05.0.25.frozen	progress.rate.q.0.05.0.25.copy.no.reset	progress.rate.q.0.05.0.25.copy.reset	progress.rate.q.0.05.0.25.or.no.reset	progress.rate.q.0.05.0.25.or.reset	progress.rate.q.0.05.0.50.fitness	progress.rate.q.0.05.0.50.frozen	progress.rate.q.0.05.0.50.copy.no.reset	progress.rate.q.0.05.0.50.copy.reset	progress.rate.q.0.05.0.50.or.no.reset	progress.rate.q.0.05.0.50.or.reset	progress.rate.q.0.05.1.00.fitness	progress.rate.q.0.05.1.00.frozen	progress.rate.q.0.05.1.00.copy.no.reset	progress.rate.q.0.05.1.00.copy.reset	progress.rate.q.0.05.1.00.or.no.reset	progress.rate.q.0.05.1.00.or.reset
0	0	nan	nan	nan	nan	nan	nan	4.500e-01	2.294e-06	-2.306e-03	-9.731e-04	3.799e-02	1.309e-02	5.000e-01	2.252e-06	6.944e-04	2.743e-05	-1.436e-02	-1.866e-03	5.000e-01	2.252e-06	6.944e-04	3.392e-05	-1.436e-02	-1.826e-03	5.000e-01	2.252e-06	6.944e-04	5.096e-05	-1.436e-02	-2.038e-03
0	1	nan	nan	nan	nan	nan	nan	2.400e-01	5.268e-05	2.168e-03	-5.632e-04	-4.872e-02	1.271e-03	4.500e-01	6.234e-06	-3.343e-03	-1.135e-03	6.072e-02	1.752e-02	5.000e-01	6.184e-05	4.349e-03	8.453e-04	-7.949e-02	-1.772e-02	5.000e-01	6.184e-05	4.349e-03	9.322e-04	-7.949e-02	-1.691e-02
0	2	nan	nan	nan	nan	nan	nan	5.000e-01	1.783e-04	7.191e-03	1.587e-03	-1.309e-01	-3.088e-02	5.000e-01	1.783e-04	7.191e-03	1.756e-03	-1.309e-01	-3.195e-02	5.000e-01	1.783e-04	7.191e-03	1.513e-03	-1.309e-01	-2.952e-02	5.000e-01	1.783e-04	7.191e-03	1.716e-03	-1.309e-01	-2.737e-02
0	3	nan	nan	nan	nan	nan	nan	5.000e-01	3.153e-04	8.745e-03	1.909e-03	-1.481e-01	-3.603e-02	5.000e-01	3.153e-04	8.745e-03	2.057e-03	-1.481e-01	-3.649e-02	5.000e-01	3.153e-04	8.745e-03	1.992e-03	-1.481e-01	-3.747e-02	5.000e-01	3.153e-04	8.745e-03	1.896e-03	-1.481e-01	-3.786e-02
0	4	nan	nan	nan	nan	nan	nan	5.000e-01	5.724e-04	9.451e-03	7.868e-04	-1.425e-01	-2.511e-02	5.000e-01	5.724e-04	9.451e-03	8.853e-04	-1.425e-01	-2.498e-02	5.000e-01	5.724e-04	9.451e-03	8.525e-04	-1.425e-01	-2.479e-02	5.000e-01	5.724e-04	9.451e-03	8.886e-04	-1.425e-01	-2.479e-02
0	5	nan	nan	nan	nan	nan	nan	5.000e-01	1.346e-03	1.329e-02	2.087e-03	-1.830e-01	-4.188e-02	5.000e-01	1.346e-03	1.329e-02	2.089e-03	-1.830e-01	-4.066e-02	5.000e-01	1.346e-03	1.329e-02	2.026e-03	-1.830e-01	-3.998e-02	5.000e-01	1.346e-03	1.329e-02	1.897e-03	-1.830e-01	-4.248e-02
0	6	5.000e-02	-4.697e-05	7.105e-03	6.845e-03	-7.620e-02	-7.161e-02	4.900e-01	1.785e-03	1.452e-02	4.130e-04	-1.508e-01	-1.869e-02	5.000e-01	1.273e-03	1.339e-02	1.903e-03	-1.750e-01	-4.101e-02	5.000e-01	1.273e-03	1.339e-02	1.976e-03	-1.750e-01	-3.952e-02	5.000e-01	1.273e-03	1.339e-02	2.080e-03	-1.750e-01	-4.291e-02
0	7	nan	nan	nan	nan	nan	nan	5.000e-01	2.584e-03	1.723e-02	3.911e-03	-2.101e-01	-6.666e-02	5.000e-01	2.584e-03	1.723e-02	4.107e-03	-2.101e-01	-6.695e-02	5.000e-01	2.584e-03	1.723e-02	4.330e-03	-2.101e-01	-6.502e-02	5.000e-01	2.584e-03	1.723e-02	3.994e-03	-2.101e-01	-6.424e-02
0	8	nan	nan	nan	nan	nan	nan	5.000e-01	2.850e-03	1.650e-02	3.613e-03	-2.120e-01	-6.471e-02	5.000e-01	2.850e-03	1.650e-02	3.694e-03	-2.120e-01	-6.534e-02	5.000e-01	2.850e-03	1.650e-02	3.494e-03	-2.120e-01	-6.617e-02	5.000e-01	2.850e-03	1.650e-02	3.720e-03	-2.120e-01	-6.439e-02
0	9	4.500e-01	2.207e-02	2.759e-02	9.147e-03	4.443e-01	3.200e-01	5.000e-01	1.366e-01	1.178e-01	8.783e-02	-2.956e-01	-2.773e-01	5.000e-01	1.366e-01	1.178e-01	8.847e-02	-2.956e-01	-2.761e-01	5.000e-01	1.366e-01	1.178e-01	9.089e-02	-2.956e-01	-2.791e-01	5.000e-01	1.366e-01	1.178e-01	8.971e-02	-2.956e-01	-2.770e-01
1	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
1	1	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
1	2	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
1	3	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
1	4	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
1	5	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
1	6	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
1	7	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
1	8	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
1	9	5.000e-01	2.148e-01	2.105e-01	1.498e-01	-2.713e-01	-2.488e-01	5.000e-01	2.148e-01	2.105e-01	1.497e-01	-2.713e-01	-2.474e-01	5.000e-01	2.148e-01	2.105e-01	1.465e-01	-2.713e-01	-2.463e-01	5.000e-01	2.148e-01	2.105e-01	1.502e-01	-2.713e-01	-2.479e-01	5.000e-01	2.148e-01	2.105e-01	1.466e-01	-2.713e-01	-2.471e-01
2	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
2	1	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
2	2	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
2	3	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
2	4	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
2	5	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
2	6	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
2	7	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
2	8	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
2	9	4.500e-01	2.939e-01	7.642e-02	2.518e-01	6.264e-01	8.031e-01	5.000e-01	2.600e-01	3.781e-01	2.256e-01	-3.611e-02	8.352e-04	5.000e-01	2.600e-01	3.781e-01	2.274e-01	-3.611e-02	3.443e-03	5.000e-01	2.600e-01	3.781e-01	2.262e-01	-3.611e-02	9.666e-04	5.000e-01	2.600e-01	3.781e-01	2.263e-01	-3.611e-02	2.216e-03
3	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
3	1	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
3	2	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
3	3	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
3	4	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
3	5	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
3	6	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
3	7	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
3	8	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
3	9	4.500e-01	4.589e-01	4.500e-01	3.307e-01	1.000e+00	8.840e-01	5.000e-01	3.940e-01	3.954e-01	3.211e-01	-1.420e-01	-1.410e-01	5.000e-01	3.940e-01	3.954e-01	3.209e-01	-1.420e-01	-1.408e-01	5.000e-01	3.940e-01	3.954e-01	3.201e-01	-1.420e-01	-1.413e-01	5.000e-01	3.940e-01	3.954e-01	3.201e-01	-1.420e-01	-1.407e-01
4	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
4	1	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
4	2	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
4	3	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
4	4	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
4	5	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
4	6	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
4	7	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
4	8	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
4	9	5.000e-01	4.388e-01	4.995e-01	4.257e-01	-4.953e-02	1.392e-03	5.000e-01	4.388e-01	4.995e-01	4.322e-01	-4.953e-02	-4.354e-04	5.000e-01	4.388e-01	4.995e-01	4.135e-01	-4.953e-02	1.562e-02	5.000e-01	4.388e-01	4.995e-01	4.303e-01	-4.953e-02	1.474e-02	5.000e-01	4.388e-01	4.995e-01	4.246e-01	-4.953e-02	4.846e-03
5	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
5	1	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
5	2	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
5	3	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
5	4	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
5	5	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
5	6	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
5	7	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
5	8	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
