x	y	progress.rate.q.0.05.0.00.fitness	progress.rate.q.0.05.0.00.frozen	progress.rate.q.0.05.0.00.copy.no.reset	progress.rate.q.0.05.0.00.copy.reset	progress.rate.q.0.05.0.00.or.no.reset	progress.rate.q.0.05.0.00.or.reset	progress.rate.q.0.05.0.10.fitness	progress.rate.q.0.05.0.10.frozen	progress.rate.q.0.05.0.10.copy.no.reset	progress.rate.q.0.05.0.10.copy.reset	progress.rate.q.0.05.0.10.or.no.reset	progress.rate.q.0.05.0.10.or.reset	progress.rate.q.0.05.0.25.fitness	progress.rate.q.0.05.0.25.frozen	progress.rate.q.0.05.0.25.copy.no.reset	progress.rate.q.0.05.0.25.copy.reset	progress.rate.q.0.05.0.25.or.no.reset	progress.rate.q.0.05.0.25.or.reset	progress.rate.q.0.05.0.50.fitness	progress.rate.q.0.05.0.50.frozen	progress.rate.q.0.05.0.50.copy.no.reset	progress.rate.q.0.05.0.50.copy.reset	progress.rate.q.0.05.0.50.or.no.reset	progress.rate.q.0.05.0.50.or.reset	progress.rate.q.0.05.1.00.fitness	progress.rate.q.0.05.1.00.frozen	progress.rate.q.0.05.1.00.copy.no.reset	progress.rate.q.0.05.1.00.copy.reset	progress.rate.q.0.05.1.00.or.no.reset	progress.rate.q.0.05.1.00.or.reset
0	0	nan	nan	nan	nan	nan	nan	1.000e+00	3.953e-02	1.234e-03	3.846e-02	-1.136e-02	2.596e-02	1.000e+00	3.953e-02	1.234e-03	5.585e-02	-1.136e-02	1.940e-02	1.000e+00	3.953e-02	1.234e-03	4.391e-02	-1.136e-02	2.676e-02	1.000e+00	3.953e-02	1.234e-03	5.692e-02	-1.136e-02	2.760e-02
0	1	nan	nan	nan	nan	nan	nan	1.000e+00	5.932e-02	2.957e-01	5.597e-02	1.867e-01	4.354e-02	1.000e+00	5.932e-02	2.957e-01	5.705e-02	1.867e-01	4.534e-02	1.000e+00	5.932e-02	2.957e-01	5.950e-02	1.867e-01	4.215e-02	1.000e+00	5.932e-02	2.957e-01	5.664e-02	1.867e-01	4.210e-02
0	2	nan	nan	nan	nan	nan	nan	8.100e-01	3.751e-02	4.004e-02	8.097e-02	-3.070e-03	1.737e-02	1.000e+00	6.842e-02	4.421e-02	7.244e-02	-1.372e-02	8.964e-03	1.000e+00	6.842e-02	4.421e-02	7.243e-02	-1.372e-02	9.017e-03	1.000e+00	6.842e-02	4.421e-02	7.255e-02	-1.372e-02	9.015e-03
0	3	nan	nan	nan	nan	nan	nan	4.500e-01	4.021e-02	4.885e-02	3.417e-02	8.580e-02	6.549e-02	1.000e+00	9.850e-02	1.029e-01	1.037e-01	6.949e-03	7.173e-03	1.000e+00	9.850e-02	1.029e-01	1.039e-01	6.949e-03	7.079e-03	1.000e+00	9.850e-02	1.029e-01	1.038e-01	6.949e-03	6.802e-03
0	4	nan	nan	nan	nan	nan	nan	8.100e-01	1.039e-01	8.388e-01	9.350e-02	5.006e-01	9.217e-02	9.500e-01	9.306e-02	2.590e-01	9.171e-02	3.030e-01	8.637e-02	1.000e+00	1.013e-01	1.061e-01	1.080e-01	5.204e-03	6.062e-03	1.000e+00	1.013e-01	1.061e-01	1.079e-01	5.204e-03	6.075e-03
0	5	nan	nan	nan	nan	nan	nan	5.500e-01	1.018e-01	7.160e-02	1.016e-01	-2.172e-02	4.270e-02	5.500e-01	1.018e-01	7.160e-02	1.009e-01	-2.172e-02	4.254e-02	6.700e-01	2.973e-02	-2.008e-03	9.912e-02	-3.315e-01	5.590e-02	7.600e-01	8.324e-02	7.058e-03	9.056e-02	-7.538e-02	8.801e-02
0	6	1.500e-01	6.779e-02	9.189e-02	7.053e-02	4.289e-02	-3.104e-02	4.500e-01	8.239e-02	7.731e-02	7.798e-02	1.388e-01	1.418e-01	5.000e-01	4.182e-02	3.200e-01	3.994e-02	-2.299e-01	-4.369e-02	5.500e-01	1.068e-01	7.193e-02	8.513e-02	1.075e-01	1.248e-01	8.400e-01	7.860e-02	8.632e-02	1.204e-01	-9.704e-02	-5.039e-02
0	7	nan	nan	nan	nan	nan	nan	5.000e-01	7.714e-02	8.132e-02	8.982e-02	-7.411e-02	-8.322e-02	5.000e-01	7.714e-02	8.132e-02	8.964e-02	-7.411e-02	-8.282e-02	5.000e-01	7.714e-02	8.132e-02	9.077e-02	-7.411e-02	-8.261e-02	5.500e-01	1.440e-01	5.600e-02	1.085e-01	-9.463e-03	6.863e-02
0	8	-5.000e-02	4.451e-06	-8.409e-03	-8.417e-03	8.409e-02	8.378e-02	5.000e-01	4.238e-02	8.862e-02	5.374e-02	1.827e-01	1.567e-02	6.500e-01	2.073e-02	2.679e-01	4.057e-03	1.645e-01	-9.303e-03	6.500e-01	2.073e-02	2.679e-01	5.422e-03	1.645e-01	-8.967e-03	6.500e-01	2.073e-02	2.679e-01	6.208e-03	1.645e-01	-9.140e-03
0	9	3.100e-01	-8.725e-02	-5.556e-02	-1.227e-01	-2.912e-01	-3.297e-01	5.000e-01	4.015e-02	1.435e-01	3.458e-02	-1.279e-01	-8.637e-02	6.000e-01	1.419e-02	1.245e-01	2.413e-02	-7.357e-03	-5.018e-02	7.000e-01	7.787e-02	-1.823e-01	8.262e-02	-2.147e-01	5.711e-02	7.000e-01	7.787e-02	-1.823e-01	8.290e-02	-2.147e-01	5.655e-02
1	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.000e+00	2.004e-01	1.881e-01	2.017e-01	8.932e-02	9.595e-02	1.000e+00	2.004e-01	1.881e-01	2.015e-01	8.932e-02	9.573e-02	1.000e+00	2.004e-01	1.881e-01	2.015e-01	8.932e-02	9.579e-02
1	1	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.000e+00	1.761e-01	8.936e-02	1.655e-01	-3.132e-02	7.033e-02	1.000e+00	1.761e-01	8.936e-02	1.613e-01	-3.132e-02	6.930e-02	1.000e+00	1.761e-01	8.936e-02	1.665e-01	-3.132e-02	6.747e-02
1	2	nan	nan	nan	nan	nan	nan	1.000e+00	1.688e-01	1.043e-01	1.564e-01	7.467e-02	1.127e-01	1.000e+00	1.688e-01	1.043e-01	1.510e-01	7.467e-02	1.135e-01	1.000e+00	1.688e-01	1.043e-01	1.531e-01	7.467e-02	1.113e-01	1.000e+00	1.688e-01	1.043e-01	1.543e-01	7.467e-02	1.153e-01
1	3	nan	nan	nan	nan	nan	nan	1.000e+00	1.567e-01	1.260e-01	1.685e-01	8.110e-02	2.808e-02	1.000e+00	1.567e-01	1.260e-01	1.676e-01	8.110e-02	2.724e-02	1.000e+00	1.567e-01	1.260e-01	1.716e-01	8.110e-02	3.101e-02	1.000e+00	1.567e-01	1.260e-01	1.728e-01	8.110e-02	3.361e-02
1	4	nan	nan	nan	nan	nan	nan	1.000e+00	1.622e-01	-1.832e-01	1.581e-01	-1.970e-01	1.216e-01	1.000e+00	1.622e-01	-1.832e-01	1.645e-01	-1.970e-01	1.214e-01	1.000e+00	1.622e-01	-1.832e-01	1.570e-01	-1.970e-01	1.208e-01	1.000e+00	1.622e-01	-1.832e-01	1.599e-01	-1.970e-01	1.210e-01
1	5	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.000e+00	1.222e-01	1.150e-01	1.306e-01	4.749e-03	8.755e-03	1.000e+00	1.222e-01	1.150e-01	1.320e-01	4.749e-03	1.058e-02	1.000e+00	1.222e-01	1.150e-01	1.282e-01	4.749e-03	8.690e-03
1	6	nan	nan	nan	nan	nan	nan	1.000e+00	1.522e-01	1.602e-01	1.674e-01	7.331e-03	1.073e-02	1.000e+00	1.522e-01	1.602e-01	1.697e-01	7.331e-03	1.020e-02	1.000e+00	1.522e-01	1.602e-01	1.671e-01	7.331e-03	1.036e-02	1.000e+00	1.522e-01	1.602e-01	1.676e-01	7.331e-03	1.090e-02
1	7	nan	nan	nan	nan	nan	nan	8.200e-01	2.307e-01	-6.569e-02	2.129e-01	5.383e-02	-3.108e-03	1.000e+00	1.842e-01	1.706e-01	1.846e-01	1.524e-01	1.598e-01	1.000e+00	1.842e-01	1.706e-01	1.842e-01	1.524e-01	1.593e-01	1.000e+00	1.842e-01	1.706e-01	1.838e-01	1.524e-01	1.596e-01
1	8	nan	nan	nan	nan	nan	nan	1.000e+00	2.037e-01	2.033e-01	1.980e-01	1.776e-01	1.769e-01	1.000e+00	2.037e-01	2.033e-01	1.982e-01	1.776e-01	1.763e-01	1.000e+00	2.037e-01	2.033e-01	1.981e-01	1.776e-01	1.768e-01	1.000e+00	2.037e-01	2.033e-01	1.980e-01	1.776e-01	1.773e-01
1	9	5.000e-02	1.445e-01	1.485e-01	2.391e-01	-3.741e-01	-1.047e-01	6.400e-01	1.689e-01	1.615e-01	1.728e-01	1.670e-01	1.739e-01	1.000e+00	1.444e-01	4.070e-01	1.496e-01	1.059e-01	-9.234e-02	1.000e+00	1.444e-01	4.070e-01	1.507e-01	1.059e-01	-9.398e-02	1.000e+00	1.444e-01	4.070e-01	1.515e-01	1.059e-01	-9.516e-02
2	0	nan	nan	nan	nan	nan	nan	1.000e+00	2.477e-01	-2.177e-02	2.549e-01	-1.296e-01	1.079e-01	1.000e+00	2.477e-01	-2.177e-02	2.542e-01	-1.296e-01	1.078e-01	1.000e+00	2.477e-01	-2.177e-02	2.538e-01	-1.296e-01	1.074e-01	1.000e+00	2.477e-01	-2.177e-02	2.549e-01	-1.296e-01	1.074e-01
2	1	nan	nan	nan	nan	nan	nan	1.000e+00	2.373e-01	2.149e-01	2.195e-01	9.931e-02	1.057e-01	1.000e+00	2.373e-01	2.149e-01	2.228e-01	9.931e-02	1.012e-01	1.000e+00	2.373e-01	2.149e-01	2.180e-01	9.931e-02	1.012e-01	1.000e+00	2.373e-01	2.149e-01	2.336e-01	9.931e-02	1.015e-01
2	2	nan	nan	nan	nan	nan	nan	1.000e+00	2.237e-01	2.192e-01	2.258e-01	1.182e-01	1.240e-01	1.000e+00	2.237e-01	2.192e-01	2.255e-01	1.182e-01	1.243e-01	1.000e+00	2.237e-01	2.192e-01	2.253e-01	1.182e-01	1.242e-01	1.000e+00	2.237e-01	2.192e-01	2.257e-01	1.182e-01	1.242e-01
2	3	nan	nan	nan	nan	nan	nan	1.000e+00	2.068e-01	1.841e-01	2.213e-01	4.601e-02	6.701e-02	1.000e+00	2.068e-01	1.841e-01	2.264e-01	4.601e-02	6.547e-02	1.000e+00	2.068e-01	1.841e-01	2.227e-01	4.601e-02	6.811e-02	1.000e+00	2.068e-01	1.841e-01	2.291e-01	4.601e-02	6.745e-02
2	4	nan	nan	nan	nan	nan	nan	1.000e+00	2.907e-01	2.687e-01	2.875e-01	9.135e-02	1.227e-01	1.000e+00	2.907e-01	2.687e-01	2.906e-01	9.135e-02	1.236e-01	1.000e+00	2.907e-01	2.687e-01	2.911e-01	9.135e-02	1.235e-01	1.000e+00	2.907e-01	2.687e-01	2.873e-01	9.135e-02	1.232e-01
2	5	nan	nan	nan	nan	nan	nan	1.000e+00	2.502e-01	2.513e-01	2.568e-01	5.953e-02	6.177e-02	1.000e+00	2.502e-01	2.513e-01	2.570e-01	5.953e-02	6.187e-02	1.000e+00	2.502e-01	2.513e-01	2.572e-01	5.953e-02	6.173e-02	1.000e+00	2.502e-01	2.513e-01	2.571e-01	5.953e-02	6.171e-02
2	6	nan	nan	nan	nan	nan	nan	1.000e+00	1.963e-01	-2.725e-01	2.205e-01	-4.660e-01	2.801e-02	1.000e+00	1.963e-01	-2.725e-01	2.203e-01	-4.660e-01	2.810e-02	1.000e+00	1.963e-01	-2.725e-01	2.205e-01	-4.660e-01	2.788e-02	1.000e+00	1.963e-01	-2.725e-01	2.201e-01	-4.660e-01	2.799e-02
2	7	nan	nan	nan	nan	nan	nan	1.000e+00	2.324e-01	1.859e-01	2.088e-01	2.419e-01	1.815e-01	1.000e+00	2.324e-01	1.859e-01	2.152e-01	2.419e-01	1.821e-01	1.000e+00	2.324e-01	1.859e-01	2.204e-01	2.419e-01	1.808e-01	1.000e+00	2.324e-01	1.859e-01	2.139e-01	2.419e-01	1.777e-01
2	8	nan	nan	nan	nan	nan	nan	1.000e+00	1.892e-01	1.659e-01	2.130e-01	-4.012e-04	3.241e-02	1.000e+00	1.892e-01	1.659e-01	2.085e-01	-4.012e-04	3.373e-02	1.000e+00	1.892e-01	1.659e-01	2.130e-01	-4.012e-04	3.517e-02	1.000e+00	1.892e-01	1.659e-01	2.153e-01	-4.012e-04	3.585e-02
2	9	4.500e-01	2.717e-01	3.558e-01	2.732e-01	6.251e-01	4.027e-01	1.000e+00	3.119e-01	3.015e-02	2.931e-01	4.138e-01	2.040e-01	1.000e+00	3.119e-01	3.015e-02	2.846e-01	4.138e-01	1.593e-01	1.000e+00	3.119e-01	3.015e-02	2.898e-01	4.138e-01	2.182e-01	1.000e+00	3.119e-01	3.015e-02	2.930e-01	4.138e-01	1.801e-01
3	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.000e+00	3.474e-01	3.696e-01	3.558e-01	1.661e-01	1.602e-01	1.000e+00	3.474e-01	3.696e-01	3.575e-01	1.661e-01	1.606e-01	1.000e+00	3.474e-01	3.696e-01	3.581e-01	1.661e-01	1.606e-01
3	1	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.000e+00	3.255e-01	1.666e-01	3.356e-01	9.769e-03	1.438e-01	1.000e+00	3.255e-01	1.666e-01	3.334e-01	9.769e-03	1.369e-01	1.000e+00	3.255e-01	1.666e-01	3.375e-01	9.769e-03	1.397e-01
3	2	nan	nan	nan	nan	nan	nan	1.000e+00	3.656e-01	2.120e-01	3.370e-01	1.350e-01	1.366e-01	1.000e+00	3.656e-01	2.120e-01	3.267e-01	1.350e-01	1.340e-01	1.000e+00	3.656e-01	2.120e-01	3.344e-01	1.350e-01	1.316e-01	1.000e+00	3.656e-01	2.120e-01	3.432e-01	1.350e-01	1.348e-01
3	3	nan	nan	nan	nan	nan	nan	1.000e+00	2.937e-01	-2.856e-01	3.205e-01	-4.531e-01	1.124e-01	1.000e+00	2.937e-01	-2.856e-01	3.099e-01	-4.531e-01	1.138e-01	1.000e+00	2.937e-01	-2.856e-01	3.080e-01	-4.531e-01	1.142e-01	1.000e+00	2.937e-01	-2.856e-01	3.071e-01	-4.531e-01	1.104e-01
3	4	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.000e+00	2.850e-01	1.256e-03	3.176e-01	3.247e-03	8.065e-02	1.000e+00	2.850e-01	1.256e-03	3.165e-01	3.247e-03	8.054e-02	1.000e+00	2.850e-01	1.256e-03	3.154e-01	3.247e-03	8.094e-02
3	5	nan	nan	nan	nan	nan	nan	8.800e-01	3.451e-01	3.585e-01	1.494e-01	8.179e-02	7.827e-02	1.000e+00	3.333e-01	3.422e-01	3.406e-01	1.994e-01	2.031e-01	1.000e+00	3.333e-01	3.422e-01	3.410e-01	1.994e-01	2.021e-01	1.000e+00	3.333e-01	3.422e-01	3.408e-01	1.994e-01	2.030e-01
3	6	nan	nan	nan	nan	nan	nan	1.000e+00	3.211e-01	3.649e-01	3.676e-01	2.275e-01	2.340e-01	1.000e+00	3.211e-01	3.649e-01	3.671e-01	2.275e-01	2.329e-01	1.000e+00	3.211e-01	3.649e-01	3.771e-01	2.275e-01	2.339e-01	1.000e+00	3.211e-01	3.649e-01	3.681e-01	2.275e-01	2.329e-01
3	7	nan	nan	nan	nan	nan	nan	1.000e+00	3.017e-01	2.422e-01	3.054e-01	1.971e-01	2.113e-01	1.000e+00	3.017e-01	2.422e-01	3.054e-01	1.971e-01	2.121e-01	1.000e+00	3.017e-01	2.422e-01	3.054e-01	1.971e-01	2.117e-01	1.000e+00	3.017e-01	2.422e-01	3.036e-01	1.971e-01	2.122e-01
3	8	nan	nan	nan	nan	nan	nan	1.000e+00	3.862e-01	1.990e-01	4.021e-01	1.469e-01	2.329e-01	1.000e+00	3.862e-01	1.990e-01	2.750e-01	1.469e-01	1.514e-01	1.000e+00	3.862e-01	1.990e-01	2.735e-01	1.469e-01	2.391e-01	1.000e+00	3.862e-01	1.990e-01	3.671e-01	1.469e-01	2.037e-01
