x	y	progress.rate.q.0.05.0.00.fitness	progress.rate.q.0.05.0.00.frozen	progress.rate.q.0.05.0.00.copy.no.reset	progress.rate.q.0.05.0.00.copy.reset	progress.rate.q.0.05.0.00.or.no.reset	progress.rate.q.0.05.0.00.or.reset	progress.rate.q.0.05.0.10.fitness	progress.rate.q.0.05.0.10.frozen	progress.rate.q.0.05.0.10.copy.no.reset	progress.rate.q.0.05.0.10.copy.reset	progress.rate.q.0.05.0.10.or.no.reset	progress.rate.q.0.05.0.10.or.reset	progress.rate.q.0.05.0.25.fitness	progress.rate.q.0.05.0.25.frozen	progress.rate.q.0.05.0.25.copy.no.reset	progress.rate.q.0.05.0.25.copy.reset	progress.rate.q.0.05.0.25.or.no.reset	progress.rate.q.0.05.0.25.or.reset	progress.rate.q.0.05.0.50.fitness	progress.rate.q.0.05.0.50.frozen	progress.rate.q.0.05.0.50.copy.no.reset	progress.rate.q.0.05.0.50.copy.reset	progress.rate.q.0.05.0.50.or.no.reset	progress.rate.q.0.05.0.50.or.reset	progress.rate.q.0.05.1.00.fitness	progress.rate.q.0.05.1.00.frozen	progress.rate.q.0.05.1.00.copy.no.reset	progress.rate.q.0.05.1.00.copy.reset	progress.rate.q.0.05.1.00.or.no.reset	progress.rate.q.0.05.1.00.or.reset
0	0	nan	nan	nan	nan	nan	nan	5.000e-02	2.090e-04	9.557e-04	1.192e-03	-9.544e-03	-9.742e-03	1.000e+00	4.434e-03	2.071e-01	4.364e-03	3.143e-01	-3.215e-04	1.000e+00	4.434e-03	2.071e-01	4.582e-03	3.143e-01	-8.496e-04	1.000e+00	4.434e-03	2.071e-01	4.648e-03	3.143e-01	-7.608e-04
0	1	nan	nan	nan	nan	nan	nan	5.000e-01	2.424e-02	5.646e-04	2.266e-02	-3.878e-03	-1.939e-02	5.000e-01	2.424e-02	5.646e-04	2.375e-02	-3.878e-03	-1.912e-02	1.000e+00	6.957e-02	4.794e-02	1.127e-01	2.008e-02	4.257e-02	1.000e+00	6.957e-02	4.794e-02	1.196e-01	2.008e-02	4.204e-02
0	2	nan	nan	nan	nan	nan	nan	5.000e-01	3.468e-02	2.999e-01	2.552e-02	-2.454e-01	-1.100e-02	5.000e-01	3.468e-02	2.999e-01	3.045e-02	-2.454e-01	-1.032e-02	1.000e+00	3.421e-02	5.207e-02	6.519e-02	2.274e-02	1.002e-02	1.000e+00	3.421e-02	5.207e-02	6.812e-02	2.274e-02	9.481e-03
0	3	nan	nan	nan	nan	nan	nan	5.000e-01	5.973e-02	1.683e-01	4.991e-02	-3.817e-01	-3.125e-02	5.300e-01	4.965e-02	5.419e-02	7.643e-02	3.262e-02	7.162e-03	1.000e+00	6.856e-02	7.944e-02	8.385e-02	3.401e-02	1.173e-03	1.000e+00	6.856e-02	7.944e-02	8.372e-02	3.401e-02	1.068e-03
0	4	nan	nan	nan	nan	nan	nan	6.000e-01	8.196e-02	5.395e-02	8.088e-02	-4.960e-01	3.434e-02	6.000e-01	8.196e-02	5.395e-02	7.626e-02	-4.960e-01	2.715e-02	8.600e-01	4.360e-02	-1.158e-01	1.082e-01	-5.344e-02	1.374e-02	1.000e+00	1.732e-01	2.364e-01	1.841e-01	1.063e-01	1.236e-01
0	5	nan	nan	nan	nan	nan	nan	5.000e-01	1.096e-01	-6.203e-01	6.922e-02	-1.181e-01	-5.405e-02	5.000e-01	1.096e-01	-6.203e-01	7.162e-02	-1.181e-01	-3.271e-02	6.500e-01	3.951e-02	5.151e-02	8.074e-02	-3.648e-03	5.707e-03	1.000e+00	1.940e-01	2.780e-01	1.860e-01	1.256e-01	1.599e-01
0	6	nan	nan	nan	nan	nan	nan	5.000e-01	1.118e-01	1.115e-01	5.581e-02	-4.378e-01	-4.243e-02	6.400e-01	3.083e-02	4.076e-02	5.237e-02	-1.068e-01	-7.152e-02	9.200e-01	1.138e-01	4.916e-01	1.062e-01	3.158e-01	7.405e-02	1.000e+00	9.682e-02	-6.442e-02	1.089e-01	-2.428e-02	7.782e-02
0	7	nan	nan	nan	nan	nan	nan	9.000e-02	1.448e-05	4.388e-02	2.001e-02	-3.894e-01	-5.201e-02	5.000e-01	1.329e-01	3.690e-01	9.901e-02	-1.810e-01	-7.036e-02	6.000e-01	3.316e-02	4.701e-02	6.044e-02	5.130e-03	-7.211e-02	8.400e-01	1.285e-01	-7.869e-02	1.036e-01	3.320e-02	1.124e-01
0	8	nan	nan	nan	nan	nan	nan	5.000e-01	1.027e-01	1.940e-01	9.533e-02	-3.560e-01	-7.561e-03	5.000e-01	1.027e-01	1.940e-01	9.973e-02	-3.560e-01	-5.955e-03	1.000e+00	7.555e-02	3.428e-01	1.317e-01	9.265e-02	-6.498e-02	1.000e+00	7.555e-02	3.428e-01	1.219e-01	9.265e-02	-8.224e-02
0	9	3.600e-01	6.570e-02	2.792e-01	7.953e-02	-2.642e-02	-1.266e-01	5.000e-01	1.946e-01	3.840e-01	9.918e-02	-1.545e-01	-2.902e-02	6.500e-01	2.068e-02	1.263e-01	1.251e-01	-4.236e-01	-3.668e-01	7.200e-01	2.310e-01	4.912e-01	1.012e-01	3.110e-01	1.154e-01	7.200e-01	2.310e-01	4.912e-01	1.200e-01	3.110e-01	9.321e-02
