n.evals.q.1.0.	xor._.me.hebbian.network.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	xor._.me.hebbian.network.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.min	xor._.me.hebbian.network.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.max	xor._.me.hebbian.layer.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	xor._.me.hebbian.layer.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.min	xor._.me.hebbian.layer.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.max	xor._.me.hebbian.neuron.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	xor._.me.hebbian.neuron.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.min	xor._.me.hebbian.neuron.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.max	xor._.me.hebbian.synapse.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	xor._.me.hebbian.synapse.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.min	xor._.me.hebbian.synapse.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.max	xor._.me.freeForm.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	xor._.me.freeForm.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.min	xor._.me.freeForm.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.max
1.000e+02	4.947e-01	6.018e-02	5.000e-01	4.994e-01	3.877e-01	5.000e-01	4.986e-01	2.713e-01	5.809e-01	4.841e-01	3.716e-01	5.365e-01	5.000e-01	5.000e-01	5.000e-01
2.000e+02	2.492e-01	3.788e-02	5.000e-01	4.579e-01	3.250e-01	4.999e-01	6.135e-01	3.899e-01	6.998e-01	6.174e-01	4.832e-01	7.624e-01	5.000e-01	5.000e-01	5.000e-01
3.000e+02	2.492e-01	3.580e-02	5.000e-01	3.877e-01	1.680e-01	4.995e-01	6.148e-01	3.803e-01	7.401e-01	6.568e-01	4.994e-01	8.293e-01	5.000e-01	5.000e-01	5.000e-01
4.000e+02	2.492e-01	3.580e-02	5.000e-01	3.265e-01	1.680e-01	4.936e-01	6.141e-01	3.819e-01	6.886e-01	6.993e-01	5.365e-01	8.479e-01	5.000e-01	5.000e-01	5.000e-01
5.000e+02	2.492e-01	3.580e-02	5.000e-01	2.692e-01	1.215e-01	4.579e-01	5.938e-01	3.819e-01	6.610e-01	5.831e-01	5.365e-01	8.466e-01	5.000e-01	5.000e-01	5.000e-01
6.000e+02	2.508e-01	3.580e-02	5.000e-01	2.602e-01	1.202e-01	4.565e-01	5.725e-01	3.803e-01	6.562e-01	5.882e-01	5.477e-01	8.479e-01	5.000e-01	5.000e-01	5.000e-01
7.000e+02	2.508e-01	3.580e-02	5.000e-01	2.253e-01	1.202e-01	4.565e-01	5.152e-01	3.803e-01	6.355e-01	6.772e-01	5.477e-01	8.466e-01	5.000e-01	5.000e-01	5.000e-01
8.000e+02	2.508e-01	3.580e-02	5.000e-01	2.253e-01	1.202e-01	4.565e-01	5.072e-01	3.817e-01	6.148e-01	5.882e-01	4.953e-01	8.096e-01	5.000e-01	5.000e-01	5.000e-01
9.000e+02	2.505e-01	3.580e-02	4.997e-01	2.128e-01	1.049e-01	3.265e-01	4.975e-01	3.803e-01	6.148e-01	6.639e-01	5.365e-01	8.168e-01	5.000e-01	5.000e-01	5.000e-01
1.000e+03	2.505e-01	3.580e-02	4.997e-01	2.149e-01	1.202e-01	3.265e-01	4.975e-01	3.803e-01	6.148e-01	6.578e-01	5.145e-01	7.899e-01	5.000e-01	5.000e-01	5.000e-01
