x	y	progress.rate.q.0.05.0.00.quality.maturePerformance	progress.rate.q.0.05.0.00.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.0.10.quality.maturePerformance	progress.rate.q.0.05.0.10.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.0.25.quality.maturePerformance	progress.rate.q.0.05.0.25.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.0.50.quality.maturePerformance	progress.rate.q.0.05.0.50.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.1.00.quality.maturePerformance	progress.rate.q.0.05.1.00.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.
0	0	1.000e-02	-1.662e-12	1.700e-01	9.850e-05	4.100e-01	9.397e-03	1.000e+00	2.391e-02	1.000e+00	2.391e-02
0	1	nan	nan	6.000e-02	1.408e-03	8.500e-01	4.756e-02	1.000e+00	9.515e-02	1.000e+00	9.515e-02
0	2	nan	nan	9.000e-02	5.325e-06	9.800e-01	4.801e-02	1.000e+00	5.000e-02	1.000e+00	5.000e-02
0	3	nan	nan	5.000e-02	3.068e-05	5.500e-01	6.375e-02	1.000e+00	6.114e-02	1.000e+00	6.114e-02
0	4	nan	nan	5.000e-02	3.105e-05	8.800e-01	9.224e-02	1.000e+00	8.114e-02	1.000e+00	8.114e-02
0	5	nan	nan	5.000e-02	2.199e-04	5.000e-01	8.029e-02	1.000e+00	9.555e-02	1.000e+00	9.555e-02
0	6	nan	nan	-5.000e-02	1.470e-04	7.900e-01	6.764e-02	7.900e-01	6.764e-02	7.900e-01	6.764e-02
0	7	nan	nan	-5.000e-02	1.370e-04	5.000e-01	9.414e-02	5.000e-01	9.414e-02	5.000e-01	9.414e-02
0	8	nan	nan	5.000e-02	1.081e-03	5.000e-01	9.911e-02	5.000e-01	9.911e-02	5.000e-01	9.911e-02
0	9	3.000e-01	5.000e-01	4.500e-01	3.835e-01	4.500e-01	3.835e-01	6.500e-01	5.000e-01	7.100e-01	2.260e-01
1	0	nan	nan	nan	nan	nan	nan	1.600e-01	1.136e-08	1.800e-01	4.437e-08
1	1	nan	nan	nan	nan	nan	nan	1.000e+00	1.148e-01	1.000e+00	1.148e-01
1	2	nan	nan	nan	nan	nan	nan	1.000e+00	1.483e-01	1.000e+00	1.483e-01
1	3	nan	nan	nan	nan	8.300e-01	1.331e-01	1.000e+00	1.474e-01	1.000e+00	1.474e-01
1	4	nan	nan	nan	nan	7.100e-01	1.175e-01	1.000e+00	1.691e-01	1.000e+00	1.691e-01
1	5	nan	nan	nan	nan	nan	nan	1.000e+00	1.787e-01	1.000e+00	1.787e-01
1	6	nan	nan	nan	nan	6.000e-01	1.331e-01	1.000e+00	1.556e-01	1.000e+00	1.556e-01
1	7	nan	nan	nan	nan	1.000e+00	1.387e-01	1.000e+00	1.387e-01	1.000e+00	1.387e-01
1	8	nan	nan	nan	nan	nan	nan	1.000e+00	1.699e-01	1.000e+00	1.699e-01
1	9	4.500e-01	5.000e-01	5.000e-01	5.000e-01	5.000e-01	5.000e-01	1.000e+00	1.778e-01	1.000e+00	1.778e-01
2	0	nan	nan	nan	nan	nan	nan	nan	nan	1.000e+00	2.955e-01
2	1	nan	nan	nan	nan	nan	nan	1.000e+00	3.007e-01	1.000e+00	3.007e-01
2	2	nan	nan	nan	nan	nan	nan	1.000e+00	2.930e-01	1.000e+00	2.930e-01
2	3	nan	nan	nan	nan	nan	nan	1.000e+00	2.229e-01	1.000e+00	2.229e-01
2	4	nan	nan	nan	nan	nan	nan	1.000e+00	2.420e-01	1.000e+00	2.420e-01
2	5	nan	nan	nan	nan	1.000e+00	2.113e-01	1.000e+00	2.113e-01	1.000e+00	2.113e-01
2	6	nan	nan	nan	nan	1.000e+00	2.373e-01	1.000e+00	2.373e-01	1.000e+00	2.373e-01
2	7	nan	nan	nan	nan	nan	nan	1.000e+00	3.035e-01	1.000e+00	3.035e-01
2	8	nan	nan	nan	nan	1.000e+00	2.826e-01	1.000e+00	2.826e-01	1.000e+00	2.826e-01
2	9	4.500e-01	5.000e-01	6.000e-01	5.000e-01	1.000e+00	2.823e-01	1.000e+00	2.823e-01	1.000e+00	2.823e-01
3	0	nan	nan	nan	nan	nan	nan	1.000e+00	4.108e-01	1.000e+00	4.108e-01
3	1	nan	nan	nan	nan	1.000e+00	4.101e-01	1.000e+00	4.101e-01	1.000e+00	4.101e-01
3	2	nan	nan	nan	nan	nan	nan	1.000e+00	3.774e-01	1.000e+00	3.774e-01
3	3	nan	nan	nan	nan	nan	nan	1.000e+00	3.646e-01	1.000e+00	3.646e-01
3	4	nan	nan	nan	nan	1.000e+00	3.574e-01	1.000e+00	3.574e-01	1.000e+00	3.574e-01
3	5	nan	nan	nan	nan	nan	nan	1.000e+00	3.901e-01	1.000e+00	3.901e-01
3	6	nan	nan	nan	nan	nan	nan	1.000e+00	3.819e-01	1.000e+00	3.819e-01
3	7	nan	nan	nan	nan	1.000e+00	3.490e-01	1.000e+00	3.490e-01	1.000e+00	3.490e-01
3	8	nan	nan	nan	nan	nan	nan	1.000e+00	3.405e-01	1.000e+00	3.405e-01
3	9	4.500e-01	5.000e-01	6.000e-01	0.000e+00	6.000e-01	0.000e+00	1.000e+00	3.160e-01	1.000e+00	3.160e-01
4	0	nan	nan	nan	nan	1.000e+00	4.159e-01	1.000e+00	4.159e-01	1.000e+00	4.159e-01
4	1	nan	nan	nan	nan	nan	nan	1.000e+00	4.178e-01	1.000e+00	4.178e-01
4	2	nan	nan	nan	nan	nan	nan	1.000e+00	4.446e-01	1.000e+00	4.446e-01
4	3	nan	nan	nan	nan	nan	nan	1.000e+00	4.118e-01	1.000e+00	4.118e-01
4	4	nan	nan	nan	nan	nan	nan	nan	nan	1.000e+00	4.405e-01
4	5	nan	nan	nan	nan	nan	nan	1.000e+00	4.580e-01	1.000e+00	4.580e-01
4	6	nan	nan	nan	nan	nan	nan	nan	nan	1.000e+00	4.574e-01
