x	y	progress.rate.q.0.05.0.00.quality.maturePerformance	progress.rate.q.0.05.0.00.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.0.10.quality.maturePerformance	progress.rate.q.0.05.0.10.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.0.25.quality.maturePerformance	progress.rate.q.0.05.0.25.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.0.50.quality.maturePerformance	progress.rate.q.0.05.0.50.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.1.00.quality.maturePerformance	progress.rate.q.0.05.1.00.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.
0	0	nan	nan	1.000e+00	5.701e-02	1.000e+00	5.701e-02	1.000e+00	5.701e-02	1.000e+00	5.701e-02
0	1	nan	nan	1.000e+00	6.653e-02	1.000e+00	6.653e-02	1.000e+00	6.653e-02	1.000e+00	6.653e-02
0	2	nan	nan	6.900e-01	1.001e-01	1.000e+00	8.808e-02	1.000e+00	8.808e-02	1.000e+00	8.808e-02
0	3	nan	nan	5.000e-02	4.412e-09	1.000e+00	4.176e-02	1.000e+00	4.176e-02	1.000e+00	4.176e-02
0	4	nan	nan	4.500e-01	3.454e-02	1.000e+00	7.903e-02	1.000e+00	7.903e-02	1.000e+00	7.903e-02
0	5	-5.000e-02	-4.965e-03	4.900e-01	3.480e-02	4.900e-01	3.480e-02	6.100e-01	-2.234e-01	6.300e-01	7.641e-02
0	6	-1.000e+00	-8.938e-01	4.000e-01	3.334e-02	5.100e-01	8.137e-02	8.000e-01	8.127e-02	8.000e-01	8.127e-02
0	7	nan	nan	4.500e-01	5.090e-02	5.300e-01	-1.220e-01	5.600e-01	9.667e-02	5.800e-01	9.600e-02
0	8	nan	nan	4.000e-01	1.471e-01	4.500e-01	1.334e-01	4.500e-01	1.334e-01	9.000e-01	-9.793e-02
0	9	5.000e-02	3.889e-03	4.900e-01	2.460e-01	5.000e-01	8.996e-02	6.200e-01	2.687e-01	6.500e-01	-1.076e-01
1	0	nan	nan	nan	nan	1.000e+00	1.201e-01	1.000e+00	1.201e-01	1.000e+00	1.201e-01
1	1	nan	nan	1.000e+00	1.219e-01	1.000e+00	1.219e-01	1.000e+00	1.219e-01	1.000e+00	1.219e-01
1	2	nan	nan	nan	nan	1.000e+00	1.259e-01	1.000e+00	1.259e-01	1.000e+00	1.259e-01
1	3	nan	nan	nan	nan	1.000e+00	1.728e-01	1.000e+00	1.728e-01	1.000e+00	1.728e-01
1	4	nan	nan	nan	nan	1.000e+00	2.221e-01	1.000e+00	2.221e-01	1.000e+00	2.221e-01
1	5	nan	nan	1.000e+00	1.750e-01	1.000e+00	1.750e-01	1.000e+00	1.750e-01	1.000e+00	1.750e-01
1	6	nan	nan	1.000e+00	1.611e-01	1.000e+00	1.611e-01	1.000e+00	1.611e-01	1.000e+00	1.611e-01
1	7	nan	nan	1.000e+00	2.317e-01	1.000e+00	2.317e-01	1.000e+00	2.317e-01	1.000e+00	2.317e-01
1	8	nan	nan	5.300e-01	1.207e-01	1.000e+00	1.457e-01	1.000e+00	1.457e-01	1.000e+00	1.457e-01
1	9	5.000e-02	1.805e-01	8.800e-01	1.714e-01	1.000e+00	3.151e-01	1.000e+00	3.151e-01	1.000e+00	3.151e-01
2	0	nan	nan	nan	nan	nan	nan	1.000e+00	2.694e-01	1.000e+00	2.694e-01
2	1	nan	nan	nan	nan	1.000e+00	2.742e-01	1.000e+00	2.742e-01	1.000e+00	2.742e-01
2	2	nan	nan	nan	nan	1.000e+00	2.901e-01	1.000e+00	2.901e-01	1.000e+00	2.901e-01
2	3	nan	nan	1.000e+00	2.792e-01	1.000e+00	2.792e-01	1.000e+00	2.792e-01	1.000e+00	2.792e-01
2	4	nan	nan	nan	nan	1.000e+00	2.027e-01	1.000e+00	2.027e-01	1.000e+00	2.027e-01
