x	y	progress.rate.q.0.05.0.00.quality.maturePerformance	progress.rate.q.0.05.0.00.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.0.10.quality.maturePerformance	progress.rate.q.0.05.0.10.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.0.25.quality.maturePerformance	progress.rate.q.0.05.0.25.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.0.50.quality.maturePerformance	progress.rate.q.0.05.0.50.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.1.00.quality.maturePerformance	progress.rate.q.0.05.1.00.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.
0	0	nan	nan	4.500e-01	4.547e-03	1.000e+00	7.247e-02	1.000e+00	7.247e-02	1.000e+00	7.247e-02
0	1	5.000e-02	3.919e-07	3.100e-01	2.884e-02	9.400e-01	5.982e-02	1.000e+00	7.247e-02	1.000e+00	7.247e-02
0	2	nan	nan	2.600e-01	4.202e-02	6.500e-01	2.689e-02	1.000e+00	4.816e-02	1.000e+00	4.816e-02
0	3	nan	nan	5.000e-01	4.149e-02	6.500e-01	3.870e-02	6.500e-01	3.870e-02	1.000e+00	1.275e-01
0	4	nan	nan	4.200e-01	7.482e-02	1.000e+00	7.663e-02	1.000e+00	7.663e-02	1.000e+00	7.663e-02
0	5	nan	nan	5.000e-01	5.345e-02	5.000e-01	5.345e-02	8.200e-01	1.110e-01	9.500e-01	9.556e-02
0	6	nan	nan	4.500e-01	1.078e-01	6.500e-01	4.188e-02	1.000e+00	1.668e-01	1.000e+00	1.668e-01
0	7	nan	nan	5.600e-01	3.428e-02	6.500e-01	6.986e-02	8.600e-01	4.194e-02	8.600e-01	4.194e-02
0	8	5.000e-02	1.397e-08	3.500e-01	8.398e-02	4.000e-01	9.807e-02	6.500e-01	4.575e-02	7.500e-01	8.271e-02
0	9	4.500e-01	4.507e-02	6.000e-01	2.134e-02	7.100e-01	-8.047e-02	7.100e-01	-8.047e-02	8.100e-01	1.869e-01
1	0	nan	nan	nan	nan	nan	nan	nan	nan	1.000e+00	1.094e-01
1	1	nan	nan	nan	nan	1.000e+00	1.960e-01	1.000e+00	1.960e-01	1.000e+00	1.960e-01
1	2	nan	nan	nan	nan	1.000e+00	1.198e-01	1.000e+00	1.198e-01	1.000e+00	1.198e-01
1	3	nan	nan	nan	nan	1.000e+00	1.833e-01	1.000e+00	1.833e-01	1.000e+00	1.833e-01
1	4	nan	nan	nan	nan	1.000e+00	1.846e-01	1.000e+00	1.846e-01	1.000e+00	1.846e-01
1	5	nan	nan	nan	nan	5.900e-01	7.315e-02	1.000e+00	1.919e-01	1.000e+00	1.919e-01
1	6	nan	nan	nan	nan	1.000e+00	1.179e-01	1.000e+00	1.179e-01	1.000e+00	1.179e-01
1	7	nan	nan	nan	nan	1.000e+00	1.670e-01	1.000e+00	1.670e-01	1.000e+00	1.670e-01
1	8	nan	nan	6.500e-01	4.995e-02	6.500e-01	4.995e-02	1.000e+00	1.324e-01	1.000e+00	1.324e-01
1	9	3.600e-01	1.048e-01	6.500e-01	1.114e-01	1.000e+00	2.704e-01	1.000e+00	2.704e-01	1.000e+00	2.704e-01
2	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
2	1	nan	nan	nan	nan	1.000e+00	2.828e-01	1.000e+00	2.828e-01	1.000e+00	2.828e-01
2	2	nan	nan	nan	nan	1.000e+00	2.860e-01	1.000e+00	2.860e-01	1.000e+00	2.860e-01
2	3	nan	nan	nan	nan	1.000e+00	2.907e-01	1.000e+00	2.907e-01	1.000e+00	2.907e-01
2	4	nan	nan	nan	nan	1.000e+00	2.348e-01	1.000e+00	2.348e-01	1.000e+00	2.348e-01
2	5	nan	nan	1.000e+00	3.122e-01	1.000e+00	3.122e-01	1.000e+00	3.122e-01	1.000e+00	3.122e-01
2	6	nan	nan	nan	nan	1.000e+00	2.800e-01	1.000e+00	2.800e-01	1.000e+00	2.800e-01
2	7	nan	nan	1.000e+00	2.502e-01	1.000e+00	2.502e-01	1.000e+00	2.502e-01	1.000e+00	2.502e-01
2	8	nan	nan	8.200e-01	2.206e-01	1.000e+00	2.299e-01	1.000e+00	2.299e-01	1.000e+00	2.299e-01
2	9	4.000e-01	3.022e-01	1.000e+00	3.243e-01	1.000e+00	3.243e-01	1.000e+00	3.243e-01	1.000e+00	3.243e-01
3	0	nan	nan	nan	nan	nan	nan	1.000e+00	3.236e-01	1.000e+00	3.236e-01
3	1	nan	nan	nan	nan	1.000e+00	3.984e-01	1.000e+00	3.984e-01	1.000e+00	3.984e-01
3	2	nan	nan	nan	nan	nan	nan	1.000e+00	3.711e-01	1.000e+00	3.711e-01
3	3	nan	nan	nan	nan	1.000e+00	3.743e-01	1.000e+00	3.743e-01	1.000e+00	3.743e-01
3	4	nan	nan	nan	nan	1.000e+00	3.786e-01	1.000e+00	3.786e-01	1.000e+00	3.786e-01
3	5	nan	nan	nan	nan	1.000e+00	2.963e-01	1.000e+00	2.963e-01	1.000e+00	2.963e-01
3	6	nan	nan	nan	nan	1.000e+00	3.814e-01	1.000e+00	3.814e-01	1.000e+00	3.814e-01
3	7	nan	nan	nan	nan	1.000e+00	4.147e-01	1.000e+00	4.147e-01	1.000e+00	4.147e-01
3	8	nan	nan	8.500e-01	1.290e-01	1.000e+00	4.361e-01	1.000e+00	4.361e-01	1.000e+00	4.361e-01
3	9	4.500e-01	1.947e-01	1.000e+00	4.229e-01	1.000e+00	4.229e-01	1.000e+00	4.229e-01	1.000e+00	4.229e-01
4	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
4	1	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
4	2	nan	nan	1.000e+00	4.677e-01	1.000e+00	4.677e-01	1.000e+00	4.677e-01	1.000e+00	4.677e-01
4	3	nan	nan	nan	nan	1.000e+00	4.008e-01	1.000e+00	4.008e-01	1.000e+00	4.008e-01
4	4	nan	nan	nan	nan	1.000e+00	4.780e-01	1.000e+00	4.780e-01	1.000e+00	4.780e-01
4	5	nan	nan	nan	nan	1.000e+00	4.916e-01	1.000e+00	4.916e-01	1.000e+00	4.916e-01
4	6	nan	nan	nan	nan	1.000e+00	4.381e-01	1.000e+00	4.381e-01	1.000e+00	4.381e-01
4	7	nan	nan	nan	nan	1.000e+00	4.669e-01	1.000e+00	4.669e-01	1.000e+00	4.669e-01
4	8	nan	nan	nan	nan	1.000e+00	4.601e-01	1.000e+00	4.601e-01	1.000e+00	4.601e-01
4	9	4.000e-01	4.996e-01	1.000e+00	4.886e-01	1.000e+00	4.886e-01	1.000e+00	4.886e-01	1.000e+00	4.886e-01
5	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
5	1	nan	nan	nan	nan	nan	nan	nan	nan	1.000e+00	5.247e-01
5	2	nan	nan	nan	nan	nan	nan	1.000e+00	5.362e-01	1.000e+00	5.362e-01
5	3	nan	nan	nan	nan	nan	nan	1.000e+00	5.561e-01	1.000e+00	5.561e-01
5	4	nan	nan	nan	nan	1.000e+00	6.001e-01	1.000e+00	6.001e-01	1.000e+00	6.001e-01
5	5	nan	nan	nan	nan	nan	nan	1.000e+00	5.618e-01	1.000e+00	5.618e-01
5	6	nan	nan	nan	nan	1.000e+00	5.691e-01	1.000e+00	5.691e-01	1.000e+00	5.691e-01
5	7	nan	nan	1.000e+00	6.327e-01	1.000e+00	6.327e-01	1.000e+00	6.327e-01	1.000e+00	6.327e-01
5	8	nan	nan	nan	nan	1.000e+00	5.026e-01	1.000e+00	5.026e-01	1.000e+00	5.026e-01
5	9	5.000e-01	4.998e-01	1.000e+00	5.046e-01	1.000e+00	5.046e-01	1.000e+00	5.046e-01	1.000e+00	5.046e-01
6	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
6	1	nan	nan	nan	nan	1.000e+00	7.014e-01	1.000e+00	7.014e-01	1.000e+00	7.014e-01
6	2	nan	nan	nan	nan	1.000e+00	6.466e-01	1.000e+00	6.466e-01	1.000e+00	6.466e-01
6	3	nan	nan	nan	nan	nan	nan	1.000e+00	6.282e-01	1.000e+00	6.282e-01
6	4	nan	nan	nan	nan	nan	nan	1.000e+00	7.247e-01	1.000e+00	7.247e-01
6	5	nan	nan	nan	nan	1.000e+00	6.854e-01	1.000e+00	6.854e-01	1.000e+00	6.854e-01
6	6	nan	nan	nan	nan	1.000e+00	7.244e-01	1.000e+00	7.244e-01	1.000e+00	7.244e-01
6	7	nan	nan	nan	nan	1.000e+00	6.692e-01	1.000e+00	6.692e-01	1.000e+00	6.692e-01
6	8	nan	nan	nan	nan	nan	nan	1.000e+00	7.191e-01	1.000e+00	7.191e-01
6	9	9.600e-01	5.709e-01	1.000e+00	6.859e-01	1.000e+00	6.859e-01	1.000e+00	6.859e-01	1.000e+00	6.859e-01
7	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
7	1	nan	nan	nan	nan	nan	nan	nan	nan	1.000e+00	7.750e-01
7	2	nan	nan	nan	nan	nan	nan	1.000e+00	7.456e-01	1.000e+00	7.456e-01
7	3	nan	nan	nan	nan	nan	nan	1.000e+00	7.688e-01	1.000e+00	7.688e-01
7	4	nan	nan	nan	nan	1.000e+00	6.783e-01	1.000e+00	6.783e-01	1.000e+00	6.783e-01
7	5	nan	nan	nan	nan	1.000e+00	7.563e-01	1.000e+00	7.563e-01	1.000e+00	7.563e-01
7	6	nan	nan	nan	nan	1.000e+00	8.167e-01	1.000e+00	8.167e-01	1.000e+00	8.167e-01
7	7	nan	nan	nan	nan	1.000e+00	7.117e-01	1.000e+00	7.117e-01	1.000e+00	7.117e-01
7	8	nan	nan	nan	nan	1.000e+00	7.558e-01	1.000e+00	7.558e-01	1.000e+00	7.558e-01
7	9	nan	nan	1.000e+00	7.269e-01	1.000e+00	7.269e-01	1.000e+00	7.269e-01	1.000e+00	7.269e-01
8	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
8	1	nan	nan	nan	nan	1.000e+00	9.383e-01	1.000e+00	9.383e-01	1.000e+00	9.383e-01
8	2	nan	nan	nan	nan	1.000e+00	8.440e-01	1.000e+00	8.440e-01	1.000e+00	8.440e-01
8	3	nan	nan	1.000e+00	8.973e-01	1.000e+00	8.973e-01	1.000e+00	8.973e-01	1.000e+00	8.973e-01
8	4	nan	nan	1.000e+00	7.786e-01	1.000e+00	7.786e-01	1.000e+00	7.786e-01	1.000e+00	7.786e-01
8	5	nan	nan	nan	nan	1.000e+00	7.239e-01	1.000e+00	7.239e-01	1.000e+00	7.239e-01
8	6	nan	nan	nan	nan	1.000e+00	8.083e-01	1.000e+00	8.083e-01	1.000e+00	8.083e-01
8	7	nan	nan	nan	nan	1.000e+00	9.357e-01	1.000e+00	9.357e-01	1.000e+00	9.357e-01
8	8	nan	nan	nan	nan	1.000e+00	8.928e-01	1.000e+00	8.928e-01	1.000e+00	8.928e-01
8	9	nan	nan	1.000e+00	7.648e-01	1.000e+00	7.648e-01	1.000e+00	7.648e-01	1.000e+00	7.648e-01
9	0	nan	nan	1.000e+00	9.898e-01	1.000e+00	9.898e-01	1.000e+00	9.898e-01	1.000e+00	9.898e-01
9	1	nan	nan	1.000e+00	9.433e-01	1.000e+00	9.433e-01	1.000e+00	9.433e-01	1.000e+00	9.433e-01
9	2	nan	nan	1.000e+00	9.943e-01	1.000e+00	9.943e-01	1.000e+00	9.943e-01	1.000e+00	9.943e-01
9	3	nan	nan	1.000e+00	9.763e-01	1.000e+00	9.763e-01	1.000e+00	9.763e-01	1.000e+00	9.763e-01
