x	y	progress.rate.q.0.05.0.00.quality.maturePerformance	progress.rate.q.0.05.0.00.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.0.10.quality.maturePerformance	progress.rate.q.0.05.0.10.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.0.25.quality.maturePerformance	progress.rate.q.0.05.0.25.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.0.50.quality.maturePerformance	progress.rate.q.0.05.0.50.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.1.00.quality.maturePerformance	progress.rate.q.0.05.1.00.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.
0	0	nan	nan	6.500e-01	2.716e-03	6.500e-01	2.716e-03	6.500e-01	2.716e-03	8.400e-01	1.541e-02
0	1	nan	nan	5.000e-02	-6.803e-04	9.500e-01	1.393e-01	1.000e+00	8.045e-02	1.000e+00	8.045e-02
0	2	nan	nan	6.000e-01	1.219e-01	6.500e-01	3.254e-02	9.300e-01	3.831e-02	1.000e+00	1.361e-01
0	3	nan	nan	6.500e-01	5.434e-02	1.000e+00	1.218e-01	1.000e+00	1.218e-01	1.000e+00	1.218e-01
0	4	nan	nan	5.000e-01	-5.123e-03	6.500e-01	6.610e-02	8.600e-01	1.986e-02	1.000e+00	8.092e-02
0	5	nan	nan	4.800e-01	5.920e-02	6.500e-01	3.312e-02	6.500e-01	3.312e-02	8.000e-01	6.553e-02
0	6	nan	nan	6.500e-01	9.683e-02	6.500e-01	9.683e-02	6.500e-01	9.683e-02	6.500e-01	9.683e-02
0	7	nan	nan	5.000e-01	3.849e-02	6.500e-01	5.812e-02	6.500e-01	5.812e-02	6.500e-01	5.812e-02
0	8	nan	nan	6.500e-01	9.249e-02	6.500e-01	9.249e-02	6.500e-01	9.249e-02	6.500e-01	9.249e-02
0	9	4.500e-01	7.420e-02	6.500e-01	4.624e-02	6.500e-01	4.624e-02	6.500e-01	4.624e-02	6.500e-01	4.624e-02
1	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
1	1	nan	nan	nan	nan	1.000e+00	1.534e-01	1.000e+00	1.534e-01	1.000e+00	1.534e-01
1	2	nan	nan	nan	nan	1.000e+00	1.714e-01	1.000e+00	1.714e-01	1.000e+00	1.714e-01
1	3	nan	nan	nan	nan	1.000e+00	1.780e-01	1.000e+00	1.780e-01	1.000e+00	1.780e-01
1	4	nan	nan	nan	nan	6.500e-01	7.293e-02	1.000e+00	1.466e-01	1.000e+00	1.466e-01
1	5	nan	nan	nan	nan	1.000e+00	1.319e-01	1.000e+00	1.319e-01	1.000e+00	1.319e-01
1	6	nan	nan	6.500e-01	1.057e-01	8.900e-01	8.625e-02	1.000e+00	2.921e-01	1.000e+00	2.921e-01
1	7	nan	nan	nan	nan	6.500e-01	1.032e-01	1.000e+00	2.116e-01	1.000e+00	2.116e-01
1	8	nan	nan	4.500e-01	1.131e-01	6.500e-01	1.228e-01	1.000e+00	1.508e-01	1.000e+00	1.508e-01
1	9	1.500e-01	1.183e-04	6.500e-01	2.879e-02	1.000e+00	2.865e-01	1.000e+00	2.865e-01	1.000e+00	2.865e-01
2	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
2	1	nan	nan	nan	nan	1.000e+00	2.680e-01	1.000e+00	2.680e-01	1.000e+00	2.680e-01
2	2	nan	nan	nan	nan	1.000e+00	2.899e-01	1.000e+00	2.899e-01	1.000e+00	2.899e-01
2	3	nan	nan	nan	nan	1.000e+00	2.530e-01	1.000e+00	2.530e-01	1.000e+00	2.530e-01
2	4	nan	nan	nan	nan	1.000e+00	2.929e-01	1.000e+00	2.929e-01	1.000e+00	2.929e-01
2	5	nan	nan	nan	nan	1.000e+00	2.092e-01	1.000e+00	2.092e-01	1.000e+00	2.092e-01
2	6	nan	nan	nan	nan	1.000e+00	3.549e-01	1.000e+00	3.549e-01	1.000e+00	3.549e-01
2	7	nan	nan	nan	nan	1.000e+00	2.522e-01	1.000e+00	2.522e-01	1.000e+00	2.522e-01
2	8	nan	nan	nan	nan	8.000e-01	3.493e-01	1.000e+00	2.182e-01	1.000e+00	2.182e-01
2	9	5.000e-01	3.038e-01	1.000e+00	3.424e-01	1.000e+00	3.424e-01	1.000e+00	3.424e-01	1.000e+00	3.424e-01
