x	y	progress.rate.q.0.05.0.00.quality.maturePerformance	progress.rate.q.0.05.0.00.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.0.10.quality.maturePerformance	progress.rate.q.0.05.0.10.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.0.25.quality.maturePerformance	progress.rate.q.0.05.0.25.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.0.50.quality.maturePerformance	progress.rate.q.0.05.0.50.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.1.00.quality.maturePerformance	progress.rate.q.0.05.1.00.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.
0	0	-1.000e+00	-9.889e-01	1.000e+00	7.805e-02	1.000e+00	7.805e-02	1.000e+00	7.805e-02	1.000e+00	7.805e-02
0	1	nan	nan	1.000e+00	6.924e-02	1.000e+00	6.924e-02	1.000e+00	6.924e-02	1.000e+00	6.924e-02
0	2	nan	nan	1.000e+00	9.352e-02	1.000e+00	9.352e-02	1.000e+00	9.352e-02	1.000e+00	9.352e-02
0	3	nan	nan	6.500e-01	7.868e-02	9.500e-01	7.259e-02	1.000e+00	6.847e-02	1.000e+00	6.847e-02
0	4	nan	nan	6.900e-01	9.063e-02	9.000e-01	1.005e-01	1.000e+00	4.819e-02	1.000e+00	4.819e-02
0	5	nan	nan	8.300e-01	9.969e-02	1.000e+00	1.029e-01	1.000e+00	1.029e-01	1.000e+00	1.029e-01
0	6	nan	nan	3.200e-01	-2.564e-03	5.000e-01	-4.524e-02	5.500e-01	9.705e-02	5.500e-01	9.705e-02
0	7	nan	nan	4.500e-01	1.192e-02	4.500e-01	1.192e-02	5.200e-01	8.372e-02	8.800e-01	1.113e-01
0	8	nan	nan	5.000e-01	-3.959e-02	5.000e-01	-3.959e-02	5.000e-01	-3.959e-02	5.000e-01	-3.959e-02
0	9	5.000e-01	-3.612e-02	5.000e-01	-3.612e-02	5.000e-01	-3.612e-02	6.500e-01	-2.474e-02	6.500e-01	-2.474e-02
1	0	nan	nan	nan	nan	1.000e+00	9.908e-02	1.000e+00	9.908e-02	1.000e+00	9.908e-02
1	1	nan	nan	1.000e+00	1.043e-01	1.000e+00	1.043e-01	1.000e+00	1.043e-01	1.000e+00	1.043e-01
1	2	nan	nan	1.000e+00	1.224e-01	1.000e+00	1.224e-01	1.000e+00	1.224e-01	1.000e+00	1.224e-01
1	3	nan	nan	1.000e+00	1.933e-01	1.000e+00	1.933e-01	1.000e+00	1.933e-01	1.000e+00	1.933e-01
1	4	nan	nan	1.000e+00	2.060e-01	1.000e+00	2.060e-01	1.000e+00	2.060e-01	1.000e+00	2.060e-01
1	5	nan	nan	1.000e+00	1.499e-01	1.000e+00	1.499e-01	1.000e+00	1.499e-01	1.000e+00	1.499e-01
1	6	nan	nan	9.700e-01	1.310e-01	9.700e-01	1.310e-01	1.000e+00	8.552e-02	1.000e+00	8.552e-02
1	7	nan	nan	1.000e+00	1.615e-01	1.000e+00	1.615e-01	1.000e+00	1.615e-01	1.000e+00	1.615e-01
1	8	nan	nan	6.500e-01	1.823e-01	1.000e+00	1.829e-01	1.000e+00	1.829e-01	1.000e+00	1.829e-01
1	9	2.900e-01	7.844e-02	1.000e+00	1.694e-01	1.000e+00	1.694e-01	1.000e+00	1.694e-01	1.000e+00	1.694e-01
2	0	nan	nan	nan	nan	nan	nan	1.000e+00	2.210e-01	1.000e+00	2.210e-01
2	1	nan	nan	1.000e+00	2.553e-01	1.000e+00	2.553e-01	1.000e+00	2.553e-01	1.000e+00	2.553e-01
2	2	nan	nan	1.000e+00	2.915e-01	1.000e+00	2.915e-01	1.000e+00	2.915e-01	1.000e+00	2.915e-01
2	3	nan	nan	1.000e+00	1.920e-01	1.000e+00	1.920e-01	1.000e+00	1.920e-01	1.000e+00	1.920e-01
2	4	nan	nan	1.000e+00	2.664e-01	1.000e+00	2.664e-01	1.000e+00	2.664e-01	1.000e+00	2.664e-01
2	5	nan	nan	1.000e+00	2.284e-01	1.000e+00	2.284e-01	1.000e+00	2.284e-01	1.000e+00	2.284e-01
2	6	nan	nan	1.000e+00	2.180e-01	1.000e+00	2.180e-01	1.000e+00	2.180e-01	1.000e+00	2.180e-01
2	7	nan	nan	1.000e+00	2.123e-01	1.000e+00	2.123e-01	1.000e+00	2.123e-01	1.000e+00	2.123e-01
2	8	nan	nan	8.500e-01	1.907e-01	1.000e+00	2.616e-01	1.000e+00	2.616e-01	1.000e+00	2.616e-01
2	9	4.500e-01	3.320e-01	1.000e+00	2.220e-01	1.000e+00	2.220e-01	1.000e+00	2.220e-01	1.000e+00	2.220e-01
3	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
3	1	nan	nan	nan	nan	1.000e+00	3.823e-01	1.000e+00	3.823e-01	1.000e+00	3.823e-01
3	2	nan	nan	1.000e+00	4.068e-01	1.000e+00	4.068e-01	1.000e+00	4.068e-01	1.000e+00	4.068e-01
3	3	nan	nan	1.000e+00	3.496e-01	1.000e+00	3.496e-01	1.000e+00	3.496e-01	1.000e+00	3.496e-01
