x	y	progress.rate.q.0.05.0.00.fitness	progress.rate.q.0.05.0.00.frozen	progress.rate.q.0.05.0.00.copy.no.reset	progress.rate.q.0.05.0.00.copy.reset	progress.rate.q.0.05.0.00.or.no.reset	progress.rate.q.0.05.0.00.or.reset	progress.rate.q.0.05.0.10.fitness	progress.rate.q.0.05.0.10.frozen	progress.rate.q.0.05.0.10.copy.no.reset	progress.rate.q.0.05.0.10.copy.reset	progress.rate.q.0.05.0.10.or.no.reset	progress.rate.q.0.05.0.10.or.reset	progress.rate.q.0.05.0.25.fitness	progress.rate.q.0.05.0.25.frozen	progress.rate.q.0.05.0.25.copy.no.reset	progress.rate.q.0.05.0.25.copy.reset	progress.rate.q.0.05.0.25.or.no.reset	progress.rate.q.0.05.0.25.or.reset	progress.rate.q.0.05.0.50.fitness	progress.rate.q.0.05.0.50.frozen	progress.rate.q.0.05.0.50.copy.no.reset	progress.rate.q.0.05.0.50.copy.reset	progress.rate.q.0.05.0.50.or.no.reset	progress.rate.q.0.05.0.50.or.reset	progress.rate.q.0.05.1.00.fitness	progress.rate.q.0.05.1.00.frozen	progress.rate.q.0.05.1.00.copy.no.reset	progress.rate.q.0.05.1.00.copy.reset	progress.rate.q.0.05.1.00.or.no.reset	progress.rate.q.0.05.1.00.or.reset
0	0	1.000e-02	-6.512e-12	-4.256e-05	3.592e-04	4.897e-04	-2.174e-03	1.000e-01	-2.150e-08	-1.260e-04	-1.603e-04	1.191e-03	-5.271e-03	1.000e+00	1.000e+00	1.000e+00	1.000e+00	2.950e-01	1.000e+00	1.000e+00	1.000e+00	1.000e+00	1.000e+00	2.950e-01	1.000e+00	1.000e+00	1.000e+00	1.000e+00	1.000e+00	2.950e-01	1.000e+00
0	1	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	3.800e-01	1.875e-04	5.396e-04	5.037e-04	-1.130e-02	2.597e-02	3.900e-01	5.334e-05	-1.454e-03	9.742e-05	2.310e-02	-6.595e-03	1.000e+00	1.000e+00	9.948e-01	9.948e-01	4.000e-01	4.000e-01
0	2	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
0	3	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
0	4	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
0	5	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
0	6	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
0	7	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
0	8	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	8.900e-01	1.000e+00	4.500e-01	4.500e-01	1.000e+00	1.000e+00	8.900e-01	1.000e+00	4.500e-01	4.500e-01	1.000e+00	1.000e+00
0	9	4.500e-01	5.000e-01	4.500e-01	4.500e-01	1.000e+00	1.000e+00	4.500e-01	5.000e-01	4.500e-01	4.500e-01	1.000e+00	1.000e+00	7.800e-01	1.000e+00	4.500e-01	1.000e+00	1.000e+00	1.000e+00	9.500e-01	1.000e+00	9.500e-01	9.500e-01	5.000e-01	5.000e-01	9.500e-01	1.000e+00	9.500e-01	9.500e-01	5.000e-01	5.000e-01
1	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.000e+00	1.000e+00	4.500e-01	1.000e+00	1.000e+00	1.000e+00	1.000e+00	1.000e+00	4.500e-01	1.000e+00	1.000e+00	1.000e+00	1.000e+00	1.000e+00	4.500e-01	1.000e+00	1.000e+00	1.000e+00
1	1	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.000e+00	1.000e+00	9.948e-01	9.948e-01	4.000e-01	4.000e-01
1	2	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.000e+00	1.000e+00	9.905e-01	9.905e-01	4.500e-01	4.482e-01
1	3	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.000e+00	1.000e+00	9.872e-01	9.872e-01	4.500e-01	4.500e-01
1	4	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.000e+00	1.000e+00	9.849e-01	9.849e-01	4.500e-01	4.500e-01
1	5	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.000e+00	1.000e+00	9.799e-01	9.799e-01	4.500e-01	4.482e-01
1	6	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.000e+00	1.000e+00	9.754e-01	9.754e-01	4.500e-01	4.500e-01
1	7	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.000e+00	1.000e+00	9.750e-01	9.750e-01	4.500e-01	4.500e-01
1	8	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	8.900e-01	1.000e+00	4.500e-01	4.500e-01	1.000e+00	1.000e+00	9.100e-01	1.000e+00	1.000e+00	5.500e-01	6.500e-01	3.816e-01	9.500e-01	1.000e+00	9.475e-01	9.712e-01	4.500e-01	4.500e-01
1	9	4.500e-01	5.000e-01	4.500e-01	4.500e-01	1.000e+00	1.000e+00	5.500e-01	5.000e-01	5.500e-01	5.500e-01	9.000e-01	9.000e-01	7.800e-01	1.000e+00	4.500e-01	4.500e-01	1.000e+00	1.000e+00	9.500e-01	1.000e+00	9.500e-01	9.500e-01	5.000e-01	5.000e-01	9.500e-01	1.000e+00	9.500e-01	9.500e-01	5.000e-01	5.000e-01
2	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.000e+00	1.000e+00	4.500e-01	1.000e+00	1.000e+00	1.000e+00	1.000e+00	1.000e+00	4.500e-01	1.000e+00	1.000e+00	1.000e+00	1.000e+00	1.000e+00	4.500e-01	1.000e+00	1.000e+00	1.000e+00
2	1	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.000e+00	1.000e+00	9.948e-01	9.948e-01	4.000e-01	4.000e-01
2	2	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.000e+00	1.000e+00	9.905e-01	9.905e-01	4.500e-01	4.482e-01	1.000e+00	1.000e+00	9.905e-01	9.905e-01	4.500e-01	4.482e-01
2	3	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.000e+00	1.000e+00	9.871e-01	9.871e-01	4.500e-01	4.500e-01	1.000e+00	1.000e+00	9.871e-01	9.871e-01	4.500e-01	4.500e-01
2	4	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.000e+00	1.000e+00	9.849e-01	9.849e-01	4.500e-01	4.482e-01	1.000e+00	1.000e+00	9.849e-01	9.849e-01	4.500e-01	4.482e-01
2	5	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.000e+00	1.000e+00	9.799e-01	9.799e-01	4.500e-01	4.482e-01
2	6	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.000e+00	1.000e+00	9.754e-01	9.754e-01	4.500e-01	4.500e-01
2	7	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.000e+00	1.000e+00	9.750e-01	9.750e-01	4.500e-01	4.500e-01
2	8	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	9.100e-01	1.000e+00	1.000e+00	1.000e+00	6.500e-01	3.816e-01	1.000e+00	1.000e+00	9.592e-01	9.592e-01	4.500e-01	4.482e-01
2	9	5.000e-01	5.000e-01	5.000e-01	5.000e-01	1.000e+00	1.000e+00	6.000e-01	5.000e-01	6.000e-01	6.000e-01	1.000e+00	1.000e+00	7.400e-01	1.000e+00	1.000e+00	1.000e+00	2.950e-01	1.000e+00	9.500e-01	1.000e+00	9.500e-01	9.500e-01	5.000e-01	5.000e-01	9.500e-01	1.000e+00	9.500e-01	9.500e-01	5.000e-01	5.000e-01
3	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.000e+00	1.000e+00	1.000e+00	1.000e+00	2.950e-01	1.000e+00	1.000e+00	1.000e+00	1.000e+00	1.000e+00	2.950e-01	1.000e+00	1.000e+00	1.000e+00	1.000e+00	1.000e+00	2.950e-01	1.000e+00
