row;0;1;2;3;4;5;6;7;8
0.0;-10.0;8.0;8.0;-1.0045070395392806;-5.0;-5.0;-10.0;-10.0;-10.0
1.0;-10.0;7.0;7.0;-2.0045070395392806;-6.0;-6.0;-10.0;-10.0;-10.0
2.0;-10.0;6.0;6.0;-3.0045070395392806;-7.0;-7.0;-10.0;-10.0;-10.0
3.0;-10.0;5.0;5.0;-4.0045070395392806;-8.0;-8.0;-10.0;-10.0;-10.0
4.0;-10.0;4.0;4.0;-5.0045070395392806;-9.0;-9.0;-10.0;-10.0;-10.0
5.0;-9.0;5.0;5.0;-4.0045070395392806;-8.0;-8.0;-10.0;-10.0;-10.0
6.0;-9.0;10.0;10.0;-3.0045070395392806;-7.0;-7.0;-10.0;-10.0;-10.0
7.0;-9.0;10.0;10.0;-3.0045070395392806;-7.0;-7.0;-10.0;-10.0;-10.0
8.0;-10.0;9.0;9.0;-4.0045070395392806;-8.0;-8.0;-10.0;-10.0;-10.0
9.0;-10.0;8.0;8.0;-5.0045070395392806;-9.0;-9.0;-10.0;-10.0;-10.0
10.0;-10.0;10.0;10.0;-4.0045070395392806;-8.0;-8.0;-10.0;-10.0;-10.0
11.0;-10.0;10.0;10.0;-3.0045070395392806;-7.0;-7.0;-10.0;-10.0;-10.0
12.0;-10.0;10.0;10.0;-2.0045070395392806;-6.0;-6.0;-10.0;-10.0;-10.0
13.0;-10.0;10.0;10.0;-2.0045070395392806;-6.0;-6.0;-10.0;-10.0;-10.0
14.0;-10.0;10.0;10.0;-2.0045070395392806;-6.0;-6.0;-10.0;-10.0;-10.0
15.0;-10.0;10.0;10.0;-2.0045070395392806;-6.0;-6.0;-10.0;-10.0;-10.0
16.0;-10.0;10.0;10.0;-2.0045070395392806;-6.0;-6.0;-10.0;-10.0;-10.0
17.0;-10.0;10.0;10.0;-2.0045070395392806;-6.0;-6.0;-10.0;-10.0;-10.0
18.0;-10.0;10.0;10.0;-2.0045070395392806;-6.0;-6.0;-10.0;-10.0;-10.0
19.0;-10.0;10.0;10.0;-2.0045070395392806;-6.0;-6.0;-10.0;-10.0;-10.0
20.0;-10.0;9.0;9.0;-3.0045070395392806;-7.0;-7.0;-10.0;-10.0;-10.0
21.0;-10.0;8.0;8.0;-4.0045070395392806;-8.0;-8.0;-10.0;-10.0;-10.0
22.0;-10.0;8.0;8.0;-4.0045070395392806;-8.0;-8.0;-10.0;-10.0;-10.0
23.0;-10.0;10.0;10.0;-3.0045070395392806;-7.0;-7.0;-10.0;-10.0;-10.0
24.0;-10.0;10.0;10.0;-2.0045070395392806;-6.0;-6.0;-10.0;-10.0;-10.0
25.0;-10.0;10.0;10.0;-2.0045070395392806;-6.0;-6.0;-10.0;-10.0;-10.0
26.0;-10.0;9.0;9.0;-3.0045070395392806;-7.0;-7.0;-10.0;-10.0;-10.0
27.0;-10.0;10.0;10.0;-2.0045070395392806;-6.0;-6.0;-10.0;-10.0;-10.0
28.0;-10.0;10.0;10.0;-1.0045070395392806;-5.0;-5.0;-10.0;-10.0;-10.0
29.0;-10.0;10.0;10.0;-1.0045070395392806;-5.0;-5.0;-10.0;-10.0;-10.0
30.0;-10.0;10.0;10.0;-0.004507039539280555;-4.0;-4.0;-10.0;-10.0;-10.0
31.0;-10.0;9.0;9.0;-1.0045070395392806;-5.0;-5.0;-10.0;-10.0;-10.0
32.0;-10.0;9.0;9.0;-1.0045070395392806;-5.0;-5.0;-10.0;-10.0;-10.0
33.0;-10.0;10.0;10.0;-0.004507039539280555;-4.0;-4.0;-10.0;-10.0;-10.0
