x	y	progress.rate.q.0.05.0.00.fitness	progress.rate.q.0.05.0.00.frozen	progress.rate.q.0.05.0.00.copy.no.reset	progress.rate.q.0.05.0.00.copy.reset	progress.rate.q.0.05.0.00.or.no.reset	progress.rate.q.0.05.0.00.or.reset	progress.rate.q.0.05.0.10.fitness	progress.rate.q.0.05.0.10.frozen	progress.rate.q.0.05.0.10.copy.no.reset	progress.rate.q.0.05.0.10.copy.reset	progress.rate.q.0.05.0.10.or.no.reset	progress.rate.q.0.05.0.10.or.reset	progress.rate.q.0.05.0.25.fitness	progress.rate.q.0.05.0.25.frozen	progress.rate.q.0.05.0.25.copy.no.reset	progress.rate.q.0.05.0.25.copy.reset	progress.rate.q.0.05.0.25.or.no.reset	progress.rate.q.0.05.0.25.or.reset	progress.rate.q.0.05.0.50.fitness	progress.rate.q.0.05.0.50.frozen	progress.rate.q.0.05.0.50.copy.no.reset	progress.rate.q.0.05.0.50.copy.reset	progress.rate.q.0.05.0.50.or.no.reset	progress.rate.q.0.05.0.50.or.reset	progress.rate.q.0.05.1.00.fitness	progress.rate.q.0.05.1.00.frozen	progress.rate.q.0.05.1.00.copy.no.reset	progress.rate.q.0.05.1.00.copy.reset	progress.rate.q.0.05.1.00.or.no.reset	progress.rate.q.0.05.1.00.or.reset
0	0	nan	nan	nan	nan	nan	nan	5.000e-02	-1.084e-07	8.471e-04	8.139e-04	-7.447e-03	-8.052e-03	4.500e-01	-3.608e-06	-1.578e-03	-1.114e-03	2.220e-02	1.309e-02	4.500e-01	-3.608e-06	-1.578e-03	-1.117e-03	2.220e-02	1.342e-02	4.500e-01	-3.608e-06	-1.578e-03	-1.082e-03	2.220e-02	1.346e-02
0	1	nan	nan	nan	nan	nan	nan	2.300e-01	-1.227e-05	-2.187e-03	-1.569e-03	3.065e-02	1.812e-02	4.500e-01	-2.540e-05	-3.580e-03	-2.465e-03	5.044e-02	3.178e-02	4.500e-01	-2.540e-05	-3.580e-03	-2.473e-03	5.044e-02	3.056e-02	4.500e-01	-2.540e-05	-3.580e-03	-2.479e-03	5.044e-02	3.060e-02
0	2	nan	nan	nan	nan	nan	nan	4.500e-01	6.839e-05	-4.426e-03	-3.347e-03	6.455e-02	4.160e-02	4.500e-01	6.839e-05	-4.426e-03	-3.274e-03	6.455e-02	4.083e-02	4.500e-01	6.839e-05	-4.426e-03	-3.293e-03	6.455e-02	4.259e-02	4.500e-01	6.839e-05	-4.426e-03	-3.289e-03	6.455e-02	4.297e-02
0	3	nan	nan	nan	nan	nan	nan	4.500e-01	-1.538e-04	-6.831e-03	-4.433e-03	1.136e-01	6.725e-02	4.500e-01	-1.538e-04	-6.831e-03	-4.479e-03	1.136e-01	6.841e-02	4.500e-01	-1.538e-04	-6.831e-03	-4.518e-03	1.136e-01	6.590e-02	4.500e-01	-1.538e-04	-6.831e-03	-4.519e-03	1.136e-01	6.545e-02
0	4	-5.000e-01	2.515e-04	-1.644e-03	6.813e-04	6.264e-02	1.792e-02	4.300e-01	4.498e-04	-5.619e-03	-4.765e-03	1.018e-01	6.454e-02	4.500e-01	-3.193e-04	-9.042e-03	-6.548e-03	1.363e-01	8.338e-02	4.500e-01	-3.193e-04	-9.042e-03	-6.691e-03	1.363e-01	8.567e-02	4.500e-01	-3.193e-04	-9.042e-03	-6.682e-03	1.363e-01	8.460e-02
0	5	nan	nan	nan	nan	nan	nan	4.500e-01	6.752e-04	-7.427e-03	-5.863e-03	1.596e-01	9.705e-02	4.500e-01	6.752e-04	-7.427e-03	-5.745e-03	1.596e-01	9.681e-02	4.500e-01	6.752e-04	-7.427e-03	-5.799e-03	1.596e-01	9.630e-02	4.500e-01	6.752e-04	-7.427e-03	-5.824e-03	1.596e-01	9.858e-02
0	6	nan	nan	nan	nan	nan	nan	4.500e-01	8.937e-04	-7.568e-03	-6.891e-03	1.603e-01	1.073e-01	4.500e-01	8.937e-04	-7.568e-03	-6.906e-03	1.603e-01	1.096e-01	4.500e-01	8.937e-04	-7.568e-03	-6.884e-03	1.603e-01	1.097e-01	4.500e-01	8.937e-04	-7.568e-03	-6.878e-03	1.603e-01	1.093e-01
0	7	nan	nan	nan	nan	nan	nan	4.500e-01	1.827e-03	-6.952e-03	-7.476e-03	1.903e-01	1.293e-01	4.500e-01	1.827e-03	-6.952e-03	-7.466e-03	1.903e-01	1.263e-01	4.500e-01	1.827e-03	-6.952e-03	-7.468e-03	1.903e-01	1.285e-01	4.500e-01	1.827e-03	-6.952e-03	-7.459e-03	1.903e-01	1.275e-01
0	8	nan	nan	nan	nan	nan	nan	4.500e-01	2.123e-03	-6.615e-03	-7.199e-03	2.143e-01	1.410e-01	4.500e-01	2.123e-03	-6.615e-03	-7.184e-03	2.143e-01	1.399e-01	4.500e-01	2.123e-03	-6.615e-03	-7.193e-03	2.143e-01	1.403e-01	4.500e-01	2.123e-03	-6.615e-03	-7.193e-03	2.143e-01	1.398e-01
0	9	4.500e-01	8.689e-02	2.541e-01	6.446e-02	8.018e-01	5.649e-01	4.500e-01	8.689e-02	2.541e-01	6.973e-02	8.018e-01	5.735e-01	4.500e-01	8.689e-02	2.541e-01	6.505e-02	8.018e-01	5.729e-01	4.500e-01	8.689e-02	2.541e-01	6.945e-02	8.018e-01	5.643e-01	4.500e-01	8.689e-02	2.541e-01	6.822e-02	8.018e-01	5.570e-01
1	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
1	1	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
1	2	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
1	3	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
1	4	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
1	5	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
1	6	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
1	7	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
1	8	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
1	9	4.500e-01	1.986e-01	2.605e-01	1.598e-01	5.597e-01	5.950e-01	4.500e-01	1.986e-01	2.605e-01	1.598e-01	5.597e-01	5.961e-01	4.500e-01	1.986e-01	2.605e-01	1.590e-01	5.597e-01	5.948e-01	4.500e-01	1.986e-01	2.605e-01	1.618e-01	5.597e-01	5.971e-01	4.500e-01	1.986e-01	2.605e-01	1.588e-01	5.597e-01	5.923e-01
2	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
2	1	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
2	2	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
2	3	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
2	4	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
2	5	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
