x	y	progress.rate.q.0.05.0.00.fitness	progress.rate.q.0.05.0.00.frozen	progress.rate.q.0.05.0.00.copy.no.reset	progress.rate.q.0.05.0.00.copy.reset	progress.rate.q.0.05.0.00.or.no.reset	progress.rate.q.0.05.0.00.or.reset	progress.rate.q.0.05.0.10.fitness	progress.rate.q.0.05.0.10.frozen	progress.rate.q.0.05.0.10.copy.no.reset	progress.rate.q.0.05.0.10.copy.reset	progress.rate.q.0.05.0.10.or.no.reset	progress.rate.q.0.05.0.10.or.reset	progress.rate.q.0.05.0.25.fitness	progress.rate.q.0.05.0.25.frozen	progress.rate.q.0.05.0.25.copy.no.reset	progress.rate.q.0.05.0.25.copy.reset	progress.rate.q.0.05.0.25.or.no.reset	progress.rate.q.0.05.0.25.or.reset	progress.rate.q.0.05.0.50.fitness	progress.rate.q.0.05.0.50.frozen	progress.rate.q.0.05.0.50.copy.no.reset	progress.rate.q.0.05.0.50.copy.reset	progress.rate.q.0.05.0.50.or.no.reset	progress.rate.q.0.05.0.50.or.reset	progress.rate.q.0.05.1.00.fitness	progress.rate.q.0.05.1.00.frozen	progress.rate.q.0.05.1.00.copy.no.reset	progress.rate.q.0.05.1.00.copy.reset	progress.rate.q.0.05.1.00.or.no.reset	progress.rate.q.0.05.1.00.or.reset
0	0	nan	nan	nan	nan	nan	nan	-2.000e-02	-1.446e-03	-1.722e-01	-1.099e-03	3.480e-02	-8.244e-03	1.000e+00	5.555e-02	8.480e-02	4.911e-02	4.976e-02	1.814e-02	1.000e+00	5.555e-02	8.480e-02	5.184e-02	4.976e-02	1.948e-02	1.000e+00	5.555e-02	8.480e-02	4.852e-02	4.976e-02	1.743e-02
0	1	nan	nan	nan	nan	nan	nan	5.000e-02	5.333e-03	4.397e-01	3.683e-03	9.691e-01	-1.491e-02	1.000e+00	4.361e-02	8.973e-02	4.630e-02	5.151e-02	2.033e-02	1.000e+00	4.361e-02	8.973e-02	4.242e-02	5.151e-02	2.077e-02	1.000e+00	4.361e-02	8.973e-02	4.457e-02	5.151e-02	1.931e-02
0	2	nan	nan	nan	nan	nan	nan	4.500e-01	3.098e-02	-5.004e-02	3.029e-02	4.968e-01	5.425e-02	9.500e-01	1.093e-01	1.734e-01	9.057e-02	1.084e-01	5.276e-02	1.000e+00	7.596e-02	1.263e-01	7.486e-02	5.960e-02	1.278e-02	1.000e+00	7.596e-02	1.263e-01	7.507e-02	5.960e-02	1.294e-02
0	3	nan	nan	nan	nan	nan	nan	5.000e-02	-9.801e-05	4.030e-01	3.098e-03	9.508e-01	-3.247e-02	9.000e-01	1.034e-01	2.001e-01	9.643e-02	7.853e-02	2.529e-02	9.500e-01	5.532e-02	2.220e-01	8.024e-02	7.450e-02	5.112e-02	1.000e+00	9.603e-02	1.322e-01	9.555e-02	1.164e-02	-2.385e-02
0	4	nan	nan	nan	nan	nan	nan	5.000e-01	2.167e-03	-5.000e-02	4.435e-03	5.000e-01	-2.673e-02	5.500e-01	1.022e-01	1.580e-01	8.794e-02	1.695e-01	1.143e-01	9.000e-01	1.072e-01	1.681e-01	1.006e-01	3.552e-02	-2.209e-02	1.000e+00	9.853e-02	1.328e-01	9.823e-02	5.789e-03	-2.535e-02
0	5	nan	nan	nan	nan	nan	nan	4.500e-01	6.999e-02	2.033e-02	6.319e-02	5.646e-01	1.300e-01	5.900e-01	6.408e-02	4.896e-01	7.851e-02	-6.038e-02	8.876e-02	8.500e-01	7.214e-02	9.446e-02	7.744e-02	-3.884e-02	-5.474e-02	8.500e-01	7.214e-02	9.446e-02	7.736e-02	-3.884e-02	-5.459e-02
0	6	nan	nan	nan	nan	nan	nan	3.200e-01	-6.408e-02	-5.941e-02	1.394e-02	4.678e-01	3.601e-02	5.000e-01	5.762e-02	5.532e-02	5.574e-02	2.003e-02	1.731e-02	5.500e-01	1.302e-01	1.596e-01	9.896e-02	-4.801e-02	-5.816e-02	6.500e-01	1.207e-01	1.796e-01	1.028e-01	-2.000e-02	-4.144e-02
0	7	nan	nan	nan	nan	nan	nan	4.500e-01	8.573e-02	-4.976e-02	6.917e-02	4.998e-01	1.558e-01	5.000e-01	5.599e-02	9.603e-02	6.833e-02	-9.534e-02	-4.554e-02	5.000e-01	5.599e-02	9.603e-02	6.899e-02	-9.534e-02	-4.478e-02	6.500e-01	1.587e-01	-1.520e-02	9.232e-02	-1.369e-01	-2.548e-02
0	8	nan	nan	nan	nan	nan	nan	5.000e-01	1.568e-02	-2.687e-02	2.276e-02	2.662e-01	-8.049e-02	5.000e-01	1.568e-02	-2.687e-02	2.133e-02	2.662e-01	-7.345e-02	6.000e-01	9.597e-02	1.167e-01	1.038e-01	-7.125e-02	-9.659e-02	6.000e-01	9.597e-02	1.167e-01	1.036e-01	-7.125e-02	-9.620e-02
0	9	5.000e-01	6.883e-02	1.761e-01	4.183e-02	-3.556e-01	-4.118e-01	5.000e-01	6.883e-02	1.761e-01	4.123e-02	-3.556e-01	-4.097e-01	6.000e-01	2.588e-01	-7.215e-02	4.723e-02	1.750e-01	1.858e-01	6.500e-01	3.057e-01	7.818e-02	8.877e-02	1.624e-01	1.493e-01	6.500e-01	3.057e-01	7.818e-02	8.865e-02	1.624e-01	1.477e-01
1	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
1	1	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.000e+00	1.549e-01	2.336e-01	1.366e-01	1.517e-01	5.505e-02	1.000e+00	1.549e-01	2.336e-01	1.370e-01	1.517e-01	5.366e-02	1.000e+00	1.549e-01	2.336e-01	1.378e-01	1.517e-01	5.342e-02
1	2	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.000e+00	1.561e-01	2.292e-01	1.511e-01	1.007e-01	2.240e-02	1.000e+00	1.561e-01	2.292e-01	1.483e-01	1.007e-01	2.358e-02	1.000e+00	1.561e-01	2.292e-01	1.508e-01	1.007e-01	2.152e-02
1	3	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.000e+00	8.907e-02	2.654e-01	1.137e-01	3.071e-02	1.966e-02	1.000e+00	8.907e-02	2.654e-01	1.121e-01	3.071e-02	2.039e-02	1.000e+00	8.907e-02	2.654e-01	1.110e-01	3.071e-02	2.099e-02
1	4	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.000e+00	1.328e-01	2.479e-01	1.467e-01	2.203e-01	9.857e-02	1.000e+00	1.328e-01	2.479e-01	1.422e-01	2.203e-01	9.760e-02	1.000e+00	1.328e-01	2.479e-01	1.469e-01	2.203e-01	9.746e-02
1	5	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.000e+00	1.942e-01	2.910e-01	1.866e-01	1.102e-01	-2.979e-03	1.000e+00	1.942e-01	2.910e-01	1.866e-01	1.102e-01	-2.811e-03	1.000e+00	1.942e-01	2.910e-01	1.862e-01	1.102e-01	-3.466e-03
1	6	nan	nan	nan	nan	nan	nan	4.500e-01	8.543e-02	-4.788e-02	8.077e-02	4.968e-01	1.457e-01	1.000e+00	1.604e-01	2.375e-01	1.548e-01	4.788e-02	-3.774e-02	1.000e+00	1.604e-01	2.375e-01	1.541e-01	4.788e-02	-3.868e-02	1.000e+00	1.604e-01	2.375e-01	1.540e-01	4.788e-02	-3.826e-02
1	7	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.000e+00	2.234e-01	3.380e-01	2.050e-01	2.511e-01	1.415e-01	1.000e+00	2.234e-01	3.380e-01	2.024e-01	2.511e-01	1.380e-01	1.000e+00	2.234e-01	3.380e-01	2.025e-01	2.511e-01	1.382e-01
1	8	nan	nan	nan	nan	nan	nan	4.500e-01	1.158e-01	-5.258e-02	1.004e-01	4.909e-01	1.885e-01	1.000e+00	2.060e-01	2.323e-01	1.675e-01	2.394e-01	9.835e-02	1.000e+00	2.060e-01	2.323e-01	1.675e-01	2.394e-01	1.008e-01	1.000e+00	2.060e-01	2.323e-01	1.670e-01	2.394e-01	1.009e-01
1	9	4.500e-01	1.996e-01	2.668e-01	1.738e-01	8.168e-01	7.237e-01	5.000e-01	1.942e-01	2.804e-01	1.626e-01	-2.623e-01	-3.153e-01	1.000e+00	1.674e-01	3.638e-01	1.896e-01	-1.315e-01	-8.755e-02	1.000e+00	1.674e-01	3.638e-01	1.875e-01	-1.315e-01	-8.770e-02	1.000e+00	1.674e-01	3.638e-01	1.899e-01	-1.315e-01	-8.710e-02
2	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
2	1	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
2	2	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.000e+00	2.310e-01	3.558e-01	2.148e-01	2.016e-01	5.975e-02	1.000e+00	2.310e-01	3.558e-01	2.162e-01	2.016e-01	6.046e-02	1.000e+00	2.310e-01	3.558e-01	2.166e-01	2.016e-01	6.134e-02
2	3	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.000e+00	2.781e-01	4.883e-01	2.834e-01	2.815e-01	1.540e-01	1.000e+00	2.781e-01	4.883e-01	2.843e-01	2.815e-01	1.542e-01	1.000e+00	2.781e-01	4.883e-01	2.821e-01	2.815e-01	1.536e-01
2	4	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.000e+00	2.528e-01	3.755e-01	2.380e-01	2.268e-01	8.648e-02	1.000e+00	2.528e-01	3.755e-01	2.372e-01	2.268e-01	8.596e-02	1.000e+00	2.528e-01	3.755e-01	2.367e-01	2.268e-01	8.666e-02
