x	y	progress.rate.q.0.05.0.00.quality.maturePerformance	progress.rate.q.0.05.0.00.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.0.10.quality.maturePerformance	progress.rate.q.0.05.0.10.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.0.25.quality.maturePerformance	progress.rate.q.0.05.0.25.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.0.50.quality.maturePerformance	progress.rate.q.0.05.0.50.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.1.00.quality.maturePerformance	progress.rate.q.0.05.1.00.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.
0	0	nan	nan	4.500e-01	3.858e-03	5.000e-01	9.438e-03	1.000e+00	3.328e-02	1.000e+00	3.328e-02
0	1	-5.000e-02	2.265e-04	5.500e-01	1.900e-02	6.000e-01	1.323e-02	1.000e+00	7.082e-02	1.000e+00	7.082e-02
0	2	nan	nan	6.000e-01	3.244e-02	6.000e-01	3.244e-02	1.000e+00	9.099e-02	1.000e+00	9.099e-02
0	3	nan	nan	5.000e-01	4.787e-02	7.700e-01	1.037e-01	8.100e-01	1.160e-01	9.600e-01	9.213e-02
0	4	nan	nan	5.000e-01	6.526e-02	6.000e-01	6.160e-02	8.400e-01	1.238e-01	8.400e-01	1.238e-01
0	5	nan	nan	5.000e-01	6.556e-02	6.000e-01	6.959e-02	6.000e-01	6.959e-02	6.600e-01	1.082e-01
0	6	nan	nan	5.500e-01	7.986e-02	6.000e-01	1.007e-01	6.000e-01	1.007e-01	6.000e-01	1.007e-01
0	7	nan	nan	5.500e-01	9.955e-02	6.000e-01	1.028e-01	6.000e-01	1.028e-01	6.000e-01	1.028e-01
0	8	nan	nan	4.500e-01	5.843e-02	6.000e-01	1.223e-01	6.000e-01	1.223e-01	6.000e-01	1.223e-01
0	9	5.000e-01	4.835e-02	5.000e-01	4.835e-02	5.000e-01	4.835e-02	5.000e-01	4.835e-02	5.000e-01	4.835e-02
1	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
1	1	nan	nan	nan	nan	nan	nan	1.000e+00	1.236e-01	1.000e+00	1.236e-01
1	2	nan	nan	nan	nan	nan	nan	1.000e+00	1.784e-01	1.000e+00	1.784e-01
1	3	nan	nan	nan	nan	nan	nan	8.300e-01	1.482e-01	1.000e+00	2.055e-01
1	4	nan	nan	nan	nan	nan	nan	9.500e-01	1.274e-01	1.000e+00	1.813e-01
1	5	nan	nan	nan	nan	7.700e-01	1.124e-01	8.300e-01	2.143e-01	9.700e-01	1.932e-01
1	6	nan	nan	4.500e-01	7.347e-02	6.600e-01	2.150e-01	8.300e-01	1.763e-01	9.100e-01	1.984e-01
1	7	nan	nan	6.000e-01	1.035e-01	6.000e-01	1.035e-01	7.300e-01	2.395e-01	8.200e-01	1.963e-01
