n.evals.q.1.0.	xor._.me.hebbian.network.best.quality.inconsistency	xor._.me.hebbian.network.best.quality.inconsistency.min	xor._.me.hebbian.network.best.quality.inconsistency.max	xor._.me.hebbian.layer.best.quality.inconsistency	xor._.me.hebbian.layer.best.quality.inconsistency.min	xor._.me.hebbian.layer.best.quality.inconsistency.max	xor._.me.hebbian.neuron.best.quality.inconsistency	xor._.me.hebbian.neuron.best.quality.inconsistency.min	xor._.me.hebbian.neuron.best.quality.inconsistency.max	xor._.me.hebbian.synapse.best.quality.inconsistency	xor._.me.hebbian.synapse.best.quality.inconsistency.min	xor._.me.hebbian.synapse.best.quality.inconsistency.max	xor._.me.freeForm.best.quality.inconsistency	xor._.me.freeForm.best.quality.inconsistency.min	xor._.me.freeForm.best.quality.inconsistency.max
1.000e+02	8.643e-01	5.327e-01	8.930e-01	8.660e-01	8.653e-01	8.660e-01	2.023e-01	1.377e-01	3.425e-01	3.190e-01	1.795e-01	7.271e-01	8.656e-01	7.721e-01	8.660e-01
2.000e+02	5.999e-01	4.326e-01	8.660e-01	8.652e-01	6.465e-01	8.660e-01	2.026e-01	1.741e-01	2.855e-01	1.795e-01	9.508e-02	2.750e-01	8.000e-01	7.599e-01	8.352e-01
3.000e+02	4.835e-01	4.319e-01	8.660e-01	6.721e-01	2.993e-01	8.660e-01	2.291e-01	1.854e-01	3.076e-01	1.802e-01	9.508e-02	2.742e-01	7.599e-01	7.599e-01	8.000e-01
4.000e+02	4.587e-01	4.319e-01	8.647e-01	6.370e-01	2.850e-01	8.404e-01	2.655e-01	2.061e-01	3.076e-01	2.210e-01	1.111e-01	2.750e-01	7.599e-01	7.599e-01	8.000e-01
5.000e+02	4.649e-01	4.319e-01	8.647e-01	5.217e-01	2.616e-01	8.404e-01	2.821e-01	2.173e-01	3.190e-01	2.210e-01	1.250e-01	2.750e-01	7.599e-01	7.599e-01	8.000e-01
6.000e+02	4.384e-01	4.319e-01	8.489e-01	4.224e-01	2.392e-01	6.721e-01	2.821e-01	2.173e-01	3.161e-01	2.505e-01	1.658e-01	2.808e-01	7.599e-01	7.141e-01	8.000e-01
7.000e+02	4.384e-01	4.319e-01	8.489e-01	4.069e-01	2.540e-01	6.370e-01	2.821e-01	2.173e-01	3.161e-01	2.701e-01	2.046e-01	2.906e-01	7.599e-01	7.126e-01	8.000e-01
8.000e+02	4.375e-01	4.319e-01	8.489e-01	4.224e-01	2.887e-01	5.217e-01	2.821e-01	2.173e-01	3.161e-01	2.742e-01	2.406e-01	3.179e-01	7.599e-01	7.126e-01	8.000e-01
9.000e+02	4.375e-01	4.319e-01	8.370e-01	3.504e-01	2.328e-01	4.786e-01	2.821e-01	2.173e-01	3.161e-01	2.701e-01	2.046e-01	3.179e-01	7.599e-01	6.614e-01	8.000e-01
1.000e+03	4.353e-01	4.319e-01	8.370e-01	3.504e-01	2.328e-01	4.786e-01	2.821e-01	2.173e-01	3.161e-01	2.701e-01	2.046e-01	3.179e-01	7.599e-01	6.614e-01	7.599e-01
1.100e+03	4.432e-01	4.325e-01	8.370e-01	3.797e-01	2.163e-01	4.428e-01	2.821e-01	2.173e-01	3.161e-01	2.742e-01	2.406e-01	3.193e-01	7.599e-01	6.614e-01	7.599e-01
1.200e+03	4.432e-01	4.325e-01	8.370e-01	3.968e-01	2.163e-01	4.508e-01	2.821e-01	2.173e-01	3.161e-01	2.742e-01	2.406e-01	3.193e-01	7.599e-01	6.614e-01	7.599e-01
1.300e+03	4.432e-01	4.325e-01	8.370e-01	3.968e-01	2.431e-01	4.508e-01	2.821e-01	2.173e-01	3.161e-01	2.885e-01	2.505e-01	3.361e-01	7.599e-01	6.000e-01	7.599e-01
1.400e+03	4.353e-01	4.320e-01	8.324e-01	3.565e-01	2.431e-01	4.508e-01	2.821e-01	2.173e-01	3.161e-01	2.885e-01	2.505e-01	3.361e-01	7.599e-01	6.000e-01	7.599e-01
1.500e+03	4.375e-01	4.325e-01	8.351e-01	3.565e-01	2.148e-01	4.508e-01	2.821e-01	2.173e-01	3.161e-01	2.885e-01	2.505e-01	3.361e-01	7.599e-01	6.000e-01	7.599e-01
