row;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32
0.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;10.0;10.0;-10.0;10.0;10.0;-10.0;10.0;10.0;-10.0;10.0;10.0;-0.03933359910397584;-0.0672009788955484;-0.061251726937971054;-0.04422192874532323;-0.047830024682474576;-0.04869171087347092;-0.037190032574043796;-0.05544452427986789;-0.06545551855534684
1.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;10.0;10.0;-10.0;10.0;10.0;-10.0;10.0;10.0;-10.0;10.0;10.0;-0.03933359910397584;-0.0672009788955484;-0.061251726937971054;-0.04422192874532323;-0.047830024682474576;-0.04869171087347092;-0.037190032574043796;-0.05544452427986789;-0.06545551855534684
2.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;10.0;10.0;-10.0;10.0;10.0;-10.0;10.0;10.0;-10.0;10.0;10.0;-0.03933359910397584;-0.0672009788955484;-0.061251726937971054;-0.04422192874532323;-0.047830024682474576;-0.04869171087347092;-0.037190032574043796;-0.05544452427986789;-0.06545551855534684
3.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;10.0;10.0;-10.0;10.0;10.0;-10.0;10.0;10.0;-10.0;10.0;10.0;-0.03933359910397584;-0.0672009788955484;-0.061251726937971054;-0.04422192874532323;-0.047830024682474576;-0.04869171087347092;-0.037190032574043796;-0.05544452427986789;-0.06545551855534684
4.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;10.0;10.0;-10.0;10.0;10.0;-10.0;10.0;10.0;-10.0;10.0;10.0;-0.03933359910397584;-0.0672009788955484;-0.061251726937971054;-0.04422192874532323;-0.047830024682474576;-0.04869171087347092;-0.037190032574043796;-0.05544452427986789;-0.06545551855534684
5.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;10.0;10.0;-10.0;10.0;10.0;-10.0;10.0;10.0;-10.0;10.0;10.0;-0.03933359910397584;-0.0672009788955484;-0.061251726937971054;-0.04422192874532323;-0.047830024682474576;-0.04869171087347092;-0.037190032574043796;-0.05544452427986789;-0.06545551855534684
6.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;10.0;10.0;-10.0;10.0;10.0;-10.0;10.0;10.0;-10.0;10.0;10.0;-0.03933359910397584;-0.0672009788955484;-0.061251726937971054;-0.04422192874532323;-0.047830024682474576;-0.04869171087347092;-0.037190032574043796;-0.05544452427986789;-0.06545551855534684
7.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;10.0;10.0;-10.0;10.0;10.0;-10.0;10.0;10.0;-10.0;10.0;10.0;-0.03933359910397584;-0.0672009788955484;-0.061251726937971054;-0.04422192874532323;-0.047830024682474576;-0.04869171087347092;-0.037190032574043796;-0.05544452427986789;-0.06545551855534684
8.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;10.0;10.0;-10.0;10.0;10.0;-10.0;10.0;10.0;-10.0;10.0;10.0;-0.03933359910397584;-0.0672009788955484;-0.061251726937971054;-0.04422192874532323;-0.047830024682474576;-0.04869171087347092;-0.037190032574043796;-0.05544452427986789;-0.06545551855534684
9.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;10.0;10.0;-10.0;10.0;10.0;-10.0;10.0;10.0;-10.0;10.0;10.0;-0.03933359910397584;-0.0672009788955484;-0.061251726937971054;-0.04422192874532323;-0.047830024682474576;-0.04869171087347092;-0.037190032574043796;-0.05544452427986789;-0.06545551855534684
