x	y	progress.rate.q.0.05.0.00.fitness	progress.rate.q.0.05.0.00.frozen	progress.rate.q.0.05.0.00.copy.no.reset	progress.rate.q.0.05.0.00.copy.reset	progress.rate.q.0.05.0.00.or.no.reset	progress.rate.q.0.05.0.00.or.reset	progress.rate.q.0.05.0.10.fitness	progress.rate.q.0.05.0.10.frozen	progress.rate.q.0.05.0.10.copy.no.reset	progress.rate.q.0.05.0.10.copy.reset	progress.rate.q.0.05.0.10.or.no.reset	progress.rate.q.0.05.0.10.or.reset	progress.rate.q.0.05.0.25.fitness	progress.rate.q.0.05.0.25.frozen	progress.rate.q.0.05.0.25.copy.no.reset	progress.rate.q.0.05.0.25.copy.reset	progress.rate.q.0.05.0.25.or.no.reset	progress.rate.q.0.05.0.25.or.reset	progress.rate.q.0.05.0.50.fitness	progress.rate.q.0.05.0.50.frozen	progress.rate.q.0.05.0.50.copy.no.reset	progress.rate.q.0.05.0.50.copy.reset	progress.rate.q.0.05.0.50.or.no.reset	progress.rate.q.0.05.0.50.or.reset	progress.rate.q.0.05.1.00.fitness	progress.rate.q.0.05.1.00.frozen	progress.rate.q.0.05.1.00.copy.no.reset	progress.rate.q.0.05.1.00.copy.reset	progress.rate.q.0.05.1.00.or.no.reset	progress.rate.q.0.05.1.00.or.reset
0	0	nan	nan	nan	nan	nan	nan	5.800e-01	1.206e-02	1.561e-02	1.250e-02	1.820e-02	1.512e-02	5.800e-01	1.206e-02	1.561e-02	1.257e-02	1.820e-02	1.523e-02	6.000e-01	7.026e-03	2.868e-01	8.333e-03	3.742e-01	9.195e-03	6.000e-01	7.026e-03	2.868e-01	8.013e-03	3.742e-01	9.218e-03
0	1	nan	nan	nan	nan	nan	nan	5.000e-01	1.809e-02	1.987e-02	2.002e-02	2.060e-02	2.068e-02	6.000e-01	1.807e-02	2.158e-01	1.936e-02	2.792e-01	2.155e-02	6.000e-01	1.807e-02	2.158e-01	1.849e-02	2.792e-01	2.153e-02	6.000e-01	1.807e-02	2.158e-01	1.939e-02	2.792e-01	2.075e-02
0	2	nan	nan	nan	nan	nan	nan	5.000e-01	2.826e-02	2.266e-02	2.761e-02	2.970e-02	3.613e-02	5.500e-01	2.804e-02	3.097e-02	3.105e-02	3.472e-02	3.477e-02	6.000e-01	4.025e-02	3.210e-02	3.270e-02	3.957e-02	4.010e-02	6.000e-01	4.025e-02	3.210e-02	3.270e-02	3.957e-02	4.013e-02
0	3	nan	nan	nan	nan	nan	nan	5.500e-01	4.428e-02	4.719e-02	4.532e-02	4.708e-02	4.705e-02	6.000e-01	4.328e-02	3.876e-02	4.201e-02	4.517e-02	4.835e-02	6.000e-01	4.328e-02	3.876e-02	4.183e-02	4.517e-02	4.861e-02	6.000e-01	4.328e-02	3.876e-02	4.185e-02	4.517e-02	4.850e-02
0	4	5.000e-02	-3.421e-03	-1.512e-01	3.499e-04	-2.703e-01	-5.356e-02	5.500e-01	5.932e-02	5.431e-02	5.946e-02	5.973e-02	6.534e-02	5.500e-01	5.932e-02	5.431e-02	5.915e-02	5.973e-02	6.552e-02	6.000e-01	6.739e-02	5.470e-02	5.470e-02	6.951e-02	6.951e-02	6.500e-01	7.099e-02	5.665e-02	5.680e-02	6.871e-02	6.883e-02
0	5	nan	nan	nan	nan	nan	nan	5.000e-01	4.714e-02	2.217e-03	8.387e-02	-2.216e-02	-4.525e-02	6.000e-01	7.672e-02	6.347e-02	6.537e-02	7.618e-02	7.818e-02	6.000e-01	7.672e-02	6.347e-02	6.571e-02	7.618e-02	7.853e-02	6.500e-01	8.983e-02	6.442e-02	6.810e-02	8.593e-02	9.054e-02
0	6	nan	nan	nan	nan	nan	nan	5.000e-01	6.779e-02	4.004e-02	5.659e-02	2.695e-02	1.706e-02	6.000e-01	9.644e-02	7.993e-02	8.059e-02	1.020e-01	1.026e-01	6.500e-01	1.073e-01	8.111e-02	8.114e-02	1.038e-01	1.038e-01	6.500e-01	1.073e-01	8.111e-02	8.114e-02	1.038e-01	1.038e-01
0	7	nan	nan	nan	nan	nan	nan	5.000e-01	5.440e-02	7.771e-02	4.943e-02	1.735e-03	8.192e-03	6.000e-01	1.056e-01	7.932e-02	8.566e-02	9.688e-02	1.038e-01	6.000e-01	1.056e-01	7.932e-02	8.554e-02	9.688e-02	1.039e-01	6.500e-01	1.050e-01	8.418e-02	8.655e-02	1.010e-01	1.028e-01
0	8	-5.000e-02	9.157e-05	6.772e-03	-7.993e-03	1.465e-01	6.799e-02	5.000e-01	6.673e-02	3.422e-02	5.949e-02	5.156e-02	3.188e-02	6.000e-01	1.144e-01	1.650e-01	1.112e-01	1.999e-01	1.259e-01	6.000e-01	1.144e-01	1.650e-01	1.105e-01	1.999e-01	1.226e-01	6.500e-01	1.200e-01	7.966e-02	1.038e-01	1.048e-01	1.248e-01
0	9	4.500e-01	1.082e-01	1.626e-01	5.958e-02	6.834e-01	5.310e-01	5.000e-01	9.461e-02	4.521e-02	5.965e-02	3.635e-02	1.662e-02	5.000e-01	9.461e-02	4.521e-02	8.501e-02	3.635e-02	5.260e-03	6.000e-01	1.304e-01	2.002e-01	1.194e-01	2.549e-01	1.449e-01	6.500e-01	1.539e-01	1.126e-01	1.127e-01	1.467e-01	1.468e-01
