x	y	progress.rate.q.0.05.0.00.fitness	progress.rate.q.0.05.0.00.frozen	progress.rate.q.0.05.0.00.copy.no.reset	progress.rate.q.0.05.0.00.copy.reset	progress.rate.q.0.05.0.00.or.no.reset	progress.rate.q.0.05.0.00.or.reset	progress.rate.q.0.05.0.10.fitness	progress.rate.q.0.05.0.10.frozen	progress.rate.q.0.05.0.10.copy.no.reset	progress.rate.q.0.05.0.10.copy.reset	progress.rate.q.0.05.0.10.or.no.reset	progress.rate.q.0.05.0.10.or.reset	progress.rate.q.0.05.0.25.fitness	progress.rate.q.0.05.0.25.frozen	progress.rate.q.0.05.0.25.copy.no.reset	progress.rate.q.0.05.0.25.copy.reset	progress.rate.q.0.05.0.25.or.no.reset	progress.rate.q.0.05.0.25.or.reset	progress.rate.q.0.05.0.50.fitness	progress.rate.q.0.05.0.50.frozen	progress.rate.q.0.05.0.50.copy.no.reset	progress.rate.q.0.05.0.50.copy.reset	progress.rate.q.0.05.0.50.or.no.reset	progress.rate.q.0.05.0.50.or.reset	progress.rate.q.0.05.1.00.fitness	progress.rate.q.0.05.1.00.frozen	progress.rate.q.0.05.1.00.copy.no.reset	progress.rate.q.0.05.1.00.copy.reset	progress.rate.q.0.05.1.00.or.no.reset	progress.rate.q.0.05.1.00.or.reset
0	0	nan	nan	nan	nan	nan	nan	-1.000e+00	-9.980e-01	-5.246e-01	-9.966e-01	2.545e-02	-4.471e-01	-1.000e+00	-9.980e-01	-5.246e-01	-9.972e-01	2.545e-02	-4.465e-01	-1.000e+00	-9.980e-01	-5.246e-01	-9.978e-01	2.545e-02	-4.473e-01	-1.000e+00	-9.980e-01	-5.246e-01	-9.967e-01	2.545e-02	-4.467e-01
0	1	nan	nan	nan	nan	nan	nan	-1.000e+00	-9.910e-01	-1.000e+00	-9.863e-01	-4.500e-01	-4.393e-01	-1.000e+00	-9.910e-01	-1.000e+00	-9.876e-01	-4.500e-01	-4.382e-01	-1.000e+00	-9.910e-01	-1.000e+00	-9.873e-01	-4.500e-01	-4.404e-01	-1.000e+00	-9.910e-01	-1.000e+00	-9.892e-01	-4.500e-01	-4.423e-01
0	2	nan	nan	nan	nan	nan	nan	-1.000e+00	-9.891e-01	-9.019e-01	-9.832e-01	-5.481e-01	-4.293e-01	-1.000e+00	-9.891e-01	-9.019e-01	-9.792e-01	-5.481e-01	-4.280e-01	-1.000e+00	-9.891e-01	-9.019e-01	-9.871e-01	-5.481e-01	-4.296e-01	-1.000e+00	-9.891e-01	-9.019e-01	-9.822e-01	-5.481e-01	-4.338e-01
0	3	nan	nan	nan	nan	nan	nan	-9.900e-01	-9.994e-01	-1.000e+00	-9.994e-01	-4.500e-01	-4.481e-01	-9.900e-01	-9.994e-01	-1.000e+00	-9.896e-01	-4.500e-01	-4.485e-01	-9.800e-01	-9.998e-01	-4.620e-01	-8.775e-01	-9.880e-01	-7.771e-01	-9.800e-01	-9.998e-01	-4.620e-01	-9.448e-01	-9.880e-01	-5.154e-01
0	4	nan	nan	nan	nan	nan	nan	-1.000e+00	-9.711e-01	-9.986e-01	-9.387e-01	-4.486e-01	-3.876e-01	-1.000e+00	-9.711e-01	-9.986e-01	-9.411e-01	-4.486e-01	-3.879e-01	-9.500e-01	-7.659e-01	-6.529e-01	-9.616e-01	-7.971e-01	-4.492e-01	-9.400e-01	-1.000e+00	-9.943e-01	-9.995e-01	-4.557e-01	-4.500e-01
0	5	nan	nan	nan	nan	nan	nan	-1.000e+00	-9.064e-01	-9.071e-01	-9.591e-01	-5.307e-01	-3.724e-01	-9.800e-01	-8.861e-01	-6.610e-01	-9.652e-01	-1.110e-01	-4.130e-01	-9.800e-01	-8.861e-01	-6.610e-01	-5.009e-01	-1.110e-01	3.955e-02	-9.800e-01	-8.861e-01	-6.610e-01	-9.678e-01	-1.110e-01	-4.171e-01
0	6	nan	nan	nan	nan	nan	nan	-1.000e+00	-9.410e-01	-9.995e-01	-9.062e-01	-4.497e-01	-3.452e-01	-1.000e+00	-9.410e-01	-9.995e-01	-9.064e-01	-4.497e-01	-3.585e-01	-8.900e-01	-9.934e-01	-9.989e-01	-9.632e-01	-4.511e-01	-4.522e-01	-8.100e-01	-1.000e+00	-1.000e+00	-1.000e+00	-4.500e-01	-3.973e-01
0	7	nan	nan	nan	nan	nan	nan	-1.000e+00	-9.105e-01	9.982e-02	-8.798e-01	6.498e-01	-3.333e-01	-8.800e-01	-9.999e-01	-1.000e+00	-9.996e-01	-4.500e-01	-4.445e-01	-8.800e-01	-9.999e-01	-1.000e+00	-9.996e-01	-4.500e-01	-4.496e-01	-8.800e-01	-9.999e-01	-1.000e+00	-9.994e-01	-4.500e-01	-4.493e-01
0	8	nan	nan	nan	nan	nan	nan	-1.000e+00	-9.395e-01	-9.679e-01	-8.293e-01	-4.179e-01	-3.263e-01	-9.300e-01	-6.580e-01	-7.436e-01	-9.705e-01	-2.311e-01	-2.656e-01	-9.300e-01	-6.580e-01	-7.436e-01	-9.669e-01	-2.311e-01	-2.560e-01	-9.000e-01	-1.000e+00	-9.867e-01	-9.999e-01	-4.633e-01	-4.453e-01
0	9	1.500e-01	-1.307e-01	6.615e-02	2.335e-02	-3.158e-01	-3.103e-01	4.000e-01	1.112e-01	6.634e-01	7.784e-02	7.840e-01	-6.511e-02	5.000e-01	6.247e-04	-5.747e-01	-2.318e-02	-3.127e-02	-1.172e-01	5.000e-01	6.247e-04	-5.747e-01	-3.054e-02	-3.127e-02	-1.181e-01	6.500e-01	3.717e-02	-9.261e-02	6.722e-02	1.051e-01	-1.458e-01
