x	y	progress.rate.q.0.05.0.00.quality.fitness	progress.rate.q.0.05.0.10.quality.fitness	progress.rate.q.0.05.0.25.quality.fitness	progress.rate.q.0.05.0.50.quality.fitness	progress.rate.q.0.05.1.00.quality.fitness
0	0	-3.720e+00	3.033e+01	3.576e+01	4.341e+01	3.479e+02
0	1	nan	1.261e+01	3.636e+01	3.636e+01	3.374e+02
0	2	nan	nan	nan	1.774e+01	3.258e+02
0	3	nan	nan	nan	nan	3.170e+02
0	4	nan	nan	nan	nan	3.078e+02
0	5	nan	nan	nan	nan	2.977e+02
0	6	nan	nan	nan	nan	2.876e+02
0	7	nan	nan	nan	nan	2.778e+02
0	8	nan	nan	nan	nan	2.179e+02
0	9	nan	nan	nan	nan	nan
1	0	nan	nan	nan	nan	3.479e+02
1	1	nan	nan	nan	nan	3.376e+02
1	2	nan	nan	nan	nan	3.258e+02
1	3	nan	nan	nan	nan	2.988e+02
1	4	nan	nan	nan	nan	3.078e+02
1	5	nan	nan	nan	nan	2.977e+02
1	6	nan	nan	nan	nan	2.876e+02
1	7	nan	nan	nan	nan	2.778e+02
1	8	nan	nan	nan	nan	2.179e+02
1	9	nan	nan	nan	nan	nan
2	0	nan	nan	nan	nan	3.479e+02
2	1	nan	nan	nan	nan	3.376e+02
2	2	nan	nan	nan	nan	3.258e+02
2	3	nan	nan	nan	nan	3.170e+02
2	4	nan	nan	nan	nan	3.078e+02
2	5	nan	nan	nan	nan	2.896e+02
2	6	nan	nan	nan	nan	2.869e+02
2	7	nan	nan	nan	nan	2.778e+02
2	8	nan	nan	nan	nan	2.179e+02
2	9	nan	nan	nan	nan	nan
3	0	nan	nan	nan	nan	3.479e+02
3	1	nan	nan	nan	nan	3.370e+02
3	2	nan	nan	nan	nan	3.258e+02
3	3	nan	nan	nan	nan	3.170e+02
3	4	nan	nan	nan	nan	3.078e+02
3	5	nan	nan	nan	nan	2.977e+02
3	6	nan	nan	nan	nan	2.876e+02
3	7	nan	nan	nan	nan	2.775e+02
3	8	nan	nan	nan	nan	2.179e+02
3	9	nan	nan	nan	nan	nan
4	0	nan	nan	nan	nan	3.479e+02
4	1	nan	nan	nan	nan	3.374e+02
4	2	nan	nan	nan	nan	3.212e+02
4	3	nan	nan	nan	nan	3.178e+02
4	4	nan	nan	nan	nan	3.078e+02
4	5	nan	nan	nan	nan	2.977e+02
4	6	nan	nan	nan	nan	2.869e+02
4	7	nan	nan	nan	nan	2.775e+02
4	8	nan	nan	nan	nan	2.178e+02
4	9	nan	nan	nan	nan	nan
5	0	nan	nan	nan	nan	3.478e+02
5	1	nan	nan	nan	nan	3.372e+02
5	2	nan	nan	nan	nan	3.240e+02
5	3	nan	nan	nan	nan	3.178e+02
5	4	nan	nan	nan	nan	3.051e+02
5	5	nan	nan	nan	nan	2.962e+02
5	6	nan	nan	nan	nan	2.853e+02
5	7	nan	nan	nan	nan	2.776e+02
5	8	nan	nan	nan	nan	nan
5	9	nan	nan	nan	nan	nan
6	0	nan	nan	nan	nan	3.478e+02
6	1	nan	nan	nan	nan	3.370e+02
6	2	nan	nan	nan	nan	3.212e+02
6	3	nan	nan	nan	nan	3.178e+02
6	4	nan	nan	nan	nan	3.072e+02
6	5	nan	nan	nan	nan	2.977e+02
6	6	nan	nan	nan	nan	nan
6	7	nan	nan	nan	nan	nan
6	8	nan	nan	nan	nan	nan
6	9	nan	nan	nan	nan	nan
7	0	nan	nan	nan	nan	3.478e+02
7	1	nan	nan	nan	nan	nan
7	2	nan	nan	nan	nan	nan
7	3	nan	nan	nan	nan	nan
7	4	nan	nan	nan	nan	nan
7	5	nan	nan	nan	nan	nan
7	6	nan	nan	nan	nan	nan
7	7	nan	nan	nan	nan	nan
7	8	nan	nan	nan	nan	nan
7	9	nan	nan	nan	nan	nan
8	0	nan	nan	nan	nan	nan
8	1	nan	nan	nan	nan	nan
8	2	nan	nan	nan	nan	nan
8	3	nan	nan	nan	nan	nan
8	4	nan	nan	nan	nan	nan
8	5	nan	nan	nan	nan	nan
8	6	nan	nan	nan	nan	nan
8	7	nan	nan	nan	nan	nan
8	8	nan	nan	nan	nan	nan
8	9	nan	nan	nan	nan	nan
9	0	nan	nan	nan	nan	nan
9	1	nan	nan	nan	nan	nan
9	2	nan	nan	nan	nan	nan
9	3	nan	nan	nan	nan	nan
9	4	nan	nan	nan	nan	nan
9	5	nan	nan	nan	nan	nan
9	6	nan	nan	nan	nan	nan
9	7	nan	nan	nan	nan	nan
9	8	nan	nan	nan	nan	nan
9	9	nan	nan	nan	nan	nan
