n.evals.q.1.0.	train._.me.hebbian.synapse.best.quality.consistency	train._.me.hebbian.synapse.best.quality.consistency.min	train._.me.hebbian.synapse.best.quality.consistency.max	train._.me.freeForm.best.quality.consistency	train._.me.freeForm.best.quality.consistency.min	train._.me.freeForm.best.quality.consistency.max
1.000e+02	1.178e+01	9.423e-01	2.906e+01	0.000e+00	0.000e+00	4.441e-16
2.000e+02	1.491e+02	5.547e+01	1.596e+02	0.000e+00	0.000e+00	4.441e-16
3.000e+02	1.549e+02	1.383e+02	1.641e+02	4.441e-16	0.000e+00	1.783e-09
4.000e+02	1.641e+02	1.423e+02	1.815e+02	4.441e-16	0.000e+00	9.999e-08
5.000e+02	1.641e+02	1.423e+02	1.909e+02	4.441e-16	0.000e+00	7.477e-05
6.000e+02	1.641e+02	1.423e+02	1.909e+02	4.441e-16	0.000e+00	7.477e-05
7.000e+02	1.641e+02	1.506e+02	1.909e+02	4.441e-16	0.000e+00	7.477e-05
8.000e+02	1.641e+02	1.549e+02	1.815e+02	4.441e-16	0.000e+00	1.398e-03
9.000e+02	1.815e+02	1.549e+02	2.260e+02	0.000e+00	0.000e+00	9.349e-03
1.000e+03	1.913e+02	1.549e+02	2.286e+02	0.000e+00	0.000e+00	9.349e-03
1.100e+03	2.035e+02	1.644e+02	2.286e+02	4.355e-03	0.000e+00	4.374e-02
1.200e+03	2.189e+02	1.621e+02	2.286e+02	9.349e-03	0.000e+00	4.859e-01
1.300e+03	2.189e+02	1.719e+02	2.286e+02	9.349e-03	0.000e+00	4.859e-01
1.400e+03	2.189e+02	1.719e+02	2.286e+02	9.349e-03	0.000e+00	4.859e-01
1.500e+03	2.189e+02	1.719e+02	2.286e+02	9.317e-03	0.000e+00	1.157e-01
1.600e+03	2.044e+02	1.670e+02	2.260e+02	9.317e-03	0.000e+00	1.157e-01
1.700e+03	2.044e+02	1.719e+02	2.260e+02	9.317e-03	0.000e+00	1.157e-01
1.800e+03	2.044e+02	1.719e+02	2.260e+02	2.206e-02	0.000e+00	4.859e-01
1.900e+03	2.044e+02	1.719e+02	2.260e+02	9.349e-03	0.000e+00	4.859e-01
2.000e+03	2.044e+02	1.719e+02	2.260e+02	9.349e-03	0.000e+00	4.859e-01
2.100e+03	2.044e+02	1.670e+02	2.260e+02	1.157e-01	0.000e+00	4.859e-01
2.200e+03	2.044e+02	1.670e+02	2.260e+02	1.677e-02	0.000e+00	4.859e-01
2.300e+03	2.044e+02	1.670e+02	2.260e+02	0.000e+00	0.000e+00	4.859e-01
2.400e+03	2.013e+02	1.614e+02	2.260e+02	0.000e+00	0.000e+00	4.859e-01
2.500e+03	2.013e+02	1.467e+02	2.260e+02	0.000e+00	0.000e+00	4.859e-01
2.600e+03	2.013e+02	1.467e+02	2.260e+02	0.000e+00	0.000e+00	4.859e-01
2.700e+03	2.013e+02	1.603e+02	2.260e+02	0.000e+00	0.000e+00	4.859e-01
2.800e+03	2.013e+02	1.603e+02	2.260e+02	0.000e+00	0.000e+00	2.220e-16
2.900e+03	1.836e+02	1.603e+02	2.189e+02	0.000e+00	0.000e+00	2.220e-16
3.000e+03	1.836e+02	1.603e+02	2.189e+02	0.000e+00	0.000e+00	2.220e-16
3.100e+03	1.836e+02	1.603e+02	2.189e+02	0.000e+00	0.000e+00	6.076e+00
3.200e+03	1.836e+02	1.603e+02	2.189e+02	0.000e+00	0.000e+00	3.429e-12
