x	y	progress.rate.q.0.05.0.00.quality.fitness	progress.rate.q.0.05.0.10.quality.fitness	progress.rate.q.0.05.0.25.quality.fitness	progress.rate.q.0.05.0.50.quality.fitness	progress.rate.q.0.05.1.00.quality.fitness
0	0	1.102e+00	2.577e+01	3.211e+01	4.638e+01	5.860e+01
0	1	nan	3.679e+01	5.077e+01	1.841e+02	2.387e+02
0	2	nan	4.061e+01	7.949e+01	9.796e+01	2.584e+02
0	3	nan	4.204e+01	1.097e+02	1.544e+02	1.657e+02
0	4	nan	7.873e+01	1.261e+02	2.965e+02	2.965e+02
0	5	nan	4.330e+01	1.154e+02	2.407e+02	3.378e+02
0	6	nan	5.949e+01	1.298e+02	2.595e+02	3.457e+02
0	7	nan	7.167e+01	1.626e+02	2.513e+02	3.116e+02
0	8	nan	9.653e+01	1.982e+02	2.739e+02	3.427e+02
0	9	nan	nan	2.360e+02	3.008e+02	3.607e+02
1	0	nan	nan	5.085e+01	5.085e+01	1.904e+02
1	1	nan	nan	9.935e+01	9.935e+01	1.864e+02
1	2	nan	nan	8.812e+01	1.089e+02	2.149e+02
1	3	nan	7.535e+01	1.080e+02	2.242e+02	3.622e+02
1	4	nan	9.190e+01	1.571e+02	2.665e+02	4.215e+02
1	5	nan	9.123e+01	1.347e+02	2.936e+02	2.936e+02
1	6	nan	8.959e+01	2.612e+02	2.612e+02	3.621e+02
1	7	nan	1.493e+02	2.107e+02	3.264e+02	3.672e+02
1	8	nan	8.782e+01	3.188e+02	3.504e+02	3.795e+02
1	9	nan	9.959e+01	2.325e+02	3.639e+02	3.741e+02
2	0	nan	nan	nan	nan	4.605e+02
2	1	nan	nan	nan	nan	2.068e+02
2	2	nan	nan	nan	1.824e+02	4.113e+02
2	3	nan	1.045e+02	3.419e+02	3.419e+02	4.075e+02
2	4	nan	1.032e+02	1.684e+02	4.175e+02	4.175e+02
2	5	nan	1.048e+02	1.902e+02	2.990e+02	3.901e+02
2	6	nan	1.011e+02	1.737e+02	3.070e+02	3.895e+02
2	7	nan	1.098e+02	1.685e+02	3.082e+02	3.814e+02
2	8	nan	1.414e+02	2.777e+02	3.406e+02	3.758e+02
2	9	nan	1.460e+02	2.956e+02	3.700e+02	3.829e+02
3	0	nan	nan	nan	nan	4.698e+02
3	1	nan	nan	nan	4.483e+02	4.483e+02
3	2	nan	nan	nan	4.435e+02	4.435e+02
3	3	nan	nan	2.000e+02	2.000e+02	4.080e+02
3	4	nan	nan	nan	3.800e+02	4.126e+02
3	5	nan	nan	2.238e+02	3.639e+02	4.003e+02
3	6	nan	1.566e+02	2.873e+02	3.058e+02	4.117e+02
3	7	nan	1.549e+02	2.041e+02	3.395e+02	3.762e+02
3	8	nan	1.794e+02	2.947e+02	3.788e+02	3.931e+02
3	9	nan	1.876e+02	3.033e+02	3.737e+02	3.799e+02
4	0	nan	nan	nan	4.561e+02	4.741e+02
4	1	nan	nan	nan	nan	4.510e+02
4	2	nan	nan	nan	4.340e+02	4.504e+02
4	3	nan	nan	nan	nan	4.376e+02
4	4	nan	nan	3.055e+02	4.259e+02	4.259e+02
4	5	nan	nan	2.159e+02	3.969e+02	4.167e+02
4	6	nan	nan	2.395e+02	2.807e+02	3.988e+02
4	7	nan	nan	3.530e+02	3.986e+02	3.986e+02
4	8	nan	nan	3.326e+02	3.337e+02	3.803e+02
4	9	nan	nan	2.795e+02	3.826e+02	3.835e+02
5	0	nan	nan	nan	4.646e+02	4.746e+02
5	1	nan	nan	nan	4.441e+02	4.635e+02
5	2	nan	nan	nan	4.007e+02	4.519e+02
5	3	nan	nan	nan	4.169e+02	4.477e+02
5	4	nan	nan	3.705e+02	4.219e+02	4.277e+02
5	5	nan	nan	2.640e+02	3.248e+02	4.221e+02
5	6	nan	nan	2.881e+02	3.055e+02	4.142e+02
5	7	nan	nan	2.933e+02	3.813e+02	4.016e+02
5	8	nan	nan	3.446e+02	3.618e+02	3.892e+02
5	9	nan	2.762e+02	3.468e+02	3.866e+02	3.866e+02
6	0	nan	nan	4.569e+02	4.589e+02	4.796e+02
6	1	nan	nan	nan	4.214e+02	4.626e+02
6	2	nan	nan	nan	3.564e+02	4.360e+02
6	3	nan	nan	4.296e+02	4.296e+02	4.368e+02
6	4	nan	nan	nan	4.237e+02	4.365e+02
6	5	nan	nan	3.722e+02	3.744e+02	4.204e+02
6	6	nan	nan	3.296e+02	3.437e+02	4.009e+02
6	7	nan	nan	3.439e+02	3.925e+02	4.015e+02
6	8	nan	nan	3.403e+02	3.877e+02	3.909e+02
6	9	nan	nan	3.719e+02	3.772e+02	3.888e+02
7	0	nan	nan	4.670e+02	4.724e+02	4.778e+02
7	1	nan	nan	nan	4.588e+02	4.588e+02
