n.evals.q.1.0.	train._.me.hebbian.network.best.quality.consistency	train._.me.hebbian.network.best.quality.consistency.min	train._.me.hebbian.network.best.quality.consistency.max	train._.me.hebbian.layer.best.quality.consistency	train._.me.hebbian.layer.best.quality.consistency.min	train._.me.hebbian.layer.best.quality.consistency.max	train._.me.hebbian.neuron.best.quality.consistency	train._.me.hebbian.neuron.best.quality.consistency.min	train._.me.hebbian.neuron.best.quality.consistency.max	train._.me.hebbian.synapse.best.quality.consistency	train._.me.hebbian.synapse.best.quality.consistency.min	train._.me.hebbian.synapse.best.quality.consistency.max	train._.me.freeForm.best.quality.consistency	train._.me.freeForm.best.quality.consistency.min	train._.me.freeForm.best.quality.consistency.max
1.000e+02	4.914e-03	0.000e+00	7.975e-03	0.000e+00	0.000e+00	4.441e-16	3.284e+01	8.313e+00	5.213e+01	7.849e+00	4.927e+00	1.102e+01	0.000e+00	0.000e+00	8.342e-04
2.000e+02	1.324e-03	4.441e-16	4.754e-02	0.000e+00	0.000e+00	1.500e-04	8.242e+01	5.114e+01	1.007e+02	6.604e+01	6.091e+00	1.426e+02	0.000e+00	0.000e+00	1.090e-09
3.000e+02	1.324e-03	4.441e-16	4.754e-02	0.000e+00	0.000e+00	1.500e-04	9.313e+01	5.909e+01	1.032e+02	1.426e+02	7.782e+01	1.650e+02	4.441e-16	0.000e+00	7.026e-07
4.000e+02	1.324e-03	4.441e-16	4.754e-02	4.441e-16	0.000e+00	1.983e-03	8.479e+01	5.909e+01	1.007e+02	1.426e+02	7.782e+01	1.650e+02	4.441e-16	0.000e+00	7.026e-07
5.000e+02	1.324e-03	4.441e-16	4.754e-02	4.441e-16	0.000e+00	1.983e-03	1.649e+02	8.673e+01	1.782e+02	1.573e+02	1.313e+02	1.885e+02	0.000e+00	0.000e+00	7.026e-07
6.000e+02	3.787e-03	4.441e-16	7.292e-02	1.331e-07	0.000e+00	7.740e+00	1.649e+02	8.673e+01	1.782e+02	1.573e+02	9.510e+01	1.859e+02	0.000e+00	0.000e+00	7.026e-07
7.000e+02	3.787e-03	4.441e-16	7.292e-02	2.487e-02	0.000e+00	1.285e+01	1.649e+02	8.673e+01	1.782e+02	1.573e+02	9.510e+01	1.859e+02	4.441e-16	0.000e+00	1.437e-04
8.000e+02	4.469e-01	1.760e-08	8.025e+00	3.636e-02	0.000e+00	1.285e+01	1.730e+02	1.384e+02	1.782e+02	1.650e+02	9.510e+01	1.859e+02	0.000e+00	0.000e+00	7.279e-02
9.000e+02	4.469e-01	1.760e-08	8.025e+00	7.158e-02	0.000e+00	1.285e+01	1.736e+02	1.559e+02	1.827e+02	1.705e+02	9.510e+01	1.769e+02	4.441e-16	0.000e+00	7.279e-02
1.000e+03	4.469e-01	1.760e-08	8.025e+00	7.158e-02	4.441e-16	1.285e+01	1.736e+02	1.559e+02	1.827e+02	1.716e+02	9.510e+01	1.769e+02	4.441e-16	0.000e+00	7.279e-02
1.100e+03	6.050e+00	1.760e-08	3.424e+01	7.158e-02	4.441e-16	1.285e+01	1.736e+02	1.384e+02	1.827e+02	1.650e+02	8.792e+01	1.719e+02	4.441e-16	0.000e+00	7.279e-02
1.200e+03	6.050e+00	1.760e-08	3.424e+01	7.158e-02	4.441e-16	1.714e+01	1.730e+02	1.384e+02	1.782e+02	1.716e+02	8.792e+01	1.769e+02	3.553e-15	0.000e+00	7.279e-02
1.300e+03	6.050e+00	3.419e-06	3.424e+01	7.158e-02	4.441e-16	2.877e+01	1.730e+02	1.384e+02	1.782e+02	1.716e+02	8.792e+01	1.769e+02	2.071e-02	0.000e+00	1.009e+01
1.400e+03	6.050e+00	3.419e-06	3.424e+01	7.158e-02	4.441e-16	2.877e+01	1.730e+02	1.438e+02	1.782e+02	1.650e+02	8.792e+01	1.719e+02	1.670e-02	0.000e+00	1.238e+01
1.500e+03	6.050e+00	2.621e-03	3.424e+01	7.158e-02	4.441e-16	2.877e+01	1.649e+02	1.109e+02	1.736e+02	1.716e+02	7.782e+01	1.769e+02	1.670e-02	0.000e+00	1.238e+01
1.600e+03	6.050e+00	2.621e-03	3.424e+01	5.058e+00	4.441e-16	3.405e+01	1.649e+02	1.109e+02	1.736e+02	1.575e+02	8.792e+01	1.719e+02	1.755e-02	0.000e+00	3.201e+01
1.700e+03	6.050e+00	2.621e-03	3.424e+01	2.858e+01	4.441e-16	6.184e+01	1.438e+02	5.465e+01	1.680e+02	1.575e+02	8.792e+01	1.769e+02	1.970e-02	0.000e+00	3.201e+01
