x	y	progress.rate.q.0.05.0.00.quality.fitness	progress.rate.q.0.05.0.10.quality.fitness	progress.rate.q.0.05.0.25.quality.fitness	progress.rate.q.0.05.0.50.quality.fitness	progress.rate.q.0.05.1.00.quality.fitness
0	0	-3.878e+00	8.573e+00	9.522e+00	9.522e+00	9.522e+00
0	1	nan	1.925e+01	1.925e+01	3.744e+01	3.744e+01
0	2	nan	1.959e+01	3.275e+01	3.290e+01	3.318e+01
0	3	nan	2.946e+01	2.946e+01	2.946e+01	4.671e+01
0	4	nan	3.774e+01	3.774e+01	4.125e+01	4.125e+01
0	5	nan	nan	nan	nan	4.920e+01
0	6	nan	nan	nan	nan	5.595e+01
0	7	nan	nan	nan	nan	nan
0	8	nan	nan	nan	nan	nan
0	9	nan	nan	nan	nan	nan
1	0	nan	nan	nan	nan	nan
1	1	nan	nan	nan	nan	6.112e+01
1	2	nan	nan	nan	nan	5.501e+01
1	3	nan	nan	5.561e+01	5.561e+01	7.941e+01
1	4	nan	5.317e+01	5.317e+01	5.317e+01	6.783e+01
1	5	nan	4.969e+01	6.336e+01	6.336e+01	6.336e+01
1	6	nan	5.845e+01	6.364e+01	6.364e+01	6.364e+01
1	7	nan	nan	6.375e+01	6.423e+01	6.707e+01
1	8	nan	nan	nan	nan	nan
1	9	nan	nan	nan	nan	nan
2	0	nan	nan	nan	nan	nan
2	1	nan	nan	nan	nan	nan
2	2	nan	nan	nan	nan	nan
2	3	nan	nan	nan	nan	nan
2	4	nan	nan	nan	nan	nan
2	5	nan	nan	nan	nan	nan
2	6	nan	nan	nan	nan	nan
2	7	nan	nan	nan	nan	nan
2	8	nan	nan	nan	1.207e+02	1.207e+02
2	9	nan	nan	nan	nan	nan
3	0	nan	nan	nan	nan	nan
3	1	nan	nan	nan	nan	nan
3	2	nan	nan	nan	nan	nan
3	3	nan	nan	nan	nan	nan
3	4	nan	nan	nan	nan	nan
3	5	nan	nan	nan	nan	nan
3	6	nan	nan	nan	nan	nan
3	7	nan	nan	nan	nan	nan
3	8	nan	nan	nan	nan	nan
3	9	nan	nan	nan	nan	nan
4	0	nan	nan	nan	nan	nan
4	1	nan	nan	nan	nan	nan
4	2	nan	nan	nan	nan	nan
4	3	nan	nan	nan	nan	nan
4	4	nan	nan	nan	nan	nan
4	5	nan	nan	nan	nan	nan
4	6	nan	nan	nan	nan	nan
4	7	nan	nan	nan	nan	nan
4	8	nan	nan	nan	nan	nan
4	9	nan	nan	nan	nan	nan
5	0	nan	nan	nan	nan	nan
5	1	nan	nan	nan	nan	nan
5	2	nan	nan	nan	nan	nan
5	3	nan	nan	nan	nan	nan
5	4	nan	nan	nan	nan	nan
5	5	nan	nan	nan	nan	nan
5	6	nan	nan	nan	nan	nan
5	7	nan	nan	nan	nan	nan
5	8	nan	nan	nan	nan	nan
5	9	nan	nan	nan	nan	nan
6	0	nan	nan	nan	nan	nan
6	1	nan	nan	nan	nan	nan
6	2	nan	nan	nan	nan	nan
6	3	nan	nan	nan	nan	nan
6	4	nan	nan	nan	nan	nan
6	5	nan	nan	nan	nan	nan
6	6	nan	nan	nan	nan	nan
6	7	nan	nan	nan	nan	nan
6	8	nan	nan	nan	nan	nan
6	9	nan	nan	nan	nan	nan
7	0	nan	nan	nan	nan	nan
7	1	nan	nan	nan	nan	nan
7	2	nan	nan	nan	nan	nan
7	3	nan	nan	nan	nan	nan
7	4	nan	nan	nan	nan	nan
7	5	nan	nan	nan	nan	nan
7	6	nan	nan	nan	nan	nan
7	7	nan	nan	nan	nan	nan
7	8	nan	nan	nan	nan	nan
7	9	nan	nan	nan	nan	nan
8	0	nan	nan	nan	nan	nan
8	1	nan	nan	nan	nan	nan
8	2	nan	nan	nan	nan	nan
8	3	nan	nan	nan	nan	nan
8	4	nan	nan	nan	nan	nan
8	5	nan	nan	nan	nan	nan
8	6	nan	nan	nan	nan	nan
8	7	nan	nan	nan	nan	nan
8	8	nan	nan	nan	nan	nan
8	9	nan	nan	nan	nan	nan
9	0	nan	nan	nan	nan	nan
9	1	nan	nan	nan	nan	nan
9	2	nan	nan	nan	nan	nan
9	3	nan	nan	nan	nan	nan
9	4	nan	nan	nan	nan	nan
9	5	nan	nan	nan	nan	nan
9	6	nan	nan	nan	nan	nan
9	7	nan	nan	nan	nan	nan
9	8	nan	nan	nan	nan	nan
9	9	nan	nan	nan	nan	nan
