x	y	progress.rate.q.0.05.0.00.quality.fitness	progress.rate.q.0.05.0.10.quality.fitness	progress.rate.q.0.05.0.25.quality.fitness	progress.rate.q.0.05.0.50.quality.fitness	progress.rate.q.0.05.1.00.quality.fitness
0	0	1.268e+01	3.522e+01	4.928e+01	5.845e+01	7.583e+01
0	1	4.358e+00	6.012e+01	6.012e+01	6.012e+01	8.744e+01
0	2	nan	5.434e+01	6.111e+01	6.111e+01	8.624e+01
0	3	nan	4.603e+01	7.244e+01	1.043e+02	1.043e+02
0	4	nan	4.925e+01	6.976e+01	7.765e+01	9.821e+01
0	5	nan	5.203e+01	5.238e+01	7.513e+01	1.187e+02
0	6	nan	6.306e+01	6.306e+01	7.568e+01	9.867e+01
0	7	nan	nan	nan	7.827e+01	1.094e+02
0	8	nan	8.519e+01	8.519e+01	1.268e+02	1.268e+02
0	9	nan	nan	nan	8.180e+01	8.779e+01
1	0	nan	nan	5.559e+01	9.567e+01	1.016e+02
1	1	nan	8.661e+01	9.342e+01	9.342e+01	1.230e+02
1	2	nan	7.551e+01	9.436e+01	1.017e+02	1.363e+02
1	3	nan	8.109e+01	8.960e+01	1.315e+02	1.363e+02
1	4	nan	9.026e+01	9.400e+01	1.140e+02	1.140e+02
1	5	nan	1.001e+02	1.255e+02	1.255e+02	1.255e+02
1	6	nan	9.175e+01	1.154e+02	1.460e+02	1.460e+02
1	7	nan	9.176e+01	1.075e+02	1.269e+02	1.278e+02
1	8	nan	9.227e+01	9.524e+01	1.073e+02	1.530e+02
1	9	nan	9.210e+01	9.239e+01	9.239e+01	1.652e+02
2	0	nan	nan	nan	1.320e+02	1.662e+02
2	1	nan	nan	1.430e+02	1.430e+02	1.438e+02
2	2	nan	nan	1.363e+02	1.583e+02	1.583e+02
2	3	nan	1.236e+02	1.289e+02	1.424e+02	1.843e+02
2	4	nan	nan	1.366e+02	1.772e+02	2.045e+02
2	5	nan	1.302e+02	1.418e+02	1.418e+02	1.849e+02
2	6	nan	1.164e+02	1.401e+02	1.424e+02	1.604e+02
2	7	nan	1.195e+02	1.378e+02	1.720e+02	1.834e+02
2	8	nan	1.324e+02	1.527e+02	1.680e+02	1.685e+02
2	9	nan	nan	nan	1.408e+02	1.869e+02
3	0	nan	nan	nan	nan	1.457e+02
3	1	nan	nan	1.904e+02	1.904e+02	1.904e+02
3	2	nan	nan	nan	2.109e+02	2.144e+02
3	3	nan	nan	1.452e+02	1.679e+02	1.987e+02
3	4	nan	1.827e+02	1.860e+02	1.860e+02	2.474e+02
3	5	nan	nan	1.951e+02	1.951e+02	2.503e+02
3	6	nan	nan	1.669e+02	1.900e+02	2.069e+02
3	7	nan	1.534e+02	1.673e+02	1.899e+02	2.272e+02
3	8	nan	nan	1.947e+02	1.947e+02	2.189e+02
3	9	nan	1.873e+02	1.873e+02	2.108e+02	2.538e+02
4	0	nan	nan	nan	nan	nan
4	1	nan	nan	nan	2.032e+02	2.403e+02
4	2	nan	nan	nan	2.222e+02	2.359e+02
4	3	nan	nan	nan	nan	2.430e+02
4	4	nan	nan	1.945e+02	1.945e+02	2.234e+02
4	5	nan	nan	nan	2.318e+02	3.008e+02
4	6	nan	nan	nan	2.220e+02	2.319e+02
4	7	nan	nan	2.205e+02	2.379e+02	2.810e+02
4	8	nan	nan	2.172e+02	2.253e+02	3.038e+02
4	9	nan	2.053e+02	2.250e+02	2.404e+02	2.838e+02
5	0	nan	nan	nan	nan	2.977e+02
5	1	nan	nan	nan	nan	2.753e+02
5	2	nan	nan	nan	nan	2.955e+02
5	3	nan	nan	nan	nan	3.492e+02
5	4	nan	nan	nan	2.847e+02	2.891e+02
5	5	nan	nan	nan	2.627e+02	3.106e+02
5	6	nan	nan	nan	2.850e+02	3.365e+02
5	7	nan	nan	nan	2.622e+02	2.998e+02
5	8	nan	2.828e+02	2.828e+02	2.855e+02	3.300e+02
5	9	nan	nan	nan	2.881e+02	3.005e+02
6	0	nan	nan	nan	nan	nan
6	1	nan	nan	nan	nan	3.381e+02
6	2	nan	nan	nan	nan	3.012e+02
6	3	nan	nan	nan	nan	3.337e+02
6	4	nan	nan	nan	3.367e+02	3.433e+02
6	5	nan	nan	nan	3.151e+02	3.409e+02
6	6	nan	nan	nan	3.408e+02	3.408e+02
