problem.name;solver.name;randomGenerator.seed;numberOfInnerLayers→replace.all;n.iterations;n.evals;n.births;elapsed.secs;all→size;firsts→size;lasts→size;all→each[genotype]→uniqueness;all→each[solution]→uniqueness;all→each[quality]→uniqueness;best→genotype→size;best→quality→maturePerformance;best→quality→increase;best→quality→inconsistency
nav-lives;me-hebbian-neuron;2;[8];1;100;100;2.37800e+00;6;1;1;1.00000e+00;1.00000e+00;1.00000e+00;40;1.72114e-01;1.77325e-01;2.40677e-01
nav-lives;me-hebbian-neuron;1;[8];1;100;100;2.87900e+00;3;1;1;1.00000e+00;1.00000e+00;1.00000e+00;40;9.16611e-04;1.08166e-02;6.18663e-02
nav-lives;me-hebbian-neuron;2;[8];2;200;200;4.00000e+00;8;1;1;1.00000e+00;1.00000e+00;1.00000e+00;40;1.72114e-01;1.77325e-01;2.40677e-01
nav-lives;me-hebbian-neuron;1;[8];2;200;200;4.67300e+00;7;1;1;1.00000e+00;1.00000e+00;1.00000e+00;40;2.05065e-01;2.09589e-01;4.08912e-01
nav-lives;me-hebbian-neuron;2;[8];3;300;300;5.35900e+00;9;1;1;1.00000e+00;1.00000e+00;1.00000e+00;40;1.72114e-01;1.77325e-01;2.40677e-01
nav-lives;me-hebbian-neuron;1;[8];3;300;300;6.36400e+00;10;1;1;1.00000e+00;1.00000e+00;1.00000e+00;40;2.05065e-01;2.09589e-01;4.08912e-01
nav-lives;me-hebbian-neuron;2;[8];4;400;400;7.25500e+00;13;1;1;1.00000e+00;1.00000e+00;1.00000e+00;40;1.72114e-01;1.77325e-01;2.40677e-01
nav-lives;me-hebbian-neuron;1;[8];4;400;400;7.89900e+00;11;1;1;1.00000e+00;1.00000e+00;1.00000e+00;40;2.05065e-01;2.09589e-01;4.08912e-01
nav-lives;me-hebbian-neuron;2;[8];5;500;500;8.58400e+00;14;1;1;1.00000e+00;1.00000e+00;1.00000e+00;40;1.72114e-01;1.77325e-01;2.40677e-01
nav-lives;me-hebbian-neuron;1;[8];5;500;500;9.25700e+00;13;1;1;1.00000e+00;1.00000e+00;1.00000e+00;40;2.05065e-01;2.09589e-01;4.08912e-01
nav-lives;me-hebbian-neuron;2;[8];6;600;600;9.98100e+00;14;1;1;1.00000e+00;1.00000e+00;1.00000e+00;40;1.72114e-01;1.77325e-01;2.40677e-01
nav-lives;me-hebbian-neuron;1;[8];6;600;600;1.07780e+01;14;1;1;1.00000e+00;1.00000e+00;1.00000e+00;40;2.05065e-01;2.09589e-01;4.08912e-01
nav-lives;me-hebbian-neuron;2;[8];7;700;700;1.13850e+01;15;1;1;1.00000e+00;1.00000e+00;1.00000e+00;40;1.72114e-01;1.77325e-01;2.40677e-01
nav-lives;me-hebbian-neuron;1;[8];7;700;700;1.22480e+01;15;1;1;1.00000e+00;1.00000e+00;1.00000e+00;40;2.05065e-01;2.09589e-01;4.08912e-01
nav-lives;me-hebbian-neuron;2;[8];8;800;800;1.29480e+01;16;1;1;1.00000e+00;1.00000e+00;1.00000e+00;40;1.93894e-01;2.00641e-01;2.70028e-01
nav-lives;me-hebbian-neuron;1;[8];8;800;800;1.36340e+01;16;1;1;1.00000e+00;1.00000e+00;1.00000e+00;40;2.05065e-01;2.09589e-01;4.08912e-01
nav-lives;me-hebbian-neuron;2;[8];9;900;900;1.43290e+01;18;1;1;1.00000e+00;1.00000e+00;1.00000e+00;40;1.93894e-01;2.00641e-01;2.70028e-01
nav-lives;me-hebbian-neuron;1;[8];9;900;900;1.49880e+01;16;1;1;1.00000e+00;1.00000e+00;1.00000e+00;40;2.05065e-01;2.09589e-01;4.08912e-01
nav-lives;me-hebbian-neuron;2;[8];10;1000;1000;1.57090e+01;19;1;1;1.00000e+00;1.00000e+00;1.00000e+00;40;1.93894e-01;2.00641e-01;2.70028e-01
nav-lives;me-hebbian-neuron;1;[8];10;1000;1000;1.64070e+01;18;1;1;1.00000e+00;1.00000e+00;1.00000e+00;40;2.05065e-01;2.09589e-01;4.08912e-01
nav-lives;me-hebbian-neuron;2;[8];11;1100;1100;1.71430e+01;23;1;1;1.00000e+00;1.00000e+00;1.00000e+00;40;1.93894e-01;2.00641e-01;2.70028e-01
nav-lives;me-hebbian-neuron;1;[8];11;1100;1100;1.78600e+01;18;1;1;1.00000e+00;1.00000e+00;1.00000e+00;40;2.05065e-01;2.09589e-01;4.08912e-01
nav-lives;me-hebbian-neuron;2;[8];12;1200;1200;1.85550e+01;23;1;1;1.00000e+00;1.00000e+00;1.00000e+00;40;1.93894e-01;2.00641e-01;2.70028e-01
nav-lives;me-hebbian-neuron;1;[8];12;1200;1200;1.93210e+01;19;1;1;1.00000e+00;1.00000e+00;1.00000e+00;40;2.13449e-01;2.18926e-01;4.18340e-01
nav-lives;me-hebbian-neuron;2;[8];13;1300;1300;2.00120e+01;24;1;1;1.00000e+00;1.00000e+00;1.00000e+00;40;1.93894e-01;2.00641e-01;2.70028e-01
nav-lives;me-hebbian-neuron;1;[8];13;1300;1300;2.06860e+01;20;1;1;1.00000e+00;1.00000e+00;1.00000e+00;40;3.40730e-01;3.51012e-01;4.61003e-01
nav-lives;me-hebbian-neuron;2;[8];14;1400;1400;2.14900e+01;25;1;1;1.00000e+00;1.00000e+00;1.00000e+00;40;1.93894e-01;2.00641e-01;2.70028e-01
nav-lives;me-hebbian-neuron;1;[8];14;1400;1400;2.21800e+01;22;1;1;1.00000e+00;1.00000e+00;1.00000e+00;40;3.40730e-01;3.51012e-01;4.61003e-01
nav-lives;me-hebbian-neuron;2;[8];15;1500;1500;2.28810e+01;26;1;1;1.00000e+00;1.00000e+00;1.00000e+00;40;1.93894e-01;2.00641e-01;2.70028e-01
nav-lives;me-hebbian-neuron;1;[8];15;1500;1500;2.35580e+01;22;1;1;1.00000e+00;1.00000e+00;1.00000e+00;40;3.40730e-01;3.51012e-01;4.61003e-01
