n.evals.q.1.0.	nav.lives._.me.hebbian.neuron.best.quality.increase	nav.lives._.me.hebbian.neuron.best.quality.increase.min	nav.lives._.me.hebbian.neuron.best.quality.increase.max	nav.lives._.me.freeForm.best.quality.increase	nav.lives._.me.freeForm.best.quality.increase.min	nav.lives._.me.freeForm.best.quality.increase.max
1.000e+02	1.124e-02	1.082e-02	1.637e-02	2.473e-04	1.780e-04	9.409e-03
2.000e+02	1.273e-01	6.351e-02	1.773e-01	1.950e-03	4.759e-04	5.572e-03
3.000e+02	1.773e-01	1.013e-01	2.096e-01	4.383e-02	1.950e-03	6.815e-02
4.000e+02	1.773e-01	1.013e-01	2.096e-01	4.383e-02	2.251e-03	6.815e-02
5.000e+02	1.773e-01	1.013e-01	2.096e-01	6.815e-02	2.251e-03	1.001e-01
6.000e+02	1.773e-01	1.713e-01	2.096e-01	2.251e-03	4.813e-04	1.879e-01
7.000e+02	1.773e-01	1.713e-01	2.096e-01	1.838e-01	2.251e-03	1.879e-01
8.000e+02	2.006e-01	1.713e-01	2.096e-01	1.838e-01	2.251e-03	1.879e-01
9.000e+02	2.006e-01	1.713e-01	2.096e-01	1.838e-01	2.251e-03	1.879e-01
1.000e+03	2.006e-01	1.713e-01	2.096e-01	1.838e-01	2.251e-03	1.879e-01
1.100e+03	2.006e-01	1.713e-01	2.096e-01	1.872e-01	2.251e-03	1.879e-01
1.200e+03	2.026e-01	2.006e-01	2.189e-01	1.872e-01	2.251e-03	1.879e-01
1.300e+03	2.026e-01	2.006e-01	3.270e-01	1.872e-01	2.251e-03	1.879e-01
1.400e+03	2.026e-01	2.006e-01	3.270e-01	1.872e-01	3.691e-03	1.879e-01
1.500e+03	2.026e-01	2.006e-01	3.270e-01	1.872e-01	3.691e-03	1.879e-01
1.600e+03	3.270e-01	2.026e-01	3.301e-01	1.879e-01	3.691e-03	2.607e-01
1.700e+03	3.270e-01	2.026e-01	3.301e-01	1.879e-01	3.691e-03	2.607e-01
1.800e+03	3.270e-01	2.026e-01	3.301e-01	1.879e-01	3.691e-03	2.607e-01
1.900e+03	3.270e-01	2.026e-01	3.301e-01	1.879e-01	3.691e-03	2.607e-01
2.000e+03	3.270e-01	2.189e-01	3.301e-01	1.879e-01	3.691e-03	2.607e-01
2.100e+03	3.270e-01	2.189e-01	3.301e-01	1.879e-01	3.691e-03	2.607e-01
2.200e+03	3.270e-01	2.189e-01	3.301e-01	1.879e-01	3.691e-03	2.607e-01
2.300e+03	3.270e-01	2.189e-01	3.301e-01	1.879e-01	3.691e-03	2.607e-01
2.400e+03	3.270e-01	2.189e-01	3.301e-01	1.879e-01	3.691e-03	2.607e-01
2.500e+03	3.270e-01	2.189e-01	3.301e-01	1.879e-01	3.691e-03	2.607e-01
2.600e+03	3.270e-01	2.189e-01	3.301e-01	1.879e-01	3.691e-03	2.607e-01
2.700e+03	3.270e-01	2.189e-01	3.301e-01	1.879e-01	3.691e-03	2.607e-01
2.800e+03	3.270e-01	2.189e-01	3.301e-01	1.879e-01	3.691e-03	2.607e-01
2.900e+03	3.270e-01	2.189e-01	3.301e-01	1.879e-01	3.691e-03	2.607e-01
3.000e+03	3.270e-01	2.189e-01	3.301e-01	1.879e-01	3.691e-03	2.607e-01
3.100e+03	3.270e-01	2.189e-01	3.301e-01	1.879e-01	3.691e-03	2.607e-01
3.200e+03	3.270e-01	2.189e-01	3.301e-01	1.879e-01	3.691e-03	2.607e-01
3.300e+03	3.270e-01	2.189e-01	3.301e-01	1.879e-01	3.691e-03	2.607e-01
3.400e+03	3.270e-01	2.189e-01	3.301e-01	1.879e-01	3.691e-03	2.607e-01
3.500e+03	3.270e-01	2.189e-01	3.301e-01	1.879e-01	3.691e-03	2.607e-01
3.600e+03	3.270e-01	2.189e-01	3.301e-01	1.879e-01	3.691e-03	2.607e-01
3.700e+03	3.270e-01	2.189e-01	3.301e-01	1.879e-01	3.691e-03	2.607e-01
3.800e+03	3.270e-01	2.189e-01	3.301e-01	1.879e-01	3.691e-03	2.607e-01
3.900e+03	3.270e-01	2.189e-01	3.301e-01	1.879e-01	3.691e-03	2.607e-01
4.000e+03	3.270e-01	2.189e-01	3.301e-01	1.879e-01	3.691e-03	2.607e-01
4.100e+03	3.270e-01	2.189e-01	3.301e-01	1.879e-01	3.691e-03	2.607e-01
4.200e+03	3.270e-01	2.189e-01	3.301e-01	1.879e-01	3.691e-03	1.914e-01
4.300e+03	3.301e-01	3.041e-01	3.377e-01	1.879e-01	3.691e-03	1.914e-01
