n.evals.q.1.0.	nav.lives._.me.hebbian.neuron.best.quality.maturePerformance	nav.lives._.me.hebbian.neuron.best.quality.maturePerformance.min	nav.lives._.me.hebbian.neuron.best.quality.maturePerformance.max	nav.lives._.me.freeForm.best.quality.maturePerformance	nav.lives._.me.freeForm.best.quality.maturePerformance.min	nav.lives._.me.freeForm.best.quality.maturePerformance.max
1.000e+02	1.038e-03	9.166e-04	4.122e-03	-5.871e-03	-5.897e-03	9.660e-03
2.000e+02	1.122e-01	5.735e-02	1.721e-01	-3.741e-03	-3.962e-03	1.030e-02
3.000e+02	1.721e-01	9.586e-02	2.051e-01	3.553e-02	-3.962e-03	6.074e-02
4.000e+02	1.721e-01	9.586e-02	2.051e-01	3.553e-02	-3.567e-03	6.074e-02
5.000e+02	1.721e-01	9.586e-02	2.051e-01	6.074e-02	-3.567e-03	1.947e-01
6.000e+02	1.721e-01	1.628e-01	2.051e-01	6.573e-02	-3.567e-03	2.530e-01
7.000e+02	1.721e-01	1.628e-01	2.051e-01	1.779e-01	-3.567e-03	2.530e-01
8.000e+02	1.939e-01	1.628e-01	2.051e-01	1.779e-01	-3.567e-03	2.530e-01
9.000e+02	1.939e-01	1.628e-01	2.051e-01	1.779e-01	-3.567e-03	2.530e-01
1.000e+03	1.939e-01	1.628e-01	2.051e-01	1.779e-01	-3.567e-03	2.530e-01
1.100e+03	1.939e-01	1.628e-01	2.051e-01	1.827e-01	-3.567e-03	2.530e-01
1.200e+03	1.946e-01	1.939e-01	2.134e-01	1.827e-01	-3.567e-03	2.530e-01
1.300e+03	1.946e-01	1.939e-01	3.162e-01	1.827e-01	-3.567e-03	2.530e-01
1.400e+03	1.946e-01	1.939e-01	3.162e-01	1.827e-01	-3.390e-03	2.530e-01
1.500e+03	1.946e-01	1.939e-01	3.162e-01	1.827e-01	-3.390e-03	2.530e-01
1.600e+03	3.162e-01	1.946e-01	3.250e-01	2.530e-01	-3.390e-03	2.861e-01
1.700e+03	3.162e-01	1.946e-01	3.250e-01	2.530e-01	-3.390e-03	2.861e-01
1.800e+03	3.162e-01	1.946e-01	3.250e-01	2.530e-01	-3.390e-03	2.861e-01
1.900e+03	3.162e-01	1.946e-01	3.250e-01	2.530e-01	-3.390e-03	2.861e-01
2.000e+03	3.162e-01	2.133e-01	3.250e-01	2.530e-01	-3.390e-03	2.861e-01
2.100e+03	3.162e-01	2.133e-01	3.250e-01	2.530e-01	-3.390e-03	2.861e-01
2.200e+03	3.162e-01	2.133e-01	3.250e-01	2.530e-01	-3.390e-03	2.861e-01
2.300e+03	3.162e-01	2.133e-01	3.250e-01	2.530e-01	-3.390e-03	2.861e-01
2.400e+03	3.162e-01	2.133e-01	3.250e-01	2.530e-01	-3.390e-03	2.861e-01
2.500e+03	3.162e-01	2.133e-01	3.250e-01	2.530e-01	-3.390e-03	2.861e-01
2.600e+03	3.162e-01	2.133e-01	3.250e-01	2.530e-01	-3.390e-03	2.861e-01
2.700e+03	3.162e-01	2.133e-01	3.250e-01	2.530e-01	-3.390e-03	2.861e-01
2.800e+03	3.162e-01	2.133e-01	3.250e-01	2.530e-01	-3.390e-03	2.861e-01
2.900e+03	3.162e-01	2.133e-01	3.250e-01	2.530e-01	-3.390e-03	2.861e-01
3.000e+03	3.162e-01	2.133e-01	3.250e-01	2.530e-01	-3.390e-03	3.011e-01
3.100e+03	3.162e-01	2.133e-01	3.250e-01	2.530e-01	-3.390e-03	3.011e-01
3.200e+03	3.162e-01	2.133e-01	3.250e-01	2.530e-01	-3.390e-03	3.011e-01
3.300e+03	3.162e-01	2.133e-01	3.250e-01	2.530e-01	-3.390e-03	3.011e-01
3.400e+03	3.162e-01	2.133e-01	3.250e-01	2.530e-01	-3.390e-03	3.011e-01
3.500e+03	3.162e-01	2.133e-01	3.250e-01	2.530e-01	-3.390e-03	3.011e-01
3.600e+03	3.162e-01	2.133e-01	3.250e-01	2.530e-01	-3.390e-03	3.011e-01
3.700e+03	3.162e-01	2.133e-01	3.250e-01	2.530e-01	-3.390e-03	3.011e-01
3.800e+03	3.162e-01	2.133e-01	3.250e-01	2.530e-01	-3.390e-03	3.011e-01
3.900e+03	3.162e-01	2.133e-01	3.250e-01	2.530e-01	-3.390e-03	3.011e-01
4.000e+03	3.162e-01	2.133e-01	3.250e-01	2.530e-01	-3.390e-03	3.011e-01
4.100e+03	3.162e-01	2.133e-01	3.250e-01	2.530e-01	-3.390e-03	3.011e-01
4.200e+03	3.162e-01	2.133e-01	3.250e-01	2.530e-01	-3.390e-03	3.011e-01
4.300e+03	3.250e-01	2.988e-01	3.301e-01	2.530e-01	-3.390e-03	3.011e-01
4.400e+03	3.250e-01	2.988e-01	3.407e-01	2.530e-01	-3.390e-03	3.011e-01
4.500e+03	3.250e-01	2.988e-01	3.407e-01	2.530e-01	-3.390e-03	3.011e-01
4.600e+03	3.250e-01	2.988e-01	3.407e-01	2.530e-01	-3.390e-03	3.011e-01
4.700e+03	3.313e-01	3.250e-01	3.407e-01	2.530e-01	-3.390e-03	3.011e-01
4.800e+03	3.313e-01	3.250e-01	3.407e-01	2.530e-01	-3.390e-03	3.011e-01
4.900e+03	3.407e-01	3.250e-01	4.589e-01	2.530e-01	-3.390e-03	3.011e-01
5.000e+03	3.407e-01	3.250e-01	4.589e-01	2.530e-01	-3.390e-03	3.011e-01
5.100e+03	3.407e-01	3.250e-01	4.589e-01	2.530e-01	-3.390e-03	3.011e-01
5.200e+03	3.407e-01	3.250e-01	4.589e-01	2.530e-01	-3.390e-03	3.011e-01
5.300e+03	3.407e-01	3.250e-01	4.589e-01	2.530e-01	-3.390e-03	3.011e-01
5.400e+03	3.407e-01	3.250e-01	4.589e-01	3.011e-01	-3.390e-03	3.240e-01
5.500e+03	3.751e-01	3.250e-01	4.589e-01	3.011e-01	-3.390e-03	3.240e-01
5.600e+03	3.994e-01	3.250e-01	4.589e-01	3.011e-01	-3.390e-03	3.240e-01
5.700e+03	4.589e-01	3.250e-01	5.133e-01	3.011e-01	-3.390e-03	3.240e-01
5.800e+03	4.589e-01	3.250e-01	5.133e-01	3.011e-01	-3.390e-03	3.240e-01
5.900e+03	4.589e-01	3.250e-01	5.133e-01	3.011e-01	-3.390e-03	3.240e-01
6.000e+03	4.589e-01	3.250e-01	5.133e-01	3.011e-01	-3.390e-03	3.240e-01
6.100e+03	4.589e-01	3.250e-01	5.133e-01	3.011e-01	-3.390e-03	3.240e-01
6.200e+03	4.589e-01	3.250e-01	5.133e-01	3.011e-01	-3.390e-03	3.240e-01
6.300e+03	4.589e-01	3.250e-01	5.133e-01	3.011e-01	-3.390e-03	3.240e-01
6.400e+03	4.589e-01	3.250e-01	5.133e-01	3.011e-01	-3.390e-03	3.240e-01
6.500e+03	4.589e-01	3.250e-01	5.133e-01	3.011e-01	-3.390e-03	3.240e-01
6.600e+03	4.589e-01	3.250e-01	5.133e-01	3.011e-01	-3.390e-03	3.240e-01
6.700e+03	4.589e-01	3.250e-01	5.133e-01	3.011e-01	-3.390e-03	3.240e-01
6.800e+03	4.589e-01	3.250e-01	5.133e-01	3.011e-01	-3.390e-03	3.240e-01
6.900e+03	4.589e-01	3.250e-01	5.133e-01	3.011e-01	-3.390e-03	3.240e-01
7.000e+03	4.589e-01	3.250e-01	5.133e-01	3.011e-01	-3.390e-03	3.240e-01
7.100e+03	4.589e-01	3.250e-01	5.133e-01	3.011e-01	-3.390e-03	3.240e-01
7.200e+03	4.589e-01	3.250e-01	5.133e-01	3.011e-01	-3.390e-03	3.240e-01
7.300e+03	4.589e-01	3.250e-01	5.133e-01	3.011e-01	-3.390e-03	3.240e-01
7.400e+03	4.589e-01	3.250e-01	5.133e-01	3.011e-01	-3.390e-03	3.240e-01
7.500e+03	4.589e-01	3.250e-01	5.133e-01	3.011e-01	-3.390e-03	3.240e-01
7.600e+03	4.589e-01	3.250e-01	5.133e-01	3.011e-01	-3.390e-03	3.240e-01
7.700e+03	4.589e-01	3.250e-01	5.133e-01	3.011e-01	-3.390e-03	3.240e-01
7.800e+03	4.589e-01	3.250e-01	5.133e-01	3.011e-01	-3.390e-03	3.240e-01
7.900e+03	4.589e-01	3.250e-01	5.133e-01	3.011e-01	-3.210e-03	3.240e-01
8.000e+03	4.589e-01	3.250e-01	5.133e-01	3.011e-01	-3.210e-03	3.240e-01
8.100e+03	4.589e-01	3.250e-01	5.133e-01	3.011e-01	-3.210e-03	3.240e-01
8.200e+03	4.589e-01	3.250e-01	5.133e-01	3.011e-01	-3.210e-03	3.240e-01
8.300e+03	4.589e-01	3.250e-01	5.133e-01	3.011e-01	-3.210e-03	3.240e-01
8.400e+03	4.589e-01	3.250e-01	5.133e-01	3.240e-01	-3.210e-03	3.307e-01
8.500e+03	4.589e-01	3.250e-01	5.133e-01	3.240e-01	-3.210e-03	3.307e-01
8.600e+03	4.589e-01	3.250e-01	5.133e-01	3.240e-01	-3.210e-03	3.307e-01
8.700e+03	4.589e-01	3.250e-01	5.133e-01	3.240e-01	-3.210e-03	3.307e-01
8.800e+03	4.589e-01	3.250e-01	5.133e-01	3.240e-01	-3.210e-03	3.307e-01
8.900e+03	4.589e-01	3.250e-01	5.133e-01	3.240e-01	-3.210e-03	3.307e-01
9.000e+03	4.589e-01	3.250e-01	5.133e-01	3.240e-01	-3.210e-03	3.307e-01
9.100e+03	4.589e-01	3.250e-01	5.133e-01	3.240e-01	-3.210e-03	3.307e-01
9.200e+03	4.589e-01	3.250e-01	5.133e-01	3.240e-01	-3.210e-03	3.307e-01
9.300e+03	4.990e-01	3.250e-01	5.133e-01	3.240e-01	-3.210e-03	3.307e-01
9.400e+03	4.990e-01	3.250e-01	5.133e-01	3.240e-01	-3.210e-03	3.307e-01
9.500e+03	4.990e-01	3.250e-01	5.133e-01	3.307e-01	-3.210e-03	3.394e-01
9.600e+03	4.990e-01	3.250e-01	5.133e-01	3.307e-01	-3.210e-03	3.394e-01
9.700e+03	4.990e-01	3.250e-01	5.133e-01	3.307e-01	-3.210e-03	3.394e-01
9.800e+03	4.990e-01	3.250e-01	5.133e-01	3.307e-01	-3.210e-03	3.394e-01
9.900e+03	4.990e-01	3.250e-01	5.133e-01	3.307e-01	-3.210e-03	3.394e-01
1.000e+04	4.990e-01	3.250e-01	5.133e-01	3.307e-01	-3.210e-03	3.394e-01
1.010e+04	4.990e-01	3.250e-01	5.133e-01	3.307e-01	-3.210e-03	3.394e-01
1.020e+04	4.990e-01	3.250e-01	5.133e-01	3.307e-01	-3.210e-03	3.394e-01
1.030e+04	4.990e-01	3.250e-01	5.133e-01	3.307e-01	-3.210e-03	3.394e-01
1.040e+04	4.990e-01	3.250e-01	5.133e-01	3.307e-01	-3.210e-03	3.394e-01
1.050e+04	4.990e-01	3.250e-01	5.133e-01	3.307e-01	-3.210e-03	3.394e-01
1.060e+04	4.990e-01	3.250e-01	5.133e-01	3.307e-01	-3.210e-03	3.394e-01
1.070e+04	4.990e-01	3.250e-01	5.133e-01	3.307e-01	-3.210e-03	3.683e-01
1.080e+04	4.990e-01	3.250e-01	5.133e-01	3.307e-01	-3.210e-03	3.683e-01
1.090e+04	4.990e-01	3.250e-01	5.133e-01	3.307e-01	-3.210e-03	3.683e-01
1.100e+04	4.990e-01	3.250e-01	5.133e-01	3.307e-01	-3.210e-03	3.683e-01
1.110e+04	4.990e-01	3.250e-01	5.133e-01	3.307e-01	-3.210e-03	3.683e-01
1.120e+04	4.990e-01	3.250e-01	5.133e-01	3.307e-01	-3.210e-03	3.683e-01
1.130e+04	4.990e-01	3.250e-01	5.133e-01	3.307e-01	-3.029e-03	3.683e-01
1.140e+04	4.990e-01	3.250e-01	5.133e-01	3.307e-01	4.461e-04	3.683e-01
1.150e+04	4.990e-01	3.250e-01	5.133e-01	3.307e-01	9.824e-02	3.683e-01
1.160e+04	4.990e-01	3.250e-01	5.133e-01	3.307e-01	9.824e-02	3.683e-01
1.170e+04	4.990e-01	3.250e-01	5.133e-01	3.307e-01	1.360e-01	3.930e-01
1.180e+04	4.990e-01	3.250e-01	5.133e-01	3.930e-01	3.307e-01	4.399e-01
1.190e+04	4.990e-01	3.250e-01	5.133e-01	3.930e-01	3.307e-01	4.399e-01
1.200e+04	4.990e-01	3.250e-01	5.133e-01	3.930e-01	3.307e-01	4.399e-01
1.210e+04	4.990e-01	3.250e-01	5.133e-01	3.930e-01	3.307e-01	4.399e-01
1.220e+04	4.990e-01	3.250e-01	5.133e-01	3.930e-01	3.307e-01	4.399e-01
1.230e+04	4.990e-01	3.250e-01	5.637e-01	3.930e-01	3.307e-01	4.399e-01
1.240e+04	4.990e-01	3.250e-01	5.637e-01	3.930e-01	3.307e-01	4.399e-01
1.250e+04	4.990e-01	3.250e-01	5.637e-01	3.930e-01	3.307e-01	4.399e-01
1.260e+04	4.990e-01	3.250e-01	5.637e-01	3.930e-01	3.307e-01	4.399e-01
1.270e+04	4.990e-01	3.250e-01	5.637e-01	3.930e-01	3.307e-01	4.399e-01
1.280e+04	4.990e-01	3.250e-01	5.637e-01	3.930e-01	3.307e-01	4.399e-01
1.290e+04	4.990e-01	3.250e-01	5.637e-01	3.930e-01	3.307e-01	4.399e-01
1.300e+04	4.990e-01	3.250e-01	5.637e-01	3.930e-01	3.307e-01	4.399e-01
1.310e+04	4.990e-01	3.250e-01	6.732e-01	3.930e-01	3.307e-01	4.399e-01
1.320e+04	4.990e-01	3.250e-01	6.732e-01	3.930e-01	3.307e-01	4.399e-01
1.330e+04	4.990e-01	3.250e-01	6.732e-01	3.930e-01	3.307e-01	4.399e-01
1.340e+04	4.990e-01	3.250e-01	6.732e-01	3.930e-01	3.307e-01	4.399e-01
1.350e+04	4.990e-01	3.250e-01	6.732e-01	4.269e-01	3.307e-01	4.399e-01
1.360e+04	4.990e-01	3.250e-01	6.732e-01	4.269e-01	3.307e-01	4.399e-01
1.370e+04	4.990e-01	3.250e-01	6.732e-01	4.269e-01	3.307e-01	4.399e-01
1.380e+04	4.990e-01	3.250e-01	6.732e-01	4.269e-01	3.307e-01	4.399e-01
1.390e+04	4.990e-01	3.250e-01	6.732e-01	4.269e-01	3.307e-01	4.399e-01
1.400e+04	4.990e-01	3.250e-01	6.732e-01	4.269e-01	3.307e-01	4.399e-01
1.410e+04	4.990e-01	3.250e-01	6.732e-01	4.269e-01	3.307e-01	4.399e-01
1.420e+04	4.990e-01	3.250e-01	6.732e-01	4.269e-01	3.307e-01	4.399e-01
1.430e+04	4.990e-01	3.250e-01	6.732e-01	4.269e-01	3.307e-01	4.399e-01
1.440e+04	4.990e-01	3.250e-01	6.732e-01	4.269e-01	3.307e-01	4.399e-01
1.450e+04	4.990e-01	3.250e-01	6.732e-01	4.269e-01	3.307e-01	4.399e-01
1.460e+04	4.990e-01	3.250e-01	6.732e-01	4.269e-01	3.307e-01	4.399e-01
1.470e+04	4.990e-01	3.250e-01	6.732e-01	4.269e-01	3.307e-01	4.399e-01
1.480e+04	4.990e-01	3.250e-01	6.732e-01	4.269e-01	3.307e-01	4.399e-01
1.490e+04	4.990e-01	3.250e-01	6.732e-01	4.269e-01	3.307e-01	4.399e-01
1.500e+04	4.990e-01	3.250e-01	6.732e-01	4.269e-01	3.307e-01	4.399e-01
1.510e+04	4.990e-01	3.250e-01	6.732e-01	4.269e-01	3.307e-01	4.399e-01
1.520e+04	4.990e-01	3.250e-01	6.732e-01	4.269e-01	3.307e-01	4.399e-01
1.530e+04	4.990e-01	3.250e-01	6.732e-01	4.269e-01	3.307e-01	4.864e-01
1.540e+04	4.990e-01	3.250e-01	6.732e-01	4.269e-01	3.307e-01	4.864e-01
1.550e+04	5.736e-01	3.250e-01	6.732e-01	4.269e-01	3.307e-01	4.864e-01
1.560e+04	5.736e-01	3.250e-01	6.732e-01	4.269e-01	3.307e-01	4.864e-01
1.570e+04	5.736e-01	3.250e-01	6.732e-01	4.269e-01	3.307e-01	4.864e-01
1.580e+04	5.736e-01	3.250e-01	6.732e-01	4.269e-01	3.307e-01	4.864e-01
1.590e+04	5.736e-01	3.250e-01	6.732e-01	4.269e-01	3.307e-01	4.864e-01
1.600e+04	5.736e-01	3.250e-01	6.732e-01	4.269e-01	3.307e-01	4.864e-01
1.610e+04	5.736e-01	4.179e-01	6.732e-01	4.269e-01	3.307e-01	4.864e-01
1.620e+04	5.736e-01	4.179e-01	6.732e-01	4.269e-01	3.307e-01	4.864e-01
1.630e+04	5.736e-01	4.179e-01	6.732e-01	4.269e-01	3.307e-01	4.864e-01
1.640e+04	5.736e-01	4.179e-01	6.732e-01	4.269e-01	3.307e-01	4.864e-01
1.650e+04	5.736e-01	4.179e-01	6.732e-01	4.269e-01	3.307e-01	4.864e-01
1.660e+04	5.736e-01	4.179e-01	6.732e-01	4.269e-01	3.307e-01	4.864e-01
1.670e+04	5.736e-01	4.179e-01	6.732e-01	4.269e-01	3.307e-01	4.864e-01
1.680e+04	5.736e-01	4.179e-01	6.732e-01	4.269e-01	3.307e-01	4.864e-01
1.690e+04	5.736e-01	4.179e-01	6.732e-01	4.269e-01	3.307e-01	4.864e-01
1.700e+04	5.736e-01	4.179e-01	6.732e-01	4.269e-01	3.307e-01	4.864e-01
1.710e+04	5.736e-01	4.179e-01	6.732e-01	4.269e-01	3.307e-01	4.864e-01
1.720e+04	5.736e-01	4.179e-01	6.732e-01	4.269e-01	3.307e-01	4.864e-01
1.730e+04	5.736e-01	4.179e-01	6.732e-01	4.269e-01	3.307e-01	4.864e-01
1.740e+04	5.736e-01	4.179e-01	6.732e-01	4.269e-01	3.307e-01	5.139e-01
1.750e+04	5.736e-01	4.179e-01	6.732e-01	4.269e-01	3.307e-01	5.139e-01
1.760e+04	5.736e-01	4.179e-01	6.732e-01	4.269e-01	3.307e-01	5.139e-01
1.770e+04	5.736e-01	4.179e-01	6.732e-01	4.269e-01	3.307e-01	5.139e-01
1.780e+04	5.736e-01	4.179e-01	6.732e-01	4.269e-01	3.307e-01	5.139e-01
1.790e+04	5.736e-01	4.179e-01	6.732e-01	4.269e-01	3.307e-01	5.139e-01
1.800e+04	5.736e-01	4.179e-01	6.732e-01	4.269e-01	3.307e-01	5.139e-01
1.810e+04	5.736e-01	4.179e-01	6.732e-01	4.269e-01	3.307e-01	5.139e-01
1.820e+04	5.736e-01	4.179e-01	6.732e-01	4.269e-01	3.307e-01	5.139e-01
1.830e+04	5.736e-01	4.179e-01	6.732e-01	4.269e-01	3.307e-01	5.139e-01
1.840e+04	5.736e-01	4.179e-01	6.732e-01	4.269e-01	3.307e-01	5.139e-01
1.850e+04	5.736e-01	4.179e-01	6.732e-01	4.269e-01	3.307e-01	5.139e-01
1.860e+04	5.736e-01	4.179e-01	6.732e-01	4.269e-01	3.307e-01	5.139e-01
1.870e+04	5.736e-01	4.179e-01	6.732e-01	4.269e-01	3.307e-01	5.139e-01
1.880e+04	5.736e-01	4.179e-01	6.732e-01	4.269e-01	3.307e-01	5.139e-01
1.890e+04	5.736e-01	4.179e-01	6.732e-01	4.269e-01	3.307e-01	5.139e-01
1.900e+04	5.736e-01	4.179e-01	6.732e-01	4.269e-01	3.307e-01	5.139e-01
1.910e+04	5.736e-01	4.179e-01	6.732e-01	4.269e-01	3.307e-01	5.139e-01
1.920e+04	5.736e-01	4.179e-01	6.732e-01	4.269e-01	3.307e-01	5.139e-01
1.930e+04	5.736e-01	4.179e-01	6.732e-01	4.269e-01	3.307e-01	5.139e-01
1.940e+04	5.736e-01	4.179e-01	6.732e-01	4.269e-01	3.307e-01	5.139e-01
1.950e+04	5.736e-01	4.179e-01	6.732e-01	4.269e-01	3.307e-01	5.139e-01
1.960e+04	5.736e-01	4.179e-01	6.732e-01	4.269e-01	3.307e-01	5.139e-01
1.970e+04	5.736e-01	4.179e-01	6.732e-01	4.269e-01	3.307e-01	5.139e-01
1.980e+04	5.736e-01	4.179e-01	6.732e-01	4.269e-01	3.307e-01	5.139e-01
1.990e+04	5.736e-01	4.179e-01	6.732e-01	4.269e-01	3.307e-01	5.139e-01
2.000e+04	5.736e-01	4.179e-01	6.732e-01	4.269e-01	3.307e-01	5.139e-01
2.010e+04	5.736e-01	4.179e-01	6.732e-01	4.269e-01	3.307e-01	5.139e-01
2.020e+04	5.736e-01	4.179e-01	6.732e-01	4.269e-01	3.307e-01	5.139e-01
2.030e+04	5.736e-01	4.179e-01	6.732e-01	4.269e-01	3.307e-01	5.139e-01
