x	y	progress.rate.q.0.05.0.00.fitness	progress.rate.q.0.05.0.10.fitness	progress.rate.q.0.05.0.25.fitness	progress.rate.q.0.05.0.50.fitness	progress.rate.q.0.05.1.00.fitness
0	0	-5.871e-03	-3.390e-03	-3.210e-03	-1.916e-03	-1.821e-03
0	1	nan	nan	nan	8.914e-04	2.578e-03
0	2	nan	nan	nan	6.171e-03	7.583e-03
0	3	nan	nan	nan	1.425e-02	1.620e-02
0	4	nan	nan	nan	2.555e-02	2.769e-02
0	5	nan	nan	nan	4.408e-02	4.527e-02
0	6	nan	nan	nan	6.351e-02	6.606e-02
0	7	nan	nan	nan	9.277e-02	9.571e-02
0	8	nan	nan	nan	1.303e-01	1.346e-01
0	9	nan	nan	nan	3.588e-01	5.344e-01
1	0	nan	nan	nan	nan	nan
1	1	nan	nan	nan	nan	nan
1	2	nan	nan	nan	nan	nan
1	3	nan	nan	nan	nan	nan
1	4	nan	nan	nan	2.578e-02	2.817e-02
1	5	nan	nan	nan	4.188e-02	4.454e-02
1	6	nan	nan	nan	6.421e-02	6.421e-02
1	7	nan	nan	nan	8.680e-02	9.131e-02
1	8	nan	nan	nan	1.291e-01	1.327e-01
1	9	nan	nan	nan	3.047e-01	4.844e-01
2	0	nan	nan	nan	nan	nan
2	1	nan	nan	nan	nan	nan
2	2	nan	nan	nan	nan	nan
2	3	nan	nan	nan	nan	nan
2	4	nan	nan	nan	nan	nan
2	5	nan	nan	nan	nan	3.970e-02
2	6	nan	nan	nan	6.608e-02	6.608e-02
2	7	nan	nan	nan	8.823e-02	8.978e-02
2	8	nan	nan	nan	1.246e-01	1.270e-01
2	9	nan	nan	nan	3.432e-01	5.109e-01
3	0	nan	nan	nan	nan	nan
3	1	nan	nan	nan	nan	nan
3	2	nan	nan	nan	nan	nan
3	3	nan	nan	nan	nan	nan
3	4	nan	nan	nan	nan	nan
3	5	nan	nan	nan	nan	nan
3	6	nan	nan	nan	nan	nan
3	7	nan	nan	nan	9.181e-02	9.353e-02
3	8	nan	nan	nan	1.229e-01	1.302e-01
3	9	nan	nan	nan	3.710e-01	4.812e-01
4	0	nan	nan	nan	nan	nan
4	1	nan	nan	nan	nan	nan
4	2	nan	nan	nan	nan	nan
4	3	nan	nan	nan	nan	nan
4	4	nan	nan	nan	nan	nan
4	5	nan	nan	nan	nan	nan
4	6	nan	nan	nan	nan	nan
4	7	nan	nan	nan	nan	nan
4	8	nan	nan	nan	1.243e-01	1.280e-01
4	9	nan	nan	nan	4.453e-01	5.559e-01
5	0	nan	nan	nan	nan	nan
5	1	nan	nan	nan	nan	nan
5	2	nan	nan	nan	nan	nan
5	3	nan	nan	nan	nan	nan
5	4	nan	nan	nan	nan	nan
5	5	nan	nan	nan	nan	nan
5	6	nan	nan	nan	nan	nan
5	7	nan	nan	nan	nan	nan
5	8	nan	nan	nan	1.296e-01	1.318e-01
5	9	nan	nan	nan	4.419e-01	5.803e-01
6	0	nan	nan	nan	nan	nan
6	1	nan	nan	nan	nan	nan
6	2	nan	nan	nan	nan	nan
6	3	nan	nan	nan	nan	nan
6	4	nan	nan	nan	nan	nan
6	5	nan	nan	nan	nan	nan
6	6	nan	nan	nan	nan	nan
6	7	nan	nan	nan	nan	nan
6	8	nan	nan	nan	nan	3.709e-01
6	9	nan	nan	nan	3.638e-01	5.310e-01
7	0	nan	nan	nan	nan	nan
7	1	nan	nan	nan	nan	nan
7	2	nan	nan	nan	nan	nan
7	3	nan	nan	nan	nan	nan
7	4	nan	nan	nan	nan	nan
7	5	nan	nan	nan	nan	nan
7	6	nan	nan	nan	nan	nan
7	7	nan	nan	nan	nan	nan
7	8	nan	nan	nan	nan	3.700e-01
7	9	nan	nan	nan	3.787e-01	5.660e-01
8	0	nan	nan	nan	nan	nan
8	1	nan	nan	nan	nan	nan
8	2	nan	nan	nan	nan	nan
8	3	nan	nan	nan	nan	nan
8	4	nan	nan	nan	nan	nan
8	5	nan	nan	nan	nan	nan
8	6	nan	nan	nan	nan	nan
8	7	nan	nan	nan	nan	nan
8	8	nan	nan	nan	nan	3.791e-01
8	9	nan	nan	nan	4.124e-01	5.558e-01
9	0	nan	nan	nan	nan	nan
9	1	nan	nan	nan	nan	nan
9	2	nan	nan	nan	nan	nan
9	3	nan	nan	nan	nan	nan
9	4	nan	nan	nan	nan	nan
9	5	nan	nan	nan	nan	nan
9	6	nan	nan	nan	nan	nan
9	7	nan	nan	nan	nan	nan
9	8	nan	nan	nan	nan	3.822e-01
9	9	nan	nan	nan	6.125e-01	6.860e-01
