x	y	progress.rate.q.0.05.0.00.fitness	progress.rate.q.0.05.0.10.fitness	progress.rate.q.0.05.0.25.fitness	progress.rate.q.0.05.0.50.fitness	progress.rate.q.0.05.1.00.fitness
0	0	-4.061e-03	-2.556e-03	-2.425e-03	-2.368e-03	-2.211e-03
0	1	-6.044e-03	5.519e-04	8.498e-04	1.167e-03	1.726e-03
0	2	9.166e-04	5.774e-03	6.388e-03	7.096e-03	7.759e-03
0	3	nan	1.461e-02	1.519e-02	1.528e-02	1.742e-02
0	4	nan	1.922e-02	2.647e-02	2.766e-02	2.940e-02
0	5	nan	3.496e-02	4.146e-02	4.316e-02	4.564e-02
0	6	nan	1.672e-02	5.948e-02	6.094e-02	6.571e-02
0	7	nan	nan	4.172e-02	8.513e-02	9.422e-02
0	8	nan	3.637e-02	5.064e-02	1.235e-01	1.297e-01
0	9	nan	nan	7.207e-02	1.534e-01	2.335e-01
1	0	nan	nan	nan	nan	nan
1	1	nan	nan	nan	nan	nan
1	2	nan	nan	nan	nan	nan
1	3	nan	nan	1.380e-02	1.605e-02	1.605e-02
1	4	nan	2.485e-02	2.744e-02	2.858e-02	2.885e-02
1	5	nan	4.054e-02	4.325e-02	4.443e-02	4.443e-02
1	6	nan	5.975e-02	5.975e-02	6.182e-02	6.660e-02
1	7	nan	3.977e-02	4.492e-02	8.854e-02	9.304e-02
1	8	nan	4.976e-02	4.976e-02	1.219e-01	1.318e-01
1	9	nan	nan	6.680e-02	1.570e-01	2.588e-01
2	0	nan	nan	nan	nan	nan
2	1	nan	nan	nan	nan	nan
2	2	nan	nan	nan	nan	nan
2	3	nan	nan	nan	nan	nan
2	4	nan	nan	nan	nan	nan
2	5	nan	nan	4.319e-02	4.482e-02	4.482e-02
2	6	nan	6.593e-02	6.593e-02	6.652e-02	6.652e-02
2	7	nan	7.041e-02	7.875e-02	9.200e-02	9.368e-02
2	8	nan	9.358e-02	9.358e-02	1.072e-01	1.304e-01
2	9	nan	9.306e-02	9.306e-02	1.683e-01	3.018e-01
3	0	nan	nan	nan	nan	nan
3	1	nan	nan	nan	nan	nan
3	2	nan	nan	nan	nan	nan
3	3	nan	nan	nan	nan	nan
3	4	nan	nan	nan	nan	nan
3	5	nan	nan	nan	nan	nan
3	6	nan	nan	6.523e-02	6.523e-02	6.523e-02
3	7	nan	8.273e-02	9.002e-02	9.002e-02	9.293e-02
3	8	nan	1.133e-01	1.133e-01	1.268e-01	1.281e-01
3	9	nan	8.445e-02	1.395e-01	2.111e-01	3.051e-01
4	0	nan	nan	nan	nan	nan
4	1	nan	nan	nan	nan	nan
4	2	nan	nan	nan	nan	nan
4	3	nan	nan	nan	nan	nan
4	4	nan	nan	nan	nan	nan
4	5	nan	nan	nan	nan	nan
4	6	nan	nan	nan	nan	nan
4	7	nan	9.157e-02	9.157e-02	9.545e-02	9.545e-02
4	8	nan	1.105e-01	1.276e-01	1.276e-01	1.296e-01
4	9	nan	1.165e-01	1.423e-01	2.470e-01	3.449e-01
5	0	nan	nan	nan	nan	nan
5	1	nan	nan	nan	nan	nan
5	2	nan	nan	nan	nan	nan
5	3	nan	nan	nan	nan	nan
5	4	nan	nan	nan	nan	nan
5	5	nan	nan	nan	nan	nan
5	6	nan	nan	nan	nan	nan
5	7	nan	nan	nan	nan	nan
5	8	nan	1.265e-01	1.304e-01	1.304e-01	1.334e-01
5	9	nan	1.322e-01	1.606e-01	2.413e-01	3.463e-01
6	0	nan	nan	nan	nan	nan
6	1	nan	nan	nan	nan	nan
6	2	nan	nan	nan	nan	nan
6	3	nan	nan	nan	nan	nan
6	4	nan	nan	nan	nan	nan
6	5	nan	nan	nan	nan	nan
6	6	nan	nan	nan	nan	nan
6	7	nan	nan	nan	nan	nan
6	8	nan	nan	nan	nan	nan
6	9	nan	1.593e-01	1.649e-01	4.028e-01	4.028e-01
7	0	nan	nan	nan	nan	nan
7	1	nan	nan	nan	nan	nan
7	2	nan	nan	nan	nan	nan
7	3	nan	nan	nan	nan	nan
7	4	nan	nan	nan	nan	nan
7	5	nan	nan	nan	nan	nan
7	6	nan	nan	nan	nan	nan
7	7	nan	nan	nan	nan	nan
7	8	nan	nan	nan	nan	nan
7	9	nan	nan	1.892e-01	2.340e-01	4.256e-01
8	0	nan	nan	nan	nan	nan
8	1	nan	nan	nan	nan	nan
8	2	nan	nan	nan	nan	nan
8	3	nan	nan	nan	nan	nan
8	4	nan	nan	nan	nan	nan
8	5	nan	nan	nan	nan	nan
8	6	nan	nan	nan	nan	nan
8	7	nan	nan	nan	nan	nan
8	8	nan	nan	nan	nan	nan
8	9	nan	2.135e-01	2.302e-01	3.349e-01	4.384e-01
9	0	nan	nan	nan	nan	nan
9	1	nan	nan	nan	nan	nan
9	2	nan	nan	nan	nan	nan
9	3	nan	nan	nan	nan	nan
9	4	nan	nan	nan	nan	nan
9	5	nan	nan	nan	nan	nan
9	6	nan	nan	nan	nan	nan
9	7	nan	nan	nan	nan	nan
9	8	nan	nan	3.751e-01	3.751e-01	3.751e-01
9	9	nan	3.407e-01	6.950e-01	6.950e-01	6.950e-01
