x	y	progress.rate.q.0.05.0.00.quality.fitness	progress.rate.q.0.05.0.10.quality.fitness	progress.rate.q.0.05.0.25.quality.fitness	progress.rate.q.0.05.0.50.quality.fitness	progress.rate.q.0.05.1.00.quality.fitness
0	0	-1.812e+00	4.002e+01	4.002e+01	1.155e+02	1.155e+02
0	1	nan	7.144e+01	7.144e+01	2.201e+02	3.477e+02
0	2	nan	4.844e+01	1.799e+02	1.799e+02	3.690e+02
0	3	nan	6.058e+01	1.042e+02	2.308e+02	3.469e+02
0	4	nan	5.736e+01	1.999e+02	3.539e+02	3.539e+02
0	5	nan	1.162e+02	1.162e+02	2.202e+02	3.312e+02
0	6	nan	9.599e+01	1.197e+02	2.913e+02	3.787e+02
0	7	nan	1.055e+02	2.966e+02	2.966e+02	3.429e+02
0	8	nan	1.010e+02	2.498e+02	3.181e+02	3.539e+02
0	9	nan	1.040e+02	2.540e+02	3.166e+02	3.822e+02
1	0	nan	nan	4.281e+01	7.391e+01	7.391e+01
1	1	nan	nan	9.946e+01	1.583e+02	2.235e+02
1	2	nan	6.065e+01	9.896e+01	1.730e+02	3.002e+02
1	3	nan	7.371e+01	1.001e+02	1.560e+02	4.056e+02
1	4	nan	7.986e+01	2.141e+02	3.923e+02	4.075e+02
1	5	nan	7.886e+01	1.985e+02	2.366e+02	3.678e+02
1	6	6.323e+01	9.293e+01	2.198e+02	2.445e+02	3.564e+02
1	7	nan	9.105e+01	2.423e+02	3.370e+02	3.635e+02
1	8	nan	9.836e+01	2.061e+02	3.173e+02	3.517e+02
1	9	nan	1.532e+02	2.656e+02	3.307e+02	4.077e+02
2	0	nan	nan	nan	4.785e+02	4.941e+02
2	1	nan	nan	1.942e+02	3.545e+02	4.168e+02
2	2	nan	nan	1.819e+02	2.973e+02	4.525e+02
2	3	nan	nan	1.578e+02	3.860e+02	4.434e+02
2	4	nan	1.322e+02	1.475e+02	3.794e+02	4.372e+02
2	5	nan	1.759e+02	2.356e+02	2.569e+02	3.929e+02
2	6	nan	1.372e+02	1.725e+02	3.397e+02	3.685e+02
2	7	nan	1.264e+02	1.936e+02	2.704e+02	4.048e+02
2	8	nan	1.835e+02	3.815e+02	3.815e+02	3.876e+02
2	9	nan	2.628e+02	2.716e+02	3.573e+02	4.012e+02
3	0	nan	nan	nan	nan	5.016e+02
3	1	nan	nan	nan	4.447e+02	4.535e+02
3	2	nan	1.991e+02	1.991e+02	4.177e+02	4.484e+02
3	3	nan	1.806e+02	2.284e+02	3.538e+02	4.379e+02
3	4	nan	1.788e+02	1.957e+02	4.537e+02	4.539e+02
3	5	nan	nan	1.907e+02	3.628e+02	4.447e+02
3	6	nan	1.777e+02	2.951e+02	3.872e+02	3.915e+02
3	7	nan	1.657e+02	2.186e+02	3.430e+02	3.844e+02
3	8	nan	1.974e+02	3.649e+02	3.649e+02	3.966e+02
3	9	nan	1.947e+02	2.751e+02	3.889e+02	3.911e+02
4	0	nan	nan	nan	4.786e+02	4.956e+02
4	1	nan	nan	4.356e+02	4.356e+02	4.779e+02
4	2	nan	nan	2.322e+02	2.425e+02	4.527e+02
4	3	nan	nan	2.206e+02	3.996e+02	4.525e+02
4	4	nan	2.783e+02	2.783e+02	4.073e+02	4.231e+02
4	5	nan	nan	2.880e+02	2.885e+02	4.145e+02
4	6	nan	2.789e+02	3.280e+02	4.029e+02	4.287e+02
4	7	nan	2.252e+02	2.529e+02	3.917e+02	3.917e+02
4	8	nan	2.123e+02	3.364e+02	3.638e+02	4.179e+02
4	9	nan	3.913e+02	3.943e+02	3.943e+02	4.080e+02
5	0	nan	nan	nan	4.792e+02	5.102e+02
5	1	nan	nan	nan	4.819e+02	4.819e+02
5	2	nan	nan	nan	2.995e+02	4.641e+02
5	3	nan	nan	3.333e+02	3.333e+02	4.311e+02
5	4	nan	nan	2.877e+02	4.082e+02	4.407e+02
5	5	nan	2.834e+02	2.834e+02	3.533e+02	4.250e+02
5	6	nan	nan	3.750e+02	3.802e+02	4.257e+02
5	7	nan	2.734e+02	2.866e+02	3.454e+02	4.076e+02
5	8	nan	3.286e+02	3.286e+02	3.721e+02	4.105e+02
5	9	nan	3.242e+02	3.710e+02	3.763e+02	4.088e+02
6	0	nan	nan	nan	4.832e+02	5.106e+02
6	1	nan	nan	3.176e+02	4.646e+02	4.646e+02
6	2	nan	3.915e+02	3.915e+02	4.251e+02	4.470e+02
6	3	nan	nan	nan	3.731e+02	4.557e+02
6	4	nan	nan	3.384e+02	4.047e+02	4.390e+02
