n.evals.q.1.0.	train._.me.hebbian.synapse.best.quality.fitness	train._.me.hebbian.synapse.best.quality.fitness.min	train._.me.hebbian.synapse.best.quality.fitness.max	train._.me.freeForm.best.quality.fitness	train._.me.freeForm.best.quality.fitness.min	train._.me.freeForm.best.quality.fitness.max
1.000e+02	2.360e+00	-1.799e+00	9.008e+00	-3.677e+00	-3.720e+00	-3.661e+00
2.000e+02	7.095e+01	2.402e+01	8.120e+01	-3.661e+00	-3.720e+00	-3.467e+00
3.000e+02	8.118e+01	6.585e+01	1.063e+02	-3.521e+00	-3.669e+00	-3.411e+00
4.000e+02	8.732e+01	8.118e+01	1.063e+02	-3.414e+00	-3.658e+00	-3.210e+00
5.000e+02	9.158e+01	8.118e+01	1.063e+02	-3.292e+00	-3.521e+00	-3.097e+00
6.000e+02	9.158e+01	8.118e+01	1.063e+02	-3.210e+00	-3.429e+00	-2.914e+00
7.000e+02	1.063e+02	8.118e+01	1.191e+02	-3.095e+00	-3.416e+00	-2.914e+00
8.000e+02	1.063e+02	8.118e+01	1.233e+02	-3.059e+00	-3.365e+00	-2.914e+00
9.000e+02	1.107e+02	8.118e+01	1.825e+02	-3.059e+00	-3.364e+00	-2.879e+00
1.000e+03	1.598e+02	8.732e+01	1.825e+02	-2.976e+00	-3.364e+00	-2.877e+00
1.100e+03	1.741e+02	1.107e+02	1.825e+02	-2.976e+00	-3.364e+00	-2.561e+00
1.200e+03	1.825e+02	1.200e+02	2.006e+02	-2.877e+00	-3.186e+00	1.967e+00
1.300e+03	1.825e+02	1.222e+02	2.006e+02	-2.746e+00	-3.186e+00	1.968e+00
1.400e+03	1.825e+02	1.222e+02	2.006e+02	-2.602e+00	-3.186e+00	1.968e+00
1.500e+03	1.825e+02	1.644e+02	2.006e+02	-2.475e+00	-3.186e+00	3.113e+00
1.600e+03	1.869e+02	1.774e+02	2.030e+02	-2.475e+00	-3.186e+00	3.113e+00
1.700e+03	2.006e+02	1.825e+02	2.348e+02	-2.475e+00	-3.186e+00	3.113e+00
1.800e+03	2.006e+02	1.825e+02	2.348e+02	-2.300e+00	-3.059e+00	8.005e+00
1.900e+03	2.006e+02	1.825e+02	2.348e+02	-2.300e+00	-3.059e+00	8.005e+00
2.000e+03	2.006e+02	1.825e+02	2.348e+02	-2.300e+00	-3.059e+00	8.005e+00
2.100e+03	2.006e+02	1.868e+02	2.348e+02	-2.300e+00	-2.904e+00	8.005e+00
2.200e+03	2.006e+02	1.868e+02	2.348e+02	-2.300e+00	-2.904e+00	8.005e+00
2.300e+03	2.006e+02	1.868e+02	2.348e+02	-2.300e+00	-2.874e+00	8.005e+00
2.400e+03	2.006e+02	1.868e+02	2.348e+02	-2.300e+00	-2.874e+00	8.005e+00
2.500e+03	2.030e+02	1.869e+02	2.348e+02	-2.300e+00	-2.761e+00	8.005e+00
2.600e+03	2.030e+02	1.869e+02	2.348e+02	-2.300e+00	-2.607e+00	8.005e+00
2.700e+03	2.236e+02	1.993e+02	2.865e+02	-2.012e+00	-2.607e+00	8.005e+00
