x	y	progress.rate.q.0.05.0.00.quality.fitness	progress.rate.q.0.05.0.10.quality.fitness	progress.rate.q.0.05.0.25.quality.fitness	progress.rate.q.0.05.0.50.quality.fitness	progress.rate.q.0.05.1.00.quality.fitness
0	0	-3.426e+00	1.101e+02	4.262e+02	4.431e+02	4.432e+02
0	1	nan	4.453e+01	3.402e+02	4.009e+02	4.009e+02
0	2	nan	5.896e+01	3.461e+02	3.807e+02	3.921e+02
0	3	nan	6.452e+01	2.236e+02	3.763e+02	3.999e+02
0	4	nan	8.376e+01	2.988e+02	3.528e+02	3.768e+02
0	5	nan	1.387e+02	2.098e+02	3.328e+02	3.406e+02
0	6	nan	6.489e+01	3.176e+02	3.176e+02	3.176e+02
0	7	nan	1.163e+02	2.017e+02	3.224e+02	3.269e+02
0	8	nan	8.567e+01	3.190e+02	3.482e+02	3.482e+02
0	9	nan	1.444e+02	2.640e+02	2.640e+02	2.656e+02
1	0	nan	1.101e+02	4.262e+02	4.431e+02	4.442e+02
1	1	nan	nan	3.402e+02	4.009e+02	4.009e+02
1	2	nan	5.896e+01	3.461e+02	3.807e+02	3.921e+02
1	3	nan	nan	2.236e+02	3.763e+02	3.999e+02
1	4	nan	8.376e+01	2.771e+02	3.604e+02	3.768e+02
1	5	nan	1.387e+02	2.057e+02	3.328e+02	3.406e+02
1	6	nan	6.122e+01	3.176e+02	3.176e+02	3.176e+02
1	7	nan	1.121e+02	2.742e+02	3.224e+02	3.269e+02
1	8	nan	8.567e+01	2.160e+02	3.190e+02	3.482e+02
1	9	nan	2.217e+02	2.640e+02	2.656e+02	2.776e+02
2	0	nan	1.101e+02	4.262e+02	4.412e+02	4.432e+02
2	1	nan	nan	3.402e+02	4.009e+02	4.009e+02
2	2	nan	nan	3.461e+02	3.807e+02	3.949e+02
2	3	nan	nan	2.236e+02	3.763e+02	3.999e+02
2	4	nan	nan	2.771e+02	3.528e+02	3.768e+02
2	5	nan	1.170e+02	2.069e+02	3.328e+02	3.406e+02
2	6	nan	nan	3.176e+02	3.176e+02	3.176e+02
2	7	nan	nan	2.409e+02	3.224e+02	3.269e+02
2	8	nan	nan	3.190e+02	3.482e+02	3.482e+02
2	9	nan	1.914e+02	2.640e+02	2.656e+02	2.776e+02
3	0	nan	nan	4.262e+02	4.431e+02	4.432e+02
3	1	nan	nan	3.402e+02	4.009e+02	4.009e+02
3	2	nan	nan	3.461e+02	3.807e+02	3.949e+02
3	3	nan	nan	2.236e+02	3.763e+02	3.763e+02
3	4	nan	nan	3.223e+02	3.604e+02	3.768e+02
3	5	nan	nan	2.113e+02	3.328e+02	3.406e+02
3	6	nan	nan	3.176e+02	3.176e+02	3.176e+02
3	7	nan	nan	2.742e+02	3.224e+02	3.269e+02
3	8	nan	nan	3.190e+02	3.402e+02	3.482e+02
3	9	nan	1.930e+02	2.640e+02	2.656e+02	2.776e+02
4	0	nan	nan	4.262e+02	4.431e+02	4.432e+02
4	1	nan	nan	3.402e+02	4.009e+02	4.009e+02
4	2	nan	nan	3.461e+02	3.807e+02	3.949e+02
4	3	nan	nan	2.236e+02	3.763e+02	3.999e+02
4	4	nan	nan	3.336e+02	3.604e+02	3.768e+02
4	5	nan	nan	2.069e+02	3.328e+02	3.406e+02
4	6	nan	nan	3.176e+02	3.176e+02	3.176e+02
4	7	nan	nan	2.017e+02	3.224e+02	3.269e+02
4	8	nan	nan	3.190e+02	3.482e+02	3.482e+02
4	9	nan	nan	2.640e+02	2.647e+02	2.776e+02
5	0	nan	nan	4.262e+02	4.431e+02	4.432e+02
5	1	nan	nan	3.402e+02	4.009e+02	4.009e+02
5	2	nan	nan	3.581e+02	3.807e+02	3.949e+02
5	3	nan	nan	nan	3.763e+02	3.763e+02
5	4	nan	nan	3.336e+02	3.604e+02	3.768e+02
5	5	nan	nan	nan	3.328e+02	3.406e+02
5	6	nan	nan	3.176e+02	3.176e+02	3.176e+02
5	7	nan	nan	nan	3.224e+02	3.224e+02
5	8	nan	nan	3.414e+02	3.525e+02	3.525e+02
5	9	nan	nan	2.640e+02	2.656e+02	2.776e+02
6	0	nan	nan	4.262e+02	4.431e+02	4.432e+02
6	1	nan	nan	3.402e+02	4.009e+02	4.009e+02
6	2	nan	nan	3.461e+02	3.807e+02	3.949e+02
6	3	nan	nan	3.521e+02	3.763e+02	3.999e+02
6	4	nan	nan	3.336e+02	3.604e+02	3.768e+02
6	5	nan	nan	nan	3.328e+02	3.406e+02
6	6	nan	nan	3.176e+02	3.176e+02	3.176e+02
6	7	nan	nan	nan	3.224e+02	3.269e+02
6	8	nan	nan	3.190e+02	3.482e+02	3.482e+02
6	9	nan	nan	nan	nan	nan
7	0	nan	nan	4.262e+02	4.431e+02	4.432e+02
7	1	nan	nan	nan	4.009e+02	4.009e+02
7	2	nan	nan	nan	3.972e+02	3.972e+02
7	3	nan	nan	nan	3.763e+02	3.999e+02
7	4	nan	nan	nan	3.604e+02	3.768e+02
7	5	nan	nan	nan	nan	nan
7	6	nan	nan	nan	nan	nan
7	7	nan	nan	nan	nan	nan
7	8	nan	nan	nan	nan	nan
7	9	nan	nan	nan	nan	nan
8	0	nan	nan	4.262e+02	4.431e+02	4.432e+02
8	1	nan	nan	nan	4.009e+02	4.009e+02
8	2	nan	nan	nan	nan	nan
8	3	nan	nan	nan	nan	3.999e+02
8	4	nan	nan	nan	nan	nan
8	5	nan	nan	nan	nan	nan
8	6	nan	nan	nan	nan	nan
8	7	nan	nan	nan	nan	nan
8	8	nan	nan	nan	nan	nan
8	9	nan	nan	nan	nan	nan
9	0	nan	nan	nan	nan	nan
9	1	nan	nan	nan	nan	nan
9	2	nan	nan	nan	nan	nan
9	3	nan	nan	nan	nan	nan
9	4	nan	nan	nan	nan	nan
9	5	nan	nan	nan	nan	nan
9	6	nan	nan	nan	nan	nan
9	7	nan	nan	nan	nan	nan
9	8	nan	nan	nan	nan	nan
9	9	nan	nan	nan	nan	nan
