x	y	progress.rate.q.0.05.0.00.quality.fitness	progress.rate.q.0.05.0.10.quality.fitness	progress.rate.q.0.05.0.25.quality.fitness	progress.rate.q.0.05.0.50.quality.fitness	progress.rate.q.0.05.1.00.quality.fitness
0	0	-3.720e+00	-1.947e+00	7.208e+00	1.399e+01	1.399e+01
0	1	nan	nan	1.644e+01	3.225e+01	3.225e+01
0	2	nan	nan	2.399e+01	2.399e+01	5.828e+01
0	3	nan	nan	2.666e+01	4.201e+01	4.564e+01
0	4	nan	nan	3.812e+01	4.265e+01	4.319e+01
0	5	nan	nan	nan	4.213e+01	5.157e+01
0	6	nan	nan	nan	nan	nan
0	7	nan	nan	nan	7.434e+01	7.434e+01
0	8	nan	nan	nan	nan	nan
0	9	nan	nan	nan	nan	nan
1	0	nan	nan	nan	nan	nan
1	1	nan	nan	nan	nan	nan
1	2	nan	nan	nan	nan	6.254e+01
1	3	nan	nan	nan	7.800e+01	7.800e+01
1	4	nan	nan	nan	7.052e+01	7.052e+01
1	5	nan	nan	7.293e+01	7.293e+01	7.621e+01
1	6	nan	nan	nan	nan	1.047e+02
1	7	nan	nan	nan	nan	6.814e+01
1	8	nan	nan	nan	nan	7.548e+01
1	9	nan	nan	nan	nan	nan
2	0	nan	nan	nan	nan	nan
2	1	nan	nan	nan	nan	nan
2	2	nan	nan	nan	nan	nan
2	3	nan	nan	nan	nan	nan
2	4	nan	nan	nan	nan	1.491e+02
2	5	nan	nan	nan	nan	1.360e+02
2	6	nan	nan	nan	9.954e+01	9.954e+01
2	7	nan	nan	nan	nan	nan
2	8	nan	nan	nan	nan	1.353e+02
2	9	nan	nan	nan	nan	nan
3	0	nan	nan	nan	nan	nan
3	1	nan	nan	nan	nan	nan
3	2	nan	nan	nan	nan	nan
3	3	nan	nan	nan	nan	nan
3	4	nan	nan	nan	nan	nan
3	5	nan	nan	nan	nan	nan
3	6	nan	nan	nan	nan	nan
3	7	nan	nan	nan	nan	nan
3	8	nan	nan	nan	nan	nan
3	9	nan	nan	nan	nan	1.697e+02
4	0	nan	nan	nan	nan	nan
4	1	nan	nan	nan	nan	nan
4	2	nan	nan	nan	nan	nan
4	3	nan	nan	nan	nan	nan
4	4	nan	nan	nan	nan	nan
4	5	nan	nan	nan	nan	nan
4	6	nan	nan	nan	nan	nan
4	7	nan	nan	nan	nan	nan
4	8	nan	nan	nan	nan	nan
4	9	nan	nan	nan	nan	nan
5	0	nan	nan	nan	nan	nan
5	1	nan	nan	nan	nan	nan
5	2	nan	nan	nan	nan	nan
5	3	nan	nan	nan	nan	nan
5	4	nan	nan	nan	nan	nan
5	5	nan	nan	nan	nan	nan
5	6	nan	nan	nan	nan	nan
5	7	nan	nan	nan	nan	nan
5	8	nan	nan	nan	nan	nan
5	9	nan	nan	nan	nan	nan
6	0	nan	nan	nan	nan	nan
6	1	nan	nan	nan	nan	nan
6	2	nan	nan	nan	nan	nan
6	3	nan	nan	nan	nan	nan
6	4	nan	nan	nan	nan	nan
6	5	nan	nan	nan	nan	nan
6	6	nan	nan	nan	nan	nan
6	7	nan	nan	nan	nan	nan
6	8	nan	nan	nan	nan	nan
6	9	nan	nan	nan	nan	nan
7	0	nan	nan	nan	nan	nan
7	1	nan	nan	nan	nan	nan
7	2	nan	nan	nan	nan	nan
7	3	nan	nan	nan	nan	nan
7	4	nan	nan	nan	nan	nan
7	5	nan	nan	nan	nan	nan
7	6	nan	nan	nan	nan	nan
7	7	nan	nan	nan	nan	nan
7	8	nan	nan	nan	nan	nan
7	9	nan	nan	nan	nan	nan
8	0	nan	nan	nan	nan	nan
8	1	nan	nan	nan	nan	nan
8	2	nan	nan	nan	nan	nan
8	3	nan	nan	nan	nan	nan
8	4	nan	nan	nan	nan	nan
8	5	nan	nan	nan	nan	nan
8	6	nan	nan	nan	nan	nan
8	7	nan	nan	nan	nan	nan
8	8	nan	nan	nan	nan	nan
8	9	nan	nan	nan	nan	nan
9	0	nan	nan	nan	nan	nan
9	1	nan	nan	nan	nan	nan
9	2	nan	nan	nan	nan	nan
9	3	nan	nan	nan	nan	nan
9	4	nan	nan	nan	nan	nan
9	5	nan	nan	nan	nan	nan
9	6	nan	nan	nan	nan	nan
9	7	nan	nan	nan	nan	nan
9	8	nan	nan	nan	nan	nan
9	9	nan	nan	nan	nan	nan
