x	y	progress.rate.q.0.05.0.00.quality.fitness	progress.rate.q.0.05.0.10.quality.fitness	progress.rate.q.0.05.0.25.quality.fitness	progress.rate.q.0.05.0.50.quality.fitness	progress.rate.q.0.05.1.00.quality.fitness
0	0	1.183e+01	5.167e+01	8.382e+01	1.025e+02	1.090e+02
0	1	1.040e+01	4.781e+01	8.750e+01	1.505e+02	1.505e+02
0	2	nan	5.247e+01	9.200e+01	1.321e+02	1.383e+02
0	3	nan	7.834e+01	1.090e+02	1.413e+02	1.413e+02
0	4	nan	7.470e+01	1.081e+02	1.529e+02	1.697e+02
0	5	nan	7.522e+01	9.837e+01	1.198e+02	1.590e+02
0	6	nan	9.588e+01	1.132e+02	1.615e+02	1.615e+02
0	7	nan	7.116e+01	1.212e+02	1.212e+02	1.651e+02
0	8	nan	nan	1.309e+02	1.324e+02	1.407e+02
0	9	nan	nan	nan	nan	1.479e+02
1	0	nan	7.325e+01	1.147e+02	1.147e+02	1.333e+02
1	1	nan	9.700e+01	1.343e+02	1.606e+02	1.736e+02
1	2	nan	9.650e+01	1.376e+02	1.376e+02	1.904e+02
1	3	nan	9.565e+01	1.514e+02	1.742e+02	1.742e+02
1	4	nan	9.523e+01	1.468e+02	1.911e+02	2.095e+02
1	5	nan	9.344e+01	1.411e+02	1.903e+02	2.138e+02
1	6	nan	1.101e+02	1.596e+02	1.629e+02	1.869e+02
1	7	nan	8.046e+01	1.484e+02	1.572e+02	2.092e+02
1	8	nan	8.071e+01	1.362e+02	1.623e+02	2.092e+02
1	9	nan	nan	8.981e+01	1.595e+02	1.898e+02
2	0	nan	1.227e+02	1.529e+02	1.529e+02	1.713e+02
2	1	nan	1.318e+02	1.882e+02	2.294e+02	2.294e+02
2	2	nan	1.679e+02	1.851e+02	2.097e+02	2.630e+02
2	3	nan	1.431e+02	1.646e+02	1.858e+02	2.330e+02
2	4	nan	1.441e+02	1.760e+02	2.115e+02	2.437e+02
2	5	nan	1.436e+02	1.879e+02	2.128e+02	2.575e+02
2	6	nan	1.523e+02	1.879e+02	2.320e+02	2.366e+02
2	7	nan	1.477e+02	1.788e+02	2.429e+02	2.590e+02
2	8	nan	1.376e+02	1.963e+02	2.181e+02	2.472e+02
2	9	nan	nan	1.930e+02	2.073e+02	2.385e+02
3	0	nan	nan	2.129e+02	2.195e+02	2.339e+02
3	1	nan	1.892e+02	2.036e+02	2.434e+02	2.716e+02
3	2	nan	1.930e+02	2.200e+02	2.428e+02	2.715e+02
3	3	nan	2.099e+02	2.197e+02	2.552e+02	2.809e+02
3	4	nan	1.757e+02	2.395e+02	2.395e+02	2.798e+02
3	5	nan	1.975e+02	2.289e+02	2.748e+02	3.006e+02
3	6	nan	1.847e+02	2.457e+02	2.500e+02	2.697e+02
3	7	nan	1.859e+02	2.242e+02	2.665e+02	2.823e+02
3	8	nan	1.779e+02	2.262e+02	2.626e+02	2.769e+02
3	9	nan	1.640e+02	2.215e+02	2.442e+02	2.619e+02
4	0	nan	2.118e+02	2.666e+02	2.865e+02	3.245e+02
4	1	nan	2.351e+02	2.602e+02	2.819e+02	3.295e+02
4	2	nan	2.615e+02	2.848e+02	2.848e+02	3.487e+02
4	3	nan	2.710e+02	2.962e+02	3.295e+02	3.295e+02
4	4	nan	2.446e+02	2.630e+02	3.199e+02	3.199e+02
4	5	nan	2.221e+02	2.955e+02	3.090e+02	3.114e+02
