n.evals.q.1.0.	nav.lives._.me.hebbian.network.best.quality.inconsistency	nav.lives._.me.hebbian.network.best.quality.inconsistency.min	nav.lives._.me.hebbian.network.best.quality.inconsistency.max	nav.lives._.me.hebbian.layer.best.quality.inconsistency	nav.lives._.me.hebbian.layer.best.quality.inconsistency.min	nav.lives._.me.hebbian.layer.best.quality.inconsistency.max	nav.lives._.me.hebbian.neuron.best.quality.inconsistency	nav.lives._.me.hebbian.neuron.best.quality.inconsistency.min	nav.lives._.me.hebbian.neuron.best.quality.inconsistency.max	nav.lives._.me.hebbian.synapse.best.quality.inconsistency	nav.lives._.me.hebbian.synapse.best.quality.inconsistency.min	nav.lives._.me.hebbian.synapse.best.quality.inconsistency.max	nav.lives._.me.freeForm.best.quality.inconsistency	nav.lives._.me.freeForm.best.quality.inconsistency.min	nav.lives._.me.freeForm.best.quality.inconsistency.max
1.000e+02	6.242e-07	3.084e-07	1.024e-06	3.639e-07	2.576e-07	4.191e-07	5.088e-06	4.200e-06	6.071e-06	2.554e-06	2.176e-06	2.662e-06	1.180e-05	1.025e-06	5.207e-05
2.000e+02	8.338e-07	5.931e-07	1.171e-06	4.685e-07	3.639e-07	6.689e-07	1.831e-05	1.554e-05	2.252e-05	6.585e-06	5.830e-06	6.941e-06	6.434e-06	1.025e-06	3.637e-05
3.000e+02	1.167e-06	7.363e-07	1.207e-06	4.948e-07	3.473e-07	1.646e-06	2.992e-05	2.850e-05	3.147e-05	1.179e-05	1.118e-05	1.266e-05	4.837e-05	1.113e-05	1.106e-04
4.000e+02	1.207e-06	9.503e-07	1.472e-06	1.400e-06	4.191e-07	1.677e-06	3.560e-05	3.164e-05	3.739e-05	1.903e-05	1.759e-05	1.985e-05	4.904e-05	2.741e-05	1.047e-04
5.000e+02	1.466e-06	9.503e-07	1.979e-06	1.400e-06	4.191e-07	1.677e-06	3.752e-05	3.614e-05	3.837e-05	2.468e-05	2.247e-05	2.552e-05	3.997e-05	2.741e-05	4.838e-05
6.000e+02	9.674e-07	7.975e-07	1.466e-06	1.402e-06	4.191e-07	1.734e-06	3.964e-05	3.717e-05	4.147e-05	2.801e-05	2.615e-05	2.902e-05	3.627e-05	1.803e-05	4.707e-05
7.000e+02	9.674e-07	7.975e-07	1.839e-06	1.597e-06	4.666e-07	2.049e-06	4.121e-05	3.795e-05	4.379e-05	3.252e-05	3.052e-05	3.287e-05	3.637e-05	2.741e-05	4.708e-05
8.000e+02	1.501e-06	8.996e-07	1.839e-06	1.421e-06	4.666e-07	3.403e-06	4.379e-05	4.053e-05	4.466e-05	3.685e-05	3.349e-05	3.772e-05	3.637e-05	2.725e-05	4.838e-05
9.000e+02	1.839e-06	8.996e-07	2.154e-06	1.646e-06	4.666e-07	3.403e-06	4.381e-05	4.136e-05	4.528e-05	3.791e-05	3.643e-05	4.076e-05	3.627e-05	2.725e-05	4.838e-05
1.000e+03	1.839e-06	8.996e-07	2.282e-06	1.901e-06	4.666e-07	3.403e-06	4.813e-05	4.163e-05	4.927e-05	3.951e-05	3.766e-05	4.164e-05	4.711e-05	2.741e-05	4.899e-05
1.100e+03	1.839e-06	8.996e-07	2.282e-06	1.901e-06	4.666e-07	3.403e-06	4.680e-05	4.493e-05	4.962e-05	4.082e-05	3.902e-05	4.397e-05	4.711e-05	2.741e-05	4.866e-05
1.200e+03	1.839e-06	8.996e-07	2.282e-06	1.901e-06	4.666e-07	3.403e-06	5.086e-05	4.608e-05	5.459e-05	4.292e-05	4.242e-05	4.501e-05	4.711e-05	2.931e-05	4.864e-05
1.300e+03	1.839e-06	1.426e-06	2.282e-06	1.901e-06	1.074e-06	4.794e-06	5.183e-05	4.908e-05	5.634e-05	4.592e-05	4.271e-05	4.647e-05	4.717e-05	3.598e-05	4.864e-05
1.400e+03	1.839e-06	1.426e-06	2.282e-06	1.901e-06	1.074e-06	5.494e-06	5.574e-05	4.917e-05	5.707e-05	4.710e-05	4.511e-05	4.901e-05	4.717e-05	3.598e-05	4.838e-05
1.500e+03	2.154e-06	1.426e-06	2.417e-06	1.901e-06	1.074e-06	5.494e-06	5.821e-05	4.841e-05	6.018e-05	4.751e-05	4.587e-05	5.047e-05	4.717e-05	3.598e-05	4.838e-05
1.600e+03	2.154e-06	1.426e-06	2.417e-06	1.901e-06	1.074e-06	6.299e-06	5.894e-05	5.476e-05	6.058e-05	4.797e-05	4.501e-05	5.048e-05	4.717e-05	3.598e-05	4.838e-05
1.700e+03	2.254e-06	1.607e-06	2.417e-06	1.901e-06	1.074e-06	6.299e-06	6.112e-05	5.742e-05	6.428e-05	5.284e-05	4.829e-05	5.431e-05	4.739e-05	3.598e-05	4.986e-05
1.800e+03	2.254e-06	1.607e-06	2.417e-06	4.670e-06	1.074e-06	6.299e-06	5.542e-05	5.359e-05	6.453e-05	5.291e-05	4.918e-05	5.532e-05	4.739e-05	3.598e-05	4.986e-05
1.900e+03	2.254e-06	1.607e-06	2.630e-06	4.670e-06	1.074e-06	6.299e-06	6.578e-05	5.765e-05	7.362e-05	5.339e-05	4.727e-05	5.673e-05	4.717e-05	3.598e-05	4.838e-05
2.000e+03	2.417e-06	1.607e-06	2.790e-06	4.670e-06	1.402e-06	6.299e-06	6.012e-05	5.569e-05	6.483e-05	5.404e-05	5.191e-05	5.849e-05	4.484e-05	3.106e-05	4.838e-05
2.100e+03	2.417e-06	1.607e-06	2.790e-06	4.670e-06	1.402e-06	6.321e-06	6.255e-05	4.979e-05	6.965e-05	5.741e-05	5.451e-05	5.934e-05	4.484e-05	3.598e-05	4.838e-05
2.200e+03	2.417e-06	1.607e-06	4.124e-06	4.670e-06	1.402e-06	6.321e-06	6.531e-05	5.794e-05	6.619e-05	5.902e-05	5.423e-05	6.062e-05	4.538e-05	3.598e-05	4.838e-05
2.300e+03	2.417e-06	1.607e-06	4.124e-06	4.670e-06	1.402e-06	6.321e-06	5.877e-05	5.090e-05	6.467e-05	6.292e-05	5.918e-05	6.532e-05	4.538e-05	3.598e-05	4.838e-05
2.400e+03	2.417e-06	1.607e-06	4.124e-06	4.670e-06	1.402e-06	6.321e-06	6.932e-05	5.877e-05	7.182e-05	6.348e-05	6.144e-05	6.577e-05	4.538e-05	3.598e-05	4.838e-05
2.500e+03	2.417e-06	1.607e-06	4.124e-06	6.299e-06	1.402e-06	9.251e-06	6.270e-05	5.877e-05	6.652e-05	6.817e-05	6.457e-05	7.016e-05	4.538e-05	3.624e-05	4.838e-05
2.600e+03	2.417e-06	1.839e-06	2.790e-06	6.299e-06	1.402e-06	9.251e-06	7.177e-05	5.877e-05	7.357e-05	6.769e-05	6.491e-05	6.975e-05	4.538e-05	3.624e-05	4.838e-05
2.700e+03	2.417e-06	1.839e-06	2.790e-06	6.299e-06	1.402e-06	9.251e-06	7.132e-05	5.877e-05	7.357e-05	6.833e-05	6.640e-05	7.183e-05	4.538e-05	3.598e-05	4.838e-05
2.800e+03	2.417e-06	1.839e-06	6.259e-06	6.299e-06	1.402e-06	9.251e-06	6.318e-05	5.877e-05	6.522e-05	6.811e-05	6.230e-05	7.661e-05	4.538e-05	3.598e-05	4.838e-05
2.900e+03	2.417e-06	1.839e-06	8.436e-06	6.299e-06	1.402e-06	9.251e-06	6.757e-05	5.877e-05	7.047e-05	6.819e-05	6.366e-05	7.085e-05	4.484e-05	3.598e-05	4.715e-05
