n.evals.q.1.0.	nav.lives._.me.hebbian.network.best.quality.increase	nav.lives._.me.hebbian.network.best.quality.increase.min	nav.lives._.me.hebbian.network.best.quality.increase.max	nav.lives._.me.hebbian.layer.best.quality.increase	nav.lives._.me.hebbian.layer.best.quality.increase.min	nav.lives._.me.hebbian.layer.best.quality.increase.max	nav.lives._.me.hebbian.neuron.best.quality.increase	nav.lives._.me.hebbian.neuron.best.quality.increase.min	nav.lives._.me.hebbian.neuron.best.quality.increase.max	nav.lives._.me.hebbian.synapse.best.quality.increase	nav.lives._.me.hebbian.synapse.best.quality.increase.min	nav.lives._.me.hebbian.synapse.best.quality.increase.max	nav.lives._.me.freeForm.best.quality.increase	nav.lives._.me.freeForm.best.quality.increase.min	nav.lives._.me.freeForm.best.quality.increase.max
1.000e+02	3.130e-06	2.226e-06	3.486e-06	2.993e-06	2.545e-06	3.911e-06	3.109e-05	2.374e-05	3.323e-05	1.726e-05	1.461e-05	1.770e-05	4.260e-05	2.268e-06	1.501e-04
2.000e+02	5.683e-06	3.045e-06	5.891e-06	2.993e-06	2.826e-06	3.911e-06	1.097e-04	9.351e-05	1.409e-04	4.672e-05	4.022e-05	4.720e-05	2.752e-04	3.583e-05	3.831e-04
3.000e+02	5.891e-06	3.701e-06	9.588e-06	3.872e-06	3.390e-06	6.765e-06	2.338e-04	2.028e-04	2.725e-04	8.134e-05	7.942e-05	8.754e-05	3.262e-04	8.544e-05	4.415e-04
4.000e+02	7.192e-06	5.683e-06	9.588e-06	6.765e-06	4.005e-06	1.168e-05	3.288e-04	2.952e-04	3.614e-04	1.396e-04	1.270e-04	1.444e-04	4.415e-04	2.440e-04	1.218e-03
5.000e+02	7.192e-06	5.683e-06	1.040e-05	6.765e-06	4.005e-06	1.168e-05	4.016e-04	3.771e-04	4.110e-04	1.870e-04	1.775e-04	1.913e-04	7.876e-04	3.852e-04	1.350e-03
6.000e+02	7.192e-06	5.683e-06	1.040e-05	7.767e-06	4.005e-06	1.219e-05	4.532e-04	4.314e-04	4.652e-04	2.349e-04	2.256e-04	2.386e-04	7.876e-04	4.076e-04	1.350e-03
7.000e+02	7.192e-06	5.683e-06	1.040e-05	1.168e-05	4.281e-06	1.406e-05	4.932e-04	4.777e-04	5.032e-04	2.852e-04	2.754e-04	2.972e-04	7.876e-04	5.302e-04	1.350e-03
8.000e+02	7.192e-06	5.683e-06	1.040e-05	1.168e-05	5.321e-06	1.640e-05	5.389e-04	5.037e-04	5.473e-04	3.360e-04	3.164e-04	3.456e-04	8.821e-04	5.302e-04	1.350e-03
9.000e+02	1.040e-05	5.683e-06	1.457e-05	1.168e-05	5.321e-06	1.640e-05	5.786e-04	5.252e-04	5.838e-04	3.740e-04	3.547e-04	3.850e-04	8.821e-04	6.164e-04	1.350e-03
1.000e+03	1.270e-05	5.683e-06	1.532e-05	1.219e-05	5.321e-06	1.640e-05	6.203e-04	5.534e-04	6.235e-04	4.104e-04	3.864e-04	4.219e-04	8.821e-04	6.164e-04	1.350e-03
1.100e+03	1.270e-05	5.683e-06	1.532e-05	1.219e-05	5.321e-06	1.640e-05	6.356e-04	6.058e-04	6.444e-04	4.486e-04	4.251e-04	4.579e-04	8.843e-04	6.164e-04	1.350e-03
1.200e+03	1.270e-05	5.683e-06	1.532e-05	1.219e-05	5.321e-06	1.640e-05	6.531e-04	6.262e-04	6.768e-04	4.851e-04	4.559e-04	4.980e-04	9.186e-04	6.398e-04	1.350e-03
1.300e+03	1.271e-05	7.051e-06	1.532e-05	1.219e-05	7.861e-06	2.150e-05	6.635e-04	6.588e-04	7.213e-04	5.066e-04	4.863e-04	5.343e-04	9.651e-04	6.398e-04	1.350e-03
1.400e+03	1.271e-05	7.051e-06	1.532e-05	1.219e-05	7.861e-06	2.540e-05	7.030e-04	6.802e-04	7.420e-04	5.474e-04	5.145e-04	5.582e-04	9.651e-04	6.398e-04	1.350e-03
