n.evals.q.1.0.	nav.lives._.me.hebbian.network.best.quality.maturePerformance	nav.lives._.me.hebbian.network.best.quality.maturePerformance.min	nav.lives._.me.hebbian.network.best.quality.maturePerformance.max	nav.lives._.me.hebbian.layer.best.quality.maturePerformance	nav.lives._.me.hebbian.layer.best.quality.maturePerformance.min	nav.lives._.me.hebbian.layer.best.quality.maturePerformance.max	nav.lives._.me.hebbian.neuron.best.quality.maturePerformance	nav.lives._.me.hebbian.neuron.best.quality.maturePerformance.min	nav.lives._.me.hebbian.neuron.best.quality.maturePerformance.max	nav.lives._.me.hebbian.synapse.best.quality.maturePerformance	nav.lives._.me.hebbian.synapse.best.quality.maturePerformance.min	nav.lives._.me.hebbian.synapse.best.quality.maturePerformance.max	nav.lives._.me.freeForm.best.quality.maturePerformance	nav.lives._.me.freeForm.best.quality.maturePerformance.min	nav.lives._.me.freeForm.best.quality.maturePerformance.max
1.000e+02	-6.197e-03	-6.198e-03	-6.197e-03	-6.197e-03	-6.197e-03	-6.196e-03	-6.169e-03	-6.176e-03	-6.167e-03	-6.183e-03	-6.185e-03	-6.182e-03	-6.157e-03	-6.198e-03	-6.050e-03
2.000e+02	-6.194e-03	-6.197e-03	-6.194e-03	-6.197e-03	-6.197e-03	-6.196e-03	-6.090e-03	-6.106e-03	-6.059e-03	-6.153e-03	-6.160e-03	-6.153e-03	-5.925e-03	-6.164e-03	-5.817e-03
3.000e+02	-6.194e-03	-6.196e-03	-6.190e-03	-6.196e-03	-6.197e-03	-6.193e-03	-5.966e-03	-5.997e-03	-5.927e-03	-6.119e-03	-6.121e-03	-6.112e-03	-5.874e-03	-6.115e-03	-5.759e-03
4.000e+02	-6.193e-03	-6.194e-03	-6.190e-03	-6.193e-03	-6.196e-03	-6.188e-03	-5.871e-03	-5.905e-03	-5.839e-03	-6.060e-03	-6.073e-03	-6.056e-03	-5.759e-03	-5.956e-03	-4.982e-03
5.000e+02	-6.193e-03	-6.194e-03	-6.190e-03	-6.193e-03	-6.196e-03	-6.188e-03	-5.798e-03	-5.823e-03	-5.789e-03	-6.013e-03	-6.023e-03	-6.009e-03	-5.412e-03	-5.815e-03	-4.850e-03
6.000e+02	-6.193e-03	-6.194e-03	-6.190e-03	-6.192e-03	-6.196e-03	-6.188e-03	-5.747e-03	-5.769e-03	-5.735e-03	-5.965e-03	-5.974e-03	-5.961e-03	-5.412e-03	-5.792e-03	-4.850e-03
7.000e+02	-6.193e-03	-6.194e-03	-6.190e-03	-6.188e-03	-6.196e-03	-6.186e-03	-5.707e-03	-5.722e-03	-5.697e-03	-5.915e-03	-5.925e-03	-5.903e-03	-5.412e-03	-5.670e-03	-4.850e-03
8.000e+02	-6.193e-03	-6.194e-03	-6.190e-03	-6.188e-03	-6.195e-03	-6.184e-03	-5.661e-03	-5.696e-03	-5.653e-03	-5.864e-03	-5.884e-03	-5.854e-03	-5.318e-03	-5.670e-03	-4.850e-03
9.000e+02	-6.190e-03	-6.194e-03	-6.185e-03	-6.188e-03	-6.195e-03	-6.184e-03	-5.621e-03	-5.675e-03	-5.616e-03	-5.826e-03	-5.845e-03	-5.815e-03	-5.318e-03	-5.584e-03	-4.850e-03
1.000e+03	-6.187e-03	-6.194e-03	-6.185e-03	-6.188e-03	-6.195e-03	-6.184e-03	-5.580e-03	-5.647e-03	-5.577e-03	-5.790e-03	-5.814e-03	-5.778e-03	-5.318e-03	-5.584e-03	-4.850e-03
1.100e+03	-6.187e-03	-6.194e-03	-6.185e-03	-6.188e-03	-6.195e-03	-6.184e-03	-5.564e-03	-5.594e-03	-5.556e-03	-5.751e-03	-5.775e-03	-5.742e-03	-5.316e-03	-5.584e-03	-4.850e-03
1.200e+03	-6.187e-03	-6.194e-03	-6.185e-03	-6.188e-03	-6.195e-03	-6.184e-03	-5.547e-03	-5.574e-03	-5.523e-03	-5.715e-03	-5.744e-03	-5.702e-03	-5.281e-03	-5.560e-03	-4.850e-03
