n.evals.q.1.0.	nav.lives._.me.hebbian.neuron.best.quality.inconsistency	nav.lives._.me.hebbian.neuron.best.quality.inconsistency.min	nav.lives._.me.hebbian.neuron.best.quality.inconsistency.max	nav.lives._.me.freeForm.best.quality.inconsistency	nav.lives._.me.freeForm.best.quality.inconsistency.min	nav.lives._.me.freeForm.best.quality.inconsistency.max
1.000e+02	1.253e-01	1.134e-03	2.097e-01	5.432e-06	2.890e-06	9.580e-06
2.000e+02	2.420e-01	2.097e-01	4.711e-01	5.832e-04	2.263e-04	6.686e-04
3.000e+02	3.394e-04	3.037e-04	2.414e-01	9.417e-04	6.957e-04	4.011e-03
4.000e+02	3.394e-04	3.037e-04	4.202e-01	1.295e-03	6.686e-04	1.946e-01
5.000e+02	3.394e-04	3.037e-04	2.003e-01	1.295e-03	1.264e-03	2.366e-01
6.000e+02	3.445e-04	3.394e-04	3.439e-01	1.295e-03	6.326e-04	2.366e-01
7.000e+02	3.445e-04	3.394e-04	3.439e-01	1.295e-03	1.048e-03	2.366e-01
8.000e+02	3.445e-04	3.394e-04	3.439e-01	1.295e-03	1.048e-03	2.331e-03
9.000e+02	3.445e-04	3.394e-04	3.439e-01	2.331e-03	1.295e-03	6.467e-02
1.000e+03	3.445e-04	3.394e-04	3.439e-01	2.331e-03	1.295e-03	3.574e-01
1.100e+03	3.439e-01	3.445e-04	4.112e-01	2.331e-03	1.295e-03	3.574e-01
1.200e+03	3.439e-01	3.445e-04	4.112e-01	2.331e-03	1.295e-03	1.253e-01
1.300e+03	3.439e-01	3.445e-04	4.112e-01	2.331e-03	1.295e-03	1.253e-01
1.400e+03	3.439e-01	3.445e-04	4.112e-01	1.295e-03	6.114e-04	1.253e-01
1.500e+03	3.439e-01	2.415e-01	4.112e-01	8.049e-04	6.114e-04	3.872e-01
1.600e+03	3.439e-01	2.415e-01	4.112e-01	6.413e-02	8.049e-04	3.872e-01
1.700e+03	3.439e-01	2.415e-01	4.112e-01	6.413e-02	7.598e-04	3.872e-01
1.800e+03	3.439e-01	2.415e-01	4.112e-01	6.413e-02	7.598e-04	3.872e-01
1.900e+03	3.439e-01	2.415e-01	4.112e-01	6.413e-02	7.598e-04	3.872e-01
2.000e+03	3.439e-01	2.415e-01	4.112e-01	6.413e-02	7.598e-04	3.872e-01
2.100e+03	3.439e-01	2.415e-01	4.112e-01	6.413e-02	7.598e-04	3.872e-01
2.200e+03	3.439e-01	2.415e-01	4.112e-01	6.413e-02	7.598e-04	3.872e-01
2.300e+03	3.439e-01	2.415e-01	4.112e-01	6.413e-02	1.036e-03	3.872e-01
2.400e+03	2.415e-01	4.389e-04	3.439e-01	6.413e-02	1.036e-03	3.872e-01
2.500e+03	2.415e-01	4.389e-04	3.439e-01	6.413e-02	1.036e-03	3.872e-01
2.600e+03	2.415e-01	4.389e-04	3.439e-01	6.413e-02	1.036e-03	3.872e-01
2.700e+03	2.415e-01	4.389e-04	3.439e-01	6.413e-02	1.036e-03	3.872e-01
2.800e+03	2.415e-01	4.389e-04	3.439e-01	6.413e-02	1.036e-03	3.872e-01
2.900e+03	2.415e-01	4.389e-04	3.439e-01	6.413e-02	1.036e-03	3.872e-01
3.000e+03	2.415e-01	4.389e-04	3.439e-01	6.413e-02	1.036e-03	3.872e-01
3.100e+03	4.389e-04	1.960e-04	2.415e-01	6.413e-02	1.036e-03	3.872e-01
3.200e+03	4.389e-04	1.960e-04	2.415e-01	6.413e-02	1.036e-03	3.872e-01
3.300e+03	4.389e-04	1.960e-04	2.415e-01	6.413e-02	1.036e-03	3.212e-01
