n.evals.q.1.0.	nav.lives._.me.hebbian.neuron.best.quality.increase	nav.lives._.me.hebbian.neuron.best.quality.increase.min	nav.lives._.me.hebbian.neuron.best.quality.increase.max	nav.lives._.me.freeForm.best.quality.increase	nav.lives._.me.freeForm.best.quality.increase.min	nav.lives._.me.freeForm.best.quality.increase.max
1.000e+02	1.084e-01	2.838e-02	1.714e-01	3.549e-05	3.450e-05	9.747e-05
2.000e+02	3.392e-01	1.882e-01	3.721e-01	2.283e-03	1.816e-03	2.584e-03
3.000e+02	5.058e-01	1.894e-01	5.059e-01	2.968e-03	2.584e-03	3.789e-03
4.000e+02	5.058e-01	3.227e-01	5.061e-01	9.531e-02	6.216e-03	1.368e-01
5.000e+02	5.058e-01	4.045e-01	5.061e-01	1.697e-01	6.216e-03	3.639e-01
6.000e+02	7.549e-01	5.058e-01	8.647e-01	1.697e-01	6.216e-03	3.639e-01
7.000e+02	7.549e-01	5.058e-01	8.647e-01	1.697e-01	6.216e-03	3.639e-01
8.000e+02	7.549e-01	5.058e-01	8.647e-01	3.639e-01	6.216e-03	4.999e-01
9.000e+02	7.549e-01	5.058e-01	8.647e-01	3.639e-01	1.211e-02	4.999e-01
1.000e+03	7.549e-01	5.058e-01	8.647e-01	3.639e-01	1.562e-01	4.999e-01
1.100e+03	7.549e-01	5.325e-01	8.647e-01	3.639e-01	1.562e-01	4.999e-01
1.200e+03	7.549e-01	5.325e-01	8.647e-01	4.999e-01	4.704e-01	5.035e-01
1.300e+03	7.549e-01	5.325e-01	8.647e-01	4.999e-01	4.704e-01	5.035e-01
1.400e+03	7.549e-01	5.325e-01	8.647e-01	4.999e-01	4.704e-01	5.041e-01
1.500e+03	7.549e-01	6.889e-01	8.647e-01	5.041e-01	5.022e-01	6.468e-01
1.600e+03	7.549e-01	6.889e-01	8.647e-01	5.041e-01	5.022e-01	6.468e-01
1.700e+03	7.549e-01	6.889e-01	8.647e-01	7.396e-01	5.041e-01	8.234e-01
1.800e+03	7.549e-01	6.889e-01	8.647e-01	7.396e-01	5.041e-01	8.234e-01
1.900e+03	7.549e-01	6.889e-01	8.647e-01	7.396e-01	5.041e-01	8.234e-01
2.000e+03	7.549e-01	6.889e-01	8.647e-01	7.396e-01	5.041e-01	8.234e-01
2.100e+03	7.549e-01	6.889e-01	8.647e-01	7.396e-01	5.041e-01	8.234e-01
2.200e+03	7.549e-01	6.889e-01	8.647e-01	7.396e-01	5.041e-01	8.234e-01
2.300e+03	7.549e-01	6.889e-01	8.647e-01	7.396e-01	5.041e-01	8.234e-01
2.400e+03	8.647e-01	7.549e-01	1.006e+00	7.396e-01	5.041e-01	8.234e-01
2.500e+03	8.647e-01	7.549e-01	1.006e+00	7.396e-01	5.041e-01	8.234e-01
2.600e+03	8.647e-01	7.549e-01	1.006e+00	7.396e-01	5.041e-01	8.234e-01
2.700e+03	8.647e-01	7.549e-01	1.006e+00	7.396e-01	5.041e-01	8.234e-01
2.800e+03	8.647e-01	7.549e-01	1.006e+00	7.396e-01	5.041e-01	8.234e-01
2.900e+03	8.647e-01	7.549e-01	1.006e+00	7.396e-01	5.041e-01	8.234e-01
3.000e+03	8.647e-01	7.549e-01	1.006e+00	7.396e-01	5.041e-01	8.234e-01
3.100e+03	1.006e+00	7.549e-01	1.006e+00	7.396e-01	5.041e-01	8.234e-01
3.200e+03	1.006e+00	7.549e-01	1.006e+00	7.396e-01	5.041e-01	8.234e-01
3.300e+03	1.006e+00	7.549e-01	1.006e+00	8.234e-01	5.041e-01	8.900e-01
3.400e+03	1.006e+00	1.006e+00	1.006e+00	8.234e-01	5.041e-01	8.900e-01
3.500e+03	1.006e+00	1.006e+00	1.006e+00	8.234e-01	5.041e-01	8.900e-01
3.600e+03	1.006e+00	1.006e+00	1.006e+00	8.234e-01	5.041e-01	8.900e-01
3.700e+03	1.006e+00	1.006e+00	1.006e+00	8.234e-01	5.041e-01	8.900e-01
3.800e+03	1.006e+00	1.006e+00	1.006e+00	8.234e-01	5.041e-01	8.900e-01
3.900e+03	1.006e+00	1.006e+00	1.007e+00	8.234e-01	5.041e-01	8.900e-01
4.000e+03	1.006e+00	1.006e+00	1.007e+00	8.234e-01	5.041e-01	8.900e-01
4.100e+03	1.006e+00	1.006e+00	1.007e+00	8.234e-01	5.041e-01	8.900e-01
4.200e+03	1.006e+00	1.006e+00	1.007e+00	8.234e-01	5.041e-01	8.900e-01
4.300e+03	1.006e+00	1.006e+00	1.007e+00	8.234e-01	5.041e-01	8.900e-01
4.400e+03	1.006e+00	1.006e+00	1.007e+00	8.234e-01	5.041e-01	8.900e-01
4.500e+03	1.006e+00	1.006e+00	1.007e+00	8.234e-01	5.041e-01	8.900e-01
4.600e+03	1.006e+00	1.006e+00	1.007e+00	8.234e-01	5.041e-01	8.900e-01
4.700e+03	1.006e+00	1.006e+00	1.007e+00	8.467e-01	8.234e-01	8.900e-01
4.800e+03	1.006e+00	1.006e+00	1.007e+00	8.467e-01	8.234e-01	8.900e-01
4.900e+03	1.006e+00	1.006e+00	1.007e+00	8.467e-01	8.234e-01	8.900e-01
5.000e+03	1.006e+00	1.006e+00	1.007e+00	8.467e-01	8.234e-01	8.900e-01
5.100e+03	1.006e+00	1.006e+00	1.007e+00	8.467e-01	8.234e-01	8.900e-01
5.200e+03	1.006e+00	1.006e+00	1.007e+00	8.467e-01	8.234e-01	8.900e-01
5.300e+03	1.006e+00	1.006e+00	1.007e+00	8.467e-01	8.234e-01	8.900e-01
5.400e+03	1.007e+00	1.006e+00	1.007e+00	8.467e-01	8.234e-01	8.900e-01
5.500e+03	1.007e+00	1.006e+00	1.007e+00	8.467e-01	8.234e-01	8.900e-01
5.600e+03	1.007e+00	1.006e+00	1.007e+00	8.467e-01	8.234e-01	8.900e-01
5.700e+03	1.007e+00	1.006e+00	1.007e+00	8.467e-01	8.234e-01	8.900e-01
5.800e+03	1.007e+00	1.006e+00	1.007e+00	8.467e-01	8.234e-01	8.900e-01
5.900e+03	1.007e+00	1.007e+00	1.007e+00	8.467e-01	8.234e-01	8.900e-01
6.000e+03	1.007e+00	1.007e+00	1.007e+00	8.467e-01	8.234e-01	8.900e-01
6.100e+03	1.007e+00	1.007e+00	1.007e+00	8.467e-01	8.234e-01	8.900e-01
6.200e+03	1.007e+00	1.007e+00	1.007e+00	8.467e-01	8.234e-01	8.900e-01
6.300e+03	1.007e+00	1.007e+00	1.007e+00	8.467e-01	8.234e-01	8.900e-01
6.400e+03	1.007e+00	1.007e+00	1.007e+00	8.467e-01	8.234e-01	8.900e-01
6.500e+03	1.007e+00	1.007e+00	1.007e+00	8.467e-01	8.234e-01	8.900e-01
6.600e+03	1.007e+00	1.007e+00	1.007e+00	8.467e-01	8.234e-01	8.900e-01
6.700e+03	1.007e+00	1.007e+00	1.007e+00	8.467e-01	8.234e-01	8.900e-01
6.800e+03	1.007e+00	1.007e+00	1.007e+00	8.467e-01	8.234e-01	8.900e-01
6.900e+03	1.007e+00	1.007e+00	1.007e+00	8.467e-01	8.234e-01	8.900e-01
7.000e+03	1.007e+00	1.007e+00	1.007e+00	8.467e-01	8.234e-01	8.900e-01
7.100e+03	1.007e+00	1.007e+00	1.007e+00	8.467e-01	8.234e-01	8.900e-01
7.200e+03	1.007e+00	1.007e+00	1.007e+00	8.467e-01	8.234e-01	8.900e-01
7.300e+03	1.007e+00	1.007e+00	1.007e+00	8.467e-01	8.234e-01	8.900e-01
7.400e+03	1.007e+00	1.007e+00	1.007e+00	8.467e-01	8.234e-01	8.900e-01
7.500e+03	1.007e+00	1.007e+00	1.007e+00	8.467e-01	8.234e-01	8.900e-01
7.600e+03	1.007e+00	1.007e+00	1.007e+00	8.467e-01	8.234e-01	8.900e-01
7.700e+03	1.007e+00	1.007e+00	1.007e+00	8.467e-01	8.234e-01	8.900e-01
7.800e+03	1.007e+00	1.007e+00	1.007e+00	8.467e-01	8.234e-01	8.900e-01
7.900e+03	1.007e+00	1.007e+00	1.007e+00	8.467e-01	8.234e-01	8.900e-01
8.000e+03	1.007e+00	1.007e+00	1.007e+00	8.467e-01	8.234e-01	8.900e-01
8.100e+03	1.007e+00	1.007e+00	1.007e+00	8.467e-01	8.234e-01	8.900e-01
8.200e+03	1.007e+00	1.007e+00	1.007e+00	8.467e-01	8.234e-01	8.900e-01
