x	y	progress.rate.q.0.05.0.00.fitness	progress.rate.q.0.05.0.10.fitness	progress.rate.q.0.05.0.25.fitness	progress.rate.q.0.05.0.50.fitness	progress.rate.q.0.05.1.00.fitness
0	0	-2.562e-03	-6.158e-04	-5.556e-04	-5.282e-04	-5.078e-04
0	1	-3.607e-03	-9.562e-04	-6.335e-04	-6.335e-04	-6.335e-04
0	2	-6.486e-03	-2.143e-03	-1.198e-03	-1.184e-03	-1.069e-03
0	3	-6.258e-03	-2.106e-03	-2.106e-03	-2.034e-03	-1.726e-03
0	4	-6.242e-03	-4.072e-03	-3.206e-03	-3.141e-03	-2.917e-03
0	5	-1.209e-02	-6.352e-03	-6.352e-03	-5.133e-03	-4.223e-03
0	6	nan	-1.198e-02	-1.198e-02	-1.115e-02	-7.323e-03
0	7	nan	nan	nan	nan	nan
0	8	nan	nan	nan	nan	nan
0	9	nan	-2.018e-03	4.645e-03	4.645e-03	4.719e-03
1	0	nan	nan	nan	-6.156e-04	-6.156e-04
1	1	nan	nan	nan	nan	-7.315e-04
1	2	nan	nan	nan	nan	nan
1	3	nan	nan	nan	nan	nan
1	4	nan	nan	nan	nan	nan
1	5	nan	nan	nan	nan	nan
1	6	nan	nan	nan	nan	nan
1	7	nan	nan	nan	nan	nan
1	8	nan	nan	nan	nan	nan
1	9	nan	7.754e-03	1.407e-02	1.463e-02	1.482e-02
2	0	nan	nan	nan	nan	nan
2	1	nan	nan	nan	nan	nan
2	2	nan	nan	nan	nan	nan
2	3	nan	nan	nan	nan	nan
2	4	nan	nan	nan	nan	nan
2	5	nan	nan	nan	nan	nan
2	6	nan	nan	nan	nan	nan
2	7	nan	nan	nan	nan	nan
2	8	nan	nan	nan	nan	nan
2	9	nan	1.752e-02	2.277e-02	2.417e-02	2.485e-02
3	0	nan	nan	nan	nan	nan
3	1	nan	nan	nan	nan	nan
3	2	nan	nan	nan	nan	nan
3	3	nan	nan	nan	nan	nan
3	4	nan	nan	nan	nan	nan
3	5	nan	nan	nan	nan	nan
3	6	nan	nan	nan	nan	nan
3	7	nan	nan	nan	nan	nan
3	8	nan	nan	nan	nan	nan
3	9	nan	3.023e-02	3.265e-02	3.399e-02	3.513e-02
4	0	nan	nan	nan	nan	nan
4	1	nan	nan	nan	nan	nan
4	2	nan	nan	nan	nan	nan
4	3	nan	nan	nan	nan	nan
4	4	nan	nan	nan	nan	nan
4	5	nan	nan	nan	nan	nan
4	6	nan	nan	nan	nan	nan
4	7	nan	nan	nan	nan	nan
4	8	nan	nan	nan	nan	nan
4	9	nan	3.940e-02	4.094e-02	4.448e-02	4.527e-02
5	0	nan	nan	nan	nan	nan
5	1	nan	nan	nan	nan	nan
5	2	nan	nan	nan	nan	nan
5	3	nan	nan	nan	nan	nan
5	4	nan	nan	nan	nan	nan
5	5	nan	nan	nan	nan	nan
5	6	nan	nan	nan	nan	nan
5	7	nan	nan	nan	nan	nan
5	8	nan	nan	nan	nan	nan
5	9	4.605e-02	4.943e-02	5.066e-02	5.496e-02	5.496e-02
6	0	nan	nan	nan	nan	nan
6	1	nan	nan	nan	nan	nan
6	2	nan	nan	nan	nan	nan
6	3	nan	nan	nan	nan	nan
6	4	nan	nan	nan	nan	nan
6	5	nan	nan	nan	nan	nan
6	6	nan	nan	nan	nan	nan
6	7	nan	nan	nan	nan	nan
6	8	nan	nan	nan	nan	nan
6	9	nan	5.417e-02	6.355e-02	6.485e-02	6.485e-02
7	0	nan	nan	nan	nan	nan
7	1	nan	nan	nan	nan	nan
7	2	nan	nan	nan	nan	nan
7	3	nan	nan	nan	nan	nan
7	4	nan	nan	nan	nan	nan
7	5	nan	nan	nan	nan	nan
7	6	nan	nan	nan	nan	nan
7	7	nan	nan	nan	nan	nan
7	8	nan	nan	nan	nan	nan
7	9	nan	6.994e-02	7.269e-02	7.447e-02	7.552e-02
8	0	nan	nan	nan	nan	nan
8	1	nan	nan	nan	nan	nan
8	2	nan	nan	nan	nan	nan
8	3	nan	nan	nan	nan	nan
8	4	nan	nan	nan	nan	nan
8	5	nan	nan	nan	nan	nan
8	6	nan	nan	nan	nan	nan
8	7	nan	nan	nan	nan	nan
8	8	nan	nan	nan	nan	nan
8	9	8.329e-02	8.329e-02	8.329e-02	8.487e-02	8.528e-02
9	0	nan	9.998e-01	9.999e-01	9.999e-01	1.000e+00
9	1	nan	4.991e-01	4.992e-01	9.997e-01	9.997e-01
9	2	nan	4.980e-01	4.980e-01	4.983e-01	4.986e-01
9	3	nan	nan	nan	nan	4.936e-01
9	4	nan	nan	nan	nan	nan
9	5	nan	nan	nan	nan	nan
9	6	nan	nan	nan	nan	nan
9	7	nan	nan	nan	nan	nan
9	8	nan	nan	nan	nan	nan
9	9	1.647e-01	9.915e-01	9.915e-01	9.915e-01	9.915e-01
