x	y	progress.rate.q.0.05.0.00.fitness	progress.rate.q.0.05.0.10.fitness	progress.rate.q.0.05.0.25.fitness	progress.rate.q.0.05.0.50.fitness	progress.rate.q.0.05.1.00.fitness
0	0	-8.262e-04	-5.182e-04	-5.162e-04	-5.011e-04	-4.639e-04
0	1	nan	nan	nan	nan	nan
0	2	nan	nan	nan	nan	nan
0	3	nan	1.607e-02	1.609e-02	1.609e-02	1.617e-02
0	4	nan	3.277e-02	3.282e-02	3.282e-02	3.282e-02
0	5	nan	4.937e-02	4.947e-02	4.947e-02	4.948e-02
0	6	nan	8.196e-02	8.265e-02	8.277e-02	8.282e-02
0	7	nan	nan	nan	9.260e-02	9.260e-02
0	8	nan	nan	nan	nan	nan
0	9	nan	nan	nan	nan	nan
1	0	nan	nan	nan	nan	nan
1	1	nan	nan	nan	nan	nan
1	2	nan	nan	nan	nan	nan
1	3	nan	nan	nan	nan	nan
1	4	nan	nan	nan	nan	nan
1	5	nan	nan	nan	nan	nan
1	6	nan	nan	nan	nan	nan
1	7	nan	9.896e-02	9.948e-02	9.948e-02	9.948e-02
1	8	nan	1.495e-01	1.495e-01	1.495e-01	1.495e-01
1	9	nan	1.820e-01	1.827e-01	1.828e-01	1.920e-01
2	0	nan	nan	nan	nan	nan
2	1	nan	nan	nan	nan	nan
2	2	nan	nan	nan	nan	nan
2	3	nan	nan	nan	nan	nan
2	4	nan	nan	nan	nan	nan
2	5	nan	nan	nan	nan	nan
2	6	nan	nan	nan	nan	nan
2	7	nan	nan	nan	nan	nan
2	8	nan	nan	nan	nan	nan
2	9	2.651e-01	2.828e-01	2.829e-01	2.829e-01	2.830e-01
3	0	nan	nan	nan	nan	nan
3	1	nan	nan	nan	nan	nan
3	2	nan	nan	nan	nan	nan
3	3	nan	nan	nan	nan	nan
3	4	nan	nan	nan	nan	nan
3	5	nan	nan	nan	nan	nan
3	6	nan	nan	nan	nan	nan
3	7	nan	nan	nan	nan	nan
3	8	nan	nan	nan	nan	nan
3	9	nan	3.828e-01	3.828e-01	3.828e-01	3.829e-01
4	0	nan	nan	nan	nan	nan
4	1	nan	nan	nan	nan	nan
4	2	nan	nan	nan	nan	nan
4	3	nan	nan	nan	nan	nan
4	4	nan	nan	nan	nan	nan
4	5	nan	nan	nan	nan	nan
4	6	nan	nan	nan	nan	nan
4	7	nan	nan	nan	nan	nan
4	8	nan	nan	nan	nan	nan
4	9	nan	4.825e-01	4.827e-01	4.829e-01	4.830e-01
5	0	nan	nan	nan	nan	nan
5	1	nan	nan	nan	nan	nan
5	2	nan	nan	nan	nan	nan
5	3	nan	nan	nan	nan	nan
5	4	nan	nan	nan	nan	nan
5	5	nan	nan	nan	nan	nan
5	6	nan	nan	nan	nan	nan
5	7	nan	nan	nan	nan	nan
5	8	nan	nan	nan	nan	nan
5	9	nan	5.661e-01	5.662e-01	5.830e-01	5.831e-01
6	0	nan	nan	nan	nan	nan
6	1	nan	nan	nan	nan	nan
6	2	nan	nan	nan	nan	nan
6	3	nan	nan	nan	nan	nan
6	4	nan	nan	nan	nan	nan
6	5	nan	nan	nan	nan	nan
6	6	nan	nan	nan	nan	nan
6	7	nan	nan	nan	nan	nan
6	8	nan	nan	nan	nan	nan
6	9	nan	6.820e-01	6.830e-01	6.831e-01	6.831e-01
7	0	nan	nan	nan	nan	nan
7	1	nan	nan	nan	nan	nan
7	2	nan	nan	nan	nan	nan
7	3	nan	nan	nan	nan	nan
7	4	nan	nan	nan	nan	nan
7	5	nan	nan	nan	nan	nan
7	6	nan	nan	nan	nan	nan
7	7	nan	nan	nan	nan	nan
7	8	nan	nan	nan	nan	nan
7	9	nan	7.828e-01	7.829e-01	7.831e-01	7.831e-01
8	0	nan	nan	nan	nan	nan
8	1	nan	nan	nan	nan	nan
8	2	nan	nan	nan	nan	nan
8	3	nan	nan	nan	nan	nan
8	4	nan	nan	nan	nan	nan
8	5	nan	nan	nan	nan	nan
8	6	nan	nan	nan	nan	nan
8	7	nan	nan	nan	nan	nan
8	8	nan	8.663e-01	8.829e-01	8.830e-01	8.832e-01
8	9	nan	8.162e-01	8.331e-01	8.331e-01	8.331e-01
9	0	nan	1.000e+00	1.000e+00	1.000e+00	1.000e+00
9	1	nan	nan	nan	nan	nan
9	2	nan	nan	nan	nan	nan
9	3	nan	9.829e-01	9.830e-01	9.832e-01	9.833e-01
9	4	nan	9.663e-01	9.663e-01	9.666e-01	9.666e-01
9	5	nan	9.496e-01	9.498e-01	9.498e-01	9.499e-01
9	6	nan	nan	9.330e-01	9.331e-01	9.332e-01
9	7	nan	nan	8.996e-01	8.998e-01	8.999e-01
9	8	nan	nan	nan	nan	nan
9	9	nan	nan	nan	nan	nan
