x	y	progress.rate.q.0.05.0.00.quality.maturePerformance	progress.rate.q.0.05.0.00.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.0.10.quality.maturePerformance	progress.rate.q.0.05.0.10.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.0.25.quality.maturePerformance	progress.rate.q.0.05.0.25.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.0.50.quality.maturePerformance	progress.rate.q.0.05.0.50.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.1.00.quality.maturePerformance	progress.rate.q.0.05.1.00.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.
0	0	nan	nan	3.300e-01	1.097e-02	4.500e-01	7.709e-03	6.500e-01	1.340e-02	7.100e-01	8.712e-03
0	1	nan	nan	6.500e-01	3.009e-02	7.400e-01	9.111e-02	1.000e+00	2.014e-02	1.000e+00	2.014e-02
0	2	nan	nan	4.800e-01	3.729e-02	6.500e-01	3.643e-02	1.000e+00	1.294e-01	1.000e+00	1.294e-01
0	3	nan	nan	2.500e-01	4.436e-02	6.500e-01	6.702e-02	6.500e-01	6.702e-02	1.000e+00	1.500e-01
0	4	nan	nan	6.500e-01	-2.950e-02	6.500e-01	-2.950e-02	6.600e-01	7.510e-02	1.000e+00	1.086e-01
0	5	nan	nan	5.000e-01	6.290e-02	5.000e-01	6.290e-02	6.900e-01	8.100e-02	6.900e-01	8.100e-02
0	6	nan	nan	5.000e-01	7.150e-02	5.900e-01	6.635e-02	8.300e-01	8.862e-02	8.300e-01	8.862e-02
0	7	nan	nan	5.000e-01	2.896e-02	5.700e-01	6.959e-02	5.700e-01	6.959e-02	6.500e-01	3.756e-02
0	8	nan	nan	4.500e-01	7.851e-02	6.500e-01	6.712e-02	6.500e-01	6.712e-02	6.500e-01	6.712e-02
0	9	6.500e-01	-1.690e-01	6.500e-01	-1.690e-01	6.500e-01	-1.690e-01	6.500e-01	-1.690e-01	6.500e-01	-1.690e-01
1	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
1	1	nan	nan	nan	nan	nan	nan	1.000e+00	1.741e-01	1.000e+00	1.741e-01
1	2	nan	nan	nan	nan	nan	nan	1.000e+00	2.443e-01	1.000e+00	2.443e-01
1	3	nan	nan	nan	nan	9.500e-01	1.759e-01	1.000e+00	2.050e-01	1.000e+00	2.050e-01
1	4	nan	nan	7.100e-01	1.113e-01	1.000e+00	2.005e-01	1.000e+00	2.005e-01	1.000e+00	2.005e-01
1	5	nan	nan	nan	nan	7.900e-01	2.469e-01	1.000e+00	1.405e-01	1.000e+00	1.405e-01
1	6	nan	nan	9.300e-01	1.428e-01	9.300e-01	1.428e-01	1.000e+00	2.081e-01	1.000e+00	2.081e-01
1	7	nan	nan	nan	nan	9.300e-01	2.087e-01	1.000e+00	2.048e-01	1.000e+00	2.048e-01
1	8	nan	nan	4.500e-01	1.079e-01	6.800e-01	1.171e-01	1.000e+00	2.065e-01	1.000e+00	2.065e-01
1	9	4.000e-01	2.914e-01	6.500e-01	1.220e-01	8.100e-01	1.894e-01	8.100e-01	1.894e-01	1.000e+00	1.847e-01
2	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
2	1	nan	nan	nan	nan	nan	nan	nan	nan	1.000e+00	2.336e-01
2	2	nan	nan	nan	nan	nan	nan	1.000e+00	2.859e-01	1.000e+00	2.859e-01
2	3	nan	nan	nan	nan	nan	nan	1.000e+00	2.014e-01	1.000e+00	2.014e-01
2	4	nan	nan	nan	nan	nan	nan	1.000e+00	2.561e-01	1.000e+00	2.561e-01
2	5	nan	nan	9.500e-01	2.670e-01	1.000e+00	3.235e-01	1.000e+00	3.235e-01	1.000e+00	3.235e-01
2	6	nan	nan	nan	nan	nan	nan	1.000e+00	2.860e-01	1.000e+00	2.860e-01
2	7	nan	nan	nan	nan	1.000e+00	2.945e-01	1.000e+00	2.945e-01	1.000e+00	2.945e-01
2	8	nan	nan	nan	nan	1.000e+00	2.506e-01	1.000e+00	2.506e-01	1.000e+00	2.506e-01
2	9	4.500e-01	3.572e-01	1.000e+00	2.432e-01	1.000e+00	2.432e-01	1.000e+00	2.432e-01	1.000e+00	2.432e-01
3	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
3	1	nan	nan	nan	nan	nan	nan	nan	nan	1.000e+00	3.354e-01
3	2	nan	nan	nan	nan	1.000e+00	3.802e-01	1.000e+00	3.802e-01	1.000e+00	3.802e-01
3	3	nan	nan	nan	nan	nan	nan	nan	nan	1.000e+00	2.924e-01
3	4	nan	nan	nan	nan	nan	nan	1.000e+00	3.038e-01	1.000e+00	3.038e-01
3	5	nan	nan	nan	nan	nan	nan	1.000e+00	3.376e-01	1.000e+00	3.376e-01
3	6	nan	nan	1.000e+00	3.500e-01	1.000e+00	3.500e-01	1.000e+00	3.500e-01	1.000e+00	3.500e-01
3	7	nan	nan	nan	nan	1.000e+00	3.143e-01	1.000e+00	3.143e-01	1.000e+00	3.143e-01
3	8	nan	nan	nan	nan	1.000e+00	3.960e-01	1.000e+00	3.960e-01	1.000e+00	3.960e-01
3	9	5.000e-01	3.393e-01	1.000e+00	4.113e-01	1.000e+00	4.113e-01	1.000e+00	4.113e-01	1.000e+00	4.113e-01
4	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
4	1	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
4	2	nan	nan	nan	nan	nan	nan	1.000e+00	4.897e-01	1.000e+00	4.897e-01
4	3	nan	nan	nan	nan	1.000e+00	4.985e-01	1.000e+00	4.985e-01	1.000e+00	4.985e-01
4	4	nan	nan	nan	nan	nan	nan	1.000e+00	4.366e-01	1.000e+00	4.366e-01
4	5	nan	nan	nan	nan	1.000e+00	5.804e-01	1.000e+00	5.804e-01	1.000e+00	5.804e-01
4	6	nan	nan	nan	nan	1.000e+00	4.272e-01	1.000e+00	4.272e-01	1.000e+00	4.272e-01
4	7	nan	nan	nan	nan	1.000e+00	5.408e-01	1.000e+00	5.408e-01	1.000e+00	5.408e-01
4	8	nan	nan	nan	nan	nan	nan	1.000e+00	5.603e-01	1.000e+00	5.603e-01
4	9	6.500e-01	3.799e-01	1.000e+00	4.617e-01	1.000e+00	4.617e-01	1.000e+00	4.617e-01	1.000e+00	4.617e-01
5	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
5	1	nan	nan	nan	nan	nan	nan	nan	nan	1.000e+00	5.219e-01
5	2	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
5	3	nan	nan	nan	nan	1.000e+00	5.549e-01	1.000e+00	5.549e-01	1.000e+00	5.549e-01
5	4	nan	nan	nan	nan	1.000e+00	6.006e-01	1.000e+00	6.006e-01	1.000e+00	6.006e-01
5	5	nan	nan	1.000e+00	5.416e-01	1.000e+00	5.416e-01	1.000e+00	5.416e-01	1.000e+00	5.416e-01
5	6	nan	nan	nan	nan	1.000e+00	6.145e-01	1.000e+00	6.145e-01	1.000e+00	6.145e-01
5	7	nan	nan	1.000e+00	5.816e-01	1.000e+00	5.816e-01	1.000e+00	5.816e-01	1.000e+00	5.816e-01
5	8	nan	nan	nan	nan	1.000e+00	6.491e-01	1.000e+00	6.491e-01	1.000e+00	6.491e-01
5	9	6.500e-01	3.960e-01	1.000e+00	6.264e-01	1.000e+00	6.264e-01	1.000e+00	6.264e-01	1.000e+00	6.264e-01
6	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
6	1	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
6	2	nan	nan	nan	nan	1.000e+00	7.029e-01	1.000e+00	7.029e-01	1.000e+00	7.029e-01
6	3	nan	nan	nan	nan	1.000e+00	6.719e-01	1.000e+00	6.719e-01	1.000e+00	6.719e-01
6	4	nan	nan	nan	nan	1.000e+00	6.443e-01	1.000e+00	6.443e-01	1.000e+00	6.443e-01
6	5	nan	nan	1.000e+00	6.741e-01	1.000e+00	6.741e-01	1.000e+00	6.741e-01	1.000e+00	6.741e-01
6	6	nan	nan	nan	nan	1.000e+00	6.957e-01	1.000e+00	6.957e-01	1.000e+00	6.957e-01
6	7	nan	nan	nan	nan	1.000e+00	5.768e-01	1.000e+00	5.768e-01	1.000e+00	5.768e-01
6	8	nan	nan	nan	nan	1.000e+00	7.072e-01	1.000e+00	7.072e-01	1.000e+00	7.072e-01
6	9	nan	nan	1.000e+00	6.017e-01	1.000e+00	6.017e-01	1.000e+00	6.017e-01	1.000e+00	6.017e-01
7	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
7	1	nan	nan	nan	nan	1.000e+00	7.330e-01	1.000e+00	7.330e-01	1.000e+00	7.330e-01
7	2	nan	nan	nan	nan	1.000e+00	8.055e-01	1.000e+00	8.055e-01	1.000e+00	8.055e-01
7	3	nan	nan	1.000e+00	8.220e-01	1.000e+00	8.220e-01	1.000e+00	8.220e-01	1.000e+00	8.220e-01
7	4	nan	nan	nan	nan	1.000e+00	8.476e-01	1.000e+00	8.476e-01	1.000e+00	8.476e-01
