n.evals.q.1.0.	xor._.me.hebbian.network.best.quality.inconsistency	xor._.me.hebbian.network.best.quality.inconsistency.min	xor._.me.hebbian.network.best.quality.inconsistency.max	xor._.me.hebbian.layer.best.quality.inconsistency	xor._.me.hebbian.layer.best.quality.inconsistency.min	xor._.me.hebbian.layer.best.quality.inconsistency.max	xor._.me.hebbian.neuron.best.quality.inconsistency	xor._.me.hebbian.neuron.best.quality.inconsistency.min	xor._.me.hebbian.neuron.best.quality.inconsistency.max	xor._.me.hebbian.synapse.best.quality.inconsistency	xor._.me.hebbian.synapse.best.quality.inconsistency.min	xor._.me.hebbian.synapse.best.quality.inconsistency.max	xor._.me.freeForm.best.quality.inconsistency	xor._.me.freeForm.best.quality.inconsistency.min	xor._.me.freeForm.best.quality.inconsistency.max
1.000e+02	8.643e-01	5.378e-01	8.930e-01	8.660e-01	8.653e-01	8.660e-01	2.020e-01	1.242e-01	3.296e-01	2.993e-01	1.782e-01	7.269e-01	8.656e-01	8.000e-01	8.660e-01
2.000e+02	6.004e-01	4.325e-01	8.660e-01	8.587e-01	6.005e-01	8.660e-01	2.271e-01	1.847e-01	3.089e-01	2.620e-01	1.696e-01	3.247e-01	8.132e-01	7.599e-01	8.660e-01
3.000e+02	6.101e-01	4.320e-01	8.657e-01	6.375e-01	3.241e-01	8.660e-01	2.799e-01	2.059e-01	3.088e-01	2.623e-01	1.760e-01	3.103e-01	7.599e-01	7.599e-01	8.658e-01
4.000e+02	4.605e-01	4.319e-01	8.640e-01	5.523e-01	2.717e-01	7.651e-01	2.579e-01	2.099e-01	3.055e-01	2.623e-01	1.823e-01	3.103e-01	7.599e-01	7.498e-01	8.656e-01
5.000e+02	4.587e-01	4.320e-01	8.507e-01	4.453e-01	2.717e-01	6.702e-01	2.761e-01	2.226e-01	3.055e-01	2.542e-01	1.782e-01	3.064e-01	7.599e-01	7.141e-01	8.607e-01
6.000e+02	4.587e-01	4.320e-01	8.507e-01	4.220e-01	2.089e-01	6.375e-01	2.761e-01	2.312e-01	3.040e-01	2.517e-01	1.782e-01	3.050e-01	7.599e-01	7.141e-01	8.292e-01
7.000e+02	4.587e-01	4.320e-01	8.406e-01	4.322e-01	2.563e-01	6.375e-01	2.761e-01	2.290e-01	3.040e-01	2.603e-01	1.823e-01	3.050e-01	7.599e-01	6.927e-01	7.866e-01
8.000e+02	4.546e-01	4.319e-01	8.354e-01	4.327e-01	2.963e-01	5.210e-01	2.659e-01	2.290e-01	3.040e-01	2.623e-01	1.955e-01	3.064e-01	7.599e-01	6.927e-01	7.866e-01
9.000e+02	4.385e-01	4.319e-01	8.354e-01	4.220e-01	2.611e-01	4.556e-01	2.659e-01	2.290e-01	3.040e-01	2.813e-01	2.138e-01	3.151e-01	7.599e-01	6.927e-01	7.866e-01
1.000e+03	4.404e-01	4.319e-01	8.354e-01	4.158e-01	2.563e-01	4.530e-01	2.659e-01	2.290e-01	3.040e-01	2.813e-01	2.138e-01	3.151e-01	7.599e-01	6.614e-01	7.866e-01
1.100e+03	4.404e-01	4.319e-01	8.343e-01	3.636e-01	2.229e-01	4.453e-01	2.659e-01	2.290e-01	3.040e-01	2.813e-01	1.823e-01	3.151e-01	7.599e-01	6.614e-01	7.599e-01
1.200e+03	4.404e-01	4.319e-01	8.343e-01	3.636e-01	2.493e-01	4.351e-01	2.659e-01	2.290e-01	3.040e-01	2.673e-01	1.823e-01	3.151e-01	7.599e-01	6.614e-01	7.599e-01
1.300e+03	4.404e-01	4.319e-01	8.343e-01	3.122e-01	2.229e-01	4.351e-01	2.659e-01	2.290e-01	3.040e-01	2.673e-01	1.823e-01	3.151e-01	7.599e-01	6.096e-01	7.599e-01
1.400e+03	4.385e-01	4.318e-01	8.314e-01	3.042e-01	1.961e-01	4.351e-01	2.659e-01	2.290e-01	3.040e-01	2.833e-01	1.823e-01	3.249e-01	7.599e-01	6.096e-01	7.599e-01
1.500e+03	4.385e-01	4.318e-01	8.307e-01	3.572e-01	1.961e-01	4.360e-01	2.811e-01	2.290e-01	3.040e-01	2.673e-01	1.823e-01	3.151e-01	7.599e-01	6.000e-01	7.599e-01
1.600e+03	4.385e-01	4.318e-01	8.307e-01	3.572e-01	1.961e-01	4.360e-01	2.811e-01	2.290e-01	3.040e-01	2.833e-01	2.218e-01	3.249e-01	7.599e-01	6.000e-01	7.599e-01
1.700e+03	4.385e-01	4.318e-01	8.307e-01	3.042e-01	1.961e-01	4.360e-01	2.811e-01	2.290e-01	3.040e-01	2.833e-01	2.218e-01	3.249e-01	7.599e-01	5.200e-01	7.599e-01
1.800e+03	4.385e-01	4.318e-01	8.307e-01	3.636e-01	1.961e-01	4.453e-01	2.659e-01	2.226e-01	3.009e-01	2.833e-01	2.218e-01	3.249e-01	7.599e-01	5.200e-01	7.599e-01
1.900e+03	4.385e-01	4.318e-01	8.307e-01	3.177e-01	1.863e-01	4.360e-01	2.535e-01	2.181e-01	2.995e-01	2.833e-01	1.823e-01	3.249e-01	7.599e-01	5.200e-01	7.599e-01
2.000e+03	4.404e-01	4.319e-01	8.314e-01	3.177e-01	1.961e-01	4.344e-01	2.535e-01	2.181e-01	2.995e-01	2.673e-01	1.823e-01	3.176e-01	7.141e-01	4.289e-01	7.599e-01
2.100e+03	4.404e-01	4.319e-01	8.314e-01	3.042e-01	1.961e-01	4.172e-01	2.535e-01	2.181e-01	2.995e-01	2.833e-01	1.840e-01	3.176e-01	7.141e-01	4.289e-01	7.599e-01
