n.evals.q.1.0.	xor._.me.hebbian.network.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	xor._.me.hebbian.network.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.min	xor._.me.hebbian.network.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.max	xor._.me.hebbian.layer.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	xor._.me.hebbian.layer.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.min	xor._.me.hebbian.layer.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.max	xor._.me.hebbian.neuron.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	xor._.me.hebbian.neuron.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.min	xor._.me.hebbian.neuron.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.max	xor._.me.hebbian.synapse.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	xor._.me.hebbian.synapse.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.min	xor._.me.hebbian.synapse.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.max	xor._.me.freeForm.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	xor._.me.freeForm.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.min	xor._.me.freeForm.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.max
1.000e+02	1.975e-01	9.059e-02	4.970e-01	4.315e-01	3.224e-01	4.999e-01	4.136e-01	2.876e-01	4.950e-01	4.162e-01	2.592e-01	4.771e-01	5.000e-01	5.000e-01	5.000e-01
2.000e+02	1.278e-01	7.013e-02	4.256e-01	4.121e-01	3.366e-01	4.984e-01	5.557e-01	3.700e-01	7.957e-01	4.349e-01	2.592e-01	4.997e-01	5.000e-01	5.000e-01	5.000e-01
3.000e+02	7.993e-02	5.815e-02	1.355e-01	3.789e-01	1.547e-01	4.714e-01	5.583e-01	3.448e-01	7.957e-01	4.369e-01	2.592e-01	7.194e-01	5.000e-01	5.000e-01	5.000e-01
4.000e+02	7.993e-02	5.815e-02	1.355e-01	3.789e-01	1.547e-01	4.714e-01	4.906e-01	3.401e-01	6.689e-01	4.941e-01	1.642e-01	7.642e-01	5.000e-01	5.000e-01	5.000e-01
5.000e+02	7.993e-02	5.815e-02	1.355e-01	3.366e-01	8.465e-02	4.598e-01	4.452e-01	3.147e-01	5.372e-01	5.444e-01	2.460e-01	7.803e-01	5.000e-01	5.000e-01	5.000e-01
6.000e+02	7.993e-02	5.815e-02	1.355e-01	2.586e-01	3.823e-02	3.899e-01	4.306e-01	3.147e-01	4.998e-01	5.586e-01	3.225e-01	7.798e-01	5.000e-01	5.000e-01	5.000e-01
7.000e+02	7.993e-02	5.815e-02	1.355e-01	1.940e-01	3.823e-02	3.839e-01	4.218e-01	2.946e-01	4.998e-01	6.105e-01	4.180e-01	7.219e-01	5.000e-01	4.991e-01	5.000e-01
8.000e+02	7.993e-02	5.815e-02	1.355e-01	1.940e-01	3.823e-02	3.789e-01	4.218e-01	2.860e-01	4.965e-01	6.105e-01	4.154e-01	7.219e-01	5.000e-01	4.991e-01	5.000e-01
9.000e+02	7.993e-02	5.815e-02	1.355e-01	1.247e-01	3.362e-02	3.636e-01	4.218e-01	2.860e-01	4.906e-01	6.105e-01	3.767e-01	7.355e-01	5.000e-01	4.991e-01	5.000e-01
1.000e+03	7.993e-02	5.815e-02	1.355e-01	1.127e-01	3.362e-02	3.366e-01	4.204e-01	2.913e-01	4.889e-01	6.105e-01	3.982e-01	7.219e-01	5.000e-01	4.991e-01	5.000e-01
1.100e+03	7.993e-02	5.815e-02	1.355e-01	1.127e-01	3.362e-02	3.096e-01	4.201e-01	2.913e-01	4.876e-01	6.110e-01	3.984e-01	7.219e-01	5.000e-01	4.991e-01	5.000e-01
1.200e+03	7.993e-02	5.815e-02	1.355e-01	1.127e-01	3.362e-02	2.986e-01	3.998e-01	2.860e-01	4.874e-01	6.105e-01	3.984e-01	6.814e-01	5.000e-01	4.991e-01	5.000e-01
