x	y	progress.rate.q.0.05.0.00.quality.maturePerformance	progress.rate.q.0.05.0.00.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.0.10.quality.maturePerformance	progress.rate.q.0.05.0.10.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.0.25.quality.maturePerformance	progress.rate.q.0.05.0.25.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.0.50.quality.maturePerformance	progress.rate.q.0.05.0.50.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.1.00.quality.maturePerformance	progress.rate.q.0.05.1.00.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.
0	0	nan	nan	1.000e+00	3.677e-02	1.000e+00	3.677e-02	1.000e+00	3.677e-02	1.000e+00	3.677e-02
0	1	nan	nan	1.000e+00	6.947e-02	1.000e+00	6.947e-02	1.000e+00	6.947e-02	1.000e+00	6.947e-02
0	2	nan	nan	1.000e+00	8.628e-02	1.000e+00	8.628e-02	1.000e+00	8.628e-02	1.000e+00	8.628e-02
0	3	nan	nan	9.900e-01	8.673e-02	1.000e+00	6.174e-02	1.000e+00	6.174e-02	1.000e+00	6.174e-02
0	4	nan	nan	4.600e-01	4.159e-02	9.200e-01	9.215e-02	9.500e-01	7.688e-02	9.500e-01	7.688e-02
0	5	nan	nan	3.000e-01	6.427e-02	5.200e-01	7.292e-02	5.500e-01	8.519e-02	8.300e-01	7.543e-02
0	6	nan	nan	5.600e-01	5.473e-02	6.500e-01	5.976e-02	6.500e-01	5.976e-02	6.500e-01	5.976e-02
0	7	5.000e-02	-6.303e-02	4.500e-01	9.608e-02	5.600e-01	1.058e-01	5.600e-01	1.058e-01	6.400e-01	9.108e-02
0	8	5.000e-02	6.962e-02	4.000e-01	1.500e-01	4.500e-01	7.578e-02	5.000e-01	6.697e-02	5.000e-01	6.697e-02
0	9	4.500e-01	-3.111e-02	5.400e-01	1.256e-01	5.400e-01	1.256e-01	5.400e-01	1.256e-01	6.100e-01	7.274e-02
1	0	nan	nan	1.000e+00	1.234e-01	1.000e+00	1.234e-01	1.000e+00	1.234e-01	1.000e+00	1.234e-01
1	1	nan	nan	1.000e+00	9.765e-02	1.000e+00	9.765e-02	1.000e+00	9.765e-02	1.000e+00	9.765e-02
1	2	nan	nan	1.000e+00	1.220e-01	1.000e+00	1.220e-01	1.000e+00	1.220e-01	1.000e+00	1.220e-01
1	3	nan	nan	1.000e+00	1.461e-01	1.000e+00	1.461e-01	1.000e+00	1.461e-01	1.000e+00	1.461e-01
1	4	nan	nan	1.000e+00	1.332e-01	1.000e+00	1.332e-01	1.000e+00	1.332e-01	1.000e+00	1.332e-01
1	5	nan	nan	1.000e+00	1.523e-01	1.000e+00	1.523e-01	1.000e+00	1.523e-01	1.000e+00	1.523e-01
1	6	nan	nan	1.000e+00	1.486e-01	1.000e+00	1.486e-01	1.000e+00	1.486e-01	1.000e+00	1.486e-01
1	7	nan	nan	1.000e+00	2.066e-01	1.000e+00	2.066e-01	1.000e+00	2.066e-01	1.000e+00	2.066e-01
1	8	nan	nan	7.000e-01	1.350e-01	9.100e-01	1.230e-01	9.100e-01	1.230e-01	1.000e+00	1.964e-01
1	9	5.000e-02	1.676e-01	8.000e-01	2.058e-01	1.000e+00	1.168e-01	1.000e+00	1.168e-01	1.000e+00	1.168e-01
2	0	nan	nan	nan	nan	nan	nan	1.000e+00	2.225e-01	1.000e+00	2.225e-01
2	1	nan	nan	1.000e+00	2.286e-01	1.000e+00	2.286e-01	1.000e+00	2.286e-01	1.000e+00	2.286e-01
2	2	nan	nan	nan	nan	1.000e+00	2.368e-01	1.000e+00	2.368e-01	1.000e+00	2.368e-01
2	3	nan	nan	nan	nan	1.000e+00	2.228e-01	1.000e+00	2.228e-01	1.000e+00	2.228e-01
2	4	nan	nan	1.000e+00	2.531e-01	1.000e+00	2.531e-01	1.000e+00	2.531e-01	1.000e+00	2.531e-01
2	5	nan	nan	nan	nan	1.000e+00	2.242e-01	1.000e+00	2.242e-01	1.000e+00	2.242e-01
2	6	nan	nan	1.000e+00	2.309e-01	1.000e+00	2.309e-01	1.000e+00	2.309e-01	1.000e+00	2.309e-01
2	7	nan	nan	1.000e+00	1.990e-01	1.000e+00	1.990e-01	1.000e+00	1.990e-01	1.000e+00	1.990e-01
2	8	nan	nan	9.000e-01	2.833e-01	1.000e+00	3.021e-01	1.000e+00	3.021e-01	1.000e+00	3.021e-01
2	9	4.500e-01	2.938e-01	1.000e+00	2.638e-01	1.000e+00	2.638e-01	1.000e+00	2.638e-01	1.000e+00	2.638e-01
3	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
3	1	nan	nan	nan	nan	1.000e+00	2.935e-01	1.000e+00	2.935e-01	1.000e+00	2.935e-01
3	2	nan	nan	1.000e+00	2.923e-01	1.000e+00	2.923e-01	1.000e+00	2.923e-01	1.000e+00	2.923e-01
3	3	nan	nan	1.000e+00	2.934e-01	1.000e+00	2.934e-01	1.000e+00	2.934e-01	1.000e+00	2.934e-01
3	4	nan	nan	1.000e+00	2.535e-01	1.000e+00	2.535e-01	1.000e+00	2.535e-01	1.000e+00	2.535e-01
3	5	nan	nan	1.000e+00	3.824e-01	1.000e+00	3.824e-01	1.000e+00	3.824e-01	1.000e+00	3.824e-01
3	6	nan	nan	1.000e+00	3.645e-01	1.000e+00	3.645e-01	1.000e+00	3.645e-01	1.000e+00	3.645e-01
3	7	nan	nan	1.000e+00	3.239e-01	1.000e+00	3.239e-01	1.000e+00	3.239e-01	1.000e+00	3.239e-01
3	8	nan	nan	1.000e+00	3.390e-01	1.000e+00	3.390e-01	1.000e+00	3.390e-01	1.000e+00	3.390e-01
3	9	6.500e-01	2.903e-01	1.000e+00	2.958e-01	1.000e+00	2.958e-01	1.000e+00	2.958e-01	1.000e+00	2.958e-01
4	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
4	1	nan	nan	1.000e+00	4.669e-01	1.000e+00	4.669e-01	1.000e+00	4.669e-01	1.000e+00	4.669e-01
4	2	nan	nan	nan	nan	1.000e+00	4.213e-01	1.000e+00	4.213e-01	1.000e+00	4.213e-01
4	3	nan	nan	nan	nan	1.000e+00	4.975e-01	1.000e+00	4.975e-01	1.000e+00	4.975e-01
4	4	nan	nan	1.000e+00	4.642e-01	1.000e+00	4.642e-01	1.000e+00	4.642e-01	1.000e+00	4.642e-01
4	5	nan	nan	1.000e+00	3.734e-01	1.000e+00	3.734e-01	1.000e+00	3.734e-01	1.000e+00	3.734e-01
4	6	nan	nan	1.000e+00	4.656e-01	1.000e+00	4.656e-01	1.000e+00	4.656e-01	1.000e+00	4.656e-01
4	7	nan	nan	1.000e+00	4.022e-01	1.000e+00	4.022e-01	1.000e+00	4.022e-01	1.000e+00	4.022e-01
