x	y	progress.rate.q.0.05.0.00.quality.maturePerformance	progress.rate.q.0.05.0.00.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.0.10.quality.maturePerformance	progress.rate.q.0.05.0.10.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.0.25.quality.maturePerformance	progress.rate.q.0.05.0.25.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.0.50.quality.maturePerformance	progress.rate.q.0.05.0.50.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.1.00.quality.maturePerformance	progress.rate.q.0.05.1.00.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.
0	0	5.000e-02	-9.616e-10	5.000e-02	-9.616e-10	2.600e-01	2.408e-06	5.000e-01	1.141e-02	1.000e+00	4.388e-02
0	1	nan	nan	7.000e-02	-3.998e-05	9.000e-02	-2.561e-05	1.000e+00	1.104e-01	1.000e+00	1.104e-01
0	2	nan	nan	9.000e-02	-2.102e-05	1.200e-01	-2.525e-05	1.000e+00	1.043e-01	1.000e+00	1.043e-01
0	3	nan	nan	5.000e-02	-2.451e-10	5.000e-02	-2.451e-10	1.000e+00	2.135e-01	1.000e+00	2.135e-01
0	4	nan	nan	5.000e-02	9.470e-09	5.000e-02	9.470e-09	1.000e+00	2.000e-01	1.000e+00	2.000e-01
0	5	nan	nan	nan	nan	5.000e-02	1.170e-09	8.100e-01	7.110e-02	1.000e+00	2.088e-01
0	6	nan	nan	nan	nan	5.000e-02	-1.978e-08	9.800e-01	7.642e-02	1.000e+00	2.775e-01
0	7	nan	nan	nan	nan	5.000e-02	9.648e-10	6.200e-01	-2.645e-03	1.000e+00	3.293e-01
0	8	nan	nan	nan	nan	5.000e-02	-4.138e-08	5.300e-01	-6.569e-04	6.800e-01	5.899e-02
0	9	4.500e-01	5.000e-01	5.000e-01	5.000e-01	5.500e-01	5.000e-01	6.200e-01	2.373e-02	1.000e+00	2.683e-01
1	0	nan	nan	nan	nan	nan	nan	nan	nan	1.000e+00	1.417e-01
1	1	nan	nan	nan	nan	nan	nan	1.000e+00	7.939e-02	1.000e+00	7.939e-02
1	2	nan	nan	nan	nan	nan	nan	1.000e+00	2.575e-01	1.000e+00	2.575e-01
1	3	nan	nan	nan	nan	nan	nan	1.000e+00	1.622e-01	1.000e+00	1.622e-01
1	4	nan	nan	nan	nan	nan	nan	1.000e+00	1.929e-01	1.000e+00	1.929e-01
1	5	nan	nan	nan	nan	nan	nan	4.100e-01	9.501e-03	1.000e+00	1.992e-01
1	6	nan	nan	nan	nan	nan	nan	8.100e-01	1.089e-01	1.000e+00	2.647e-01
1	7	nan	nan	nan	nan	nan	nan	8.100e-01	7.999e-02	1.000e+00	5.076e-01
1	8	nan	nan	nan	nan	nan	nan	7.900e-01	6.739e-01	1.000e+00	4.767e-01
1	9	4.500e-01	5.000e-01	5.000e-01	1.031e-09	5.500e-01	5.000e-01	1.000e+00	2.541e-01	1.000e+00	2.541e-01
2	0	nan	nan	nan	nan	nan	nan	1.000e+00	8.796e-02	1.000e+00	8.796e-02
2	1	nan	nan	nan	nan	nan	nan	8.100e-01	4.022e-02	1.000e+00	2.704e-01
2	2	nan	nan	nan	nan	nan	nan	1.000e+00	1.172e-01	1.000e+00	1.172e-01
2	3	nan	nan	nan	nan	nan	nan	1.000e+00	5.165e-01	1.000e+00	5.165e-01
2	4	nan	nan	nan	nan	nan	nan	1.000e+00	5.354e-01	1.000e+00	5.354e-01
2	5	nan	nan	nan	nan	nan	nan	1.000e+00	2.029e-01	1.000e+00	2.029e-01
2	6	nan	nan	nan	nan	nan	nan	6.200e-01	5.098e-01	1.000e+00	3.730e-01
2	7	nan	nan	nan	nan	nan	nan	1.000e+00	4.051e-01	1.000e+00	4.051e-01
2	8	nan	nan	nan	nan	nan	nan	nan	nan	1.000e+00	3.411e-01
2	9	4.500e-01	5.000e-01	5.000e-01	1.031e-09	5.500e-01	5.000e-01	8.100e-01	3.427e-01	1.000e+00	6.886e-01
3	0	nan	nan	nan	nan	nan	nan	nan	nan	1.000e+00	4.571e-01
3	1	nan	nan	nan	nan	nan	nan	nan	nan	1.000e+00	2.651e-01
3	2	nan	nan	nan	nan	nan	nan	1.000e+00	4.122e-02	1.000e+00	4.122e-02
3	3	nan	nan	nan	nan	nan	nan	8.100e-01	4.430e-02	1.000e+00	3.626e-01
3	4	nan	nan	nan	nan	nan	nan	nan	nan	1.000e+00	2.067e-01
3	5	nan	nan	nan	nan	nan	nan	1.000e+00	5.091e-01	1.000e+00	5.091e-01
3	6	nan	nan	nan	nan	nan	nan	1.000e+00	3.602e-01	1.000e+00	3.602e-01
3	7	nan	nan	nan	nan	nan	nan	1.000e+00	4.766e-01	1.000e+00	4.766e-01
3	8	nan	nan	nan	nan	nan	nan	nan	nan	1.000e+00	4.852e-01
3	9	4.500e-01	5.000e-01	5.000e-01	1.031e-09	5.500e-01	5.000e-01	1.000e+00	2.667e-01	1.000e+00	2.667e-01
4	0	nan	nan	nan	nan	nan	nan	nan	nan	1.000e+00	5.776e-01
4	1	nan	nan	nan	nan	nan	nan	nan	nan	1.000e+00	3.105e-01
4	2	nan	nan	nan	nan	nan	nan	nan	nan	1.000e+00	2.173e-01
4	3	nan	nan	nan	nan	nan	nan	nan	nan	1.000e+00	2.423e-01
4	4	nan	nan	nan	nan	nan	nan	nan	nan	1.000e+00	6.673e-01
4	5	nan	nan	nan	nan	nan	nan	1.000e+00	8.161e-01	1.000e+00	8.161e-01
4	6	nan	nan	nan	nan	nan	nan	1.000e+00	4.880e-01	1.000e+00	4.880e-01
4	7	nan	nan	nan	nan	nan	nan	1.000e+00	4.591e-01	1.000e+00	4.591e-01
4	8	nan	nan	nan	nan	nan	nan	1.000e+00	5.141e-01	1.000e+00	5.141e-01
4	9	5.000e-01	1.031e-09	5.000e-01	1.031e-09	5.500e-01	5.000e-01	1.000e+00	6.282e-01	1.000e+00	6.282e-01
5	0	nan	nan	nan	nan	nan	nan	nan	nan	1.000e+00	6.015e-01
5	1	nan	nan	nan	nan	nan	nan	nan	nan	1.000e+00	9.227e-01
5	2	nan	nan	nan	nan	nan	nan	nan	nan	1.000e+00	1.920e-01
5	3	nan	nan	nan	nan	nan	nan	nan	nan	1.000e+00	2.180e-01
5	4	nan	nan	nan	nan	nan	nan	nan	nan	1.000e+00	8.824e-01
5	5	nan	nan	nan	nan	nan	nan	nan	nan	1.000e+00	2.085e-01
5	6	nan	nan	nan	nan	nan	nan	nan	nan	1.000e+00	6.565e-01
5	7	nan	nan	nan	nan	nan	nan	nan	nan	1.000e+00	7.100e-01
5	8	nan	nan	nan	nan	nan	nan	nan	nan	1.000e+00	8.499e-01
5	9	2.000e-01	0.000e+00	5.000e-01	5.000e-01	5.500e-01	5.000e-01	7.100e-01	9.225e-01	1.000e+00	4.269e-01
6	0	nan	nan	nan	nan	nan	nan	nan	nan	1.000e+00	8.241e-01
6	1	nan	nan	nan	nan	nan	nan	nan	nan	1.000e+00	8.076e-01
6	2	nan	nan	nan	nan	nan	nan	nan	nan	1.000e+00	4.033e-01
6	3	nan	nan	nan	nan	nan	nan	nan	nan	1.000e+00	2.067e-01
6	4	nan	nan	nan	nan	nan	nan	1.000e+00	6.990e-01	1.000e+00	6.990e-01
6	5	nan	nan	nan	nan	nan	nan	nan	nan	1.000e+00	8.509e-01
6	6	nan	nan	nan	nan	nan	nan	1.000e+00	6.674e-01	1.000e+00	6.674e-01
6	7	nan	nan	nan	nan	nan	nan	nan	nan	1.000e+00	9.088e-01
6	8	nan	nan	nan	nan	nan	nan	1.000e+00	8.786e-01	1.000e+00	8.786e-01
6	9	nan	nan	5.000e-01	1.031e-09	5.500e-01	5.000e-01	7.100e-01	9.947e-01	1.000e+00	7.512e-01
7	0	nan	nan	nan	nan	nan	nan	nan	nan	1.000e+00	9.125e-01
7	1	nan	nan	nan	nan	nan	nan	nan	nan	1.000e+00	9.394e-01
7	2	nan	nan	nan	nan	nan	nan	1.000e+00	9.102e-01	1.000e+00	9.102e-01
7	3	nan	nan	nan	nan	nan	nan	1.000e+00	9.617e-01	1.000e+00	9.617e-01
7	4	nan	nan	nan	nan	nan	nan	1.000e+00	9.721e-01	1.000e+00	9.721e-01
7	5	nan	nan	nan	nan	nan	nan	1.000e+00	9.156e-01	1.000e+00	9.156e-01
7	6	nan	nan	nan	nan	nan	nan	1.000e+00	6.270e-01	1.000e+00	6.270e-01
7	7	nan	nan	nan	nan	nan	nan	1.000e+00	5.085e-01	1.000e+00	5.085e-01
7	8	nan	nan	nan	nan	nan	nan	nan	nan	1.000e+00	8.571e-01
7	9	nan	nan	5.000e-01	1.031e-09	5.500e-01	5.000e-01	1.000e+00	8.005e-01	1.000e+00	8.005e-01
8	0	nan	nan	nan	nan	nan	nan	nan	nan	1.000e+00	9.833e-01
8	1	nan	nan	nan	nan	nan	nan	1.000e+00	9.319e-01	1.000e+00	9.319e-01
8	2	nan	nan	nan	nan	nan	nan	1.000e+00	9.848e-01	1.000e+00	9.848e-01
8	3	nan	nan	nan	nan	nan	nan	1.000e+00	9.476e-01	1.000e+00	9.476e-01
8	4	nan	nan	nan	nan	nan	nan	1.000e+00	9.081e-01	1.000e+00	9.081e-01
8	5	nan	nan	nan	nan	nan	nan	nan	nan	1.000e+00	9.316e-01
8	6	nan	nan	nan	nan	nan	nan	1.000e+00	8.428e-01	1.000e+00	8.428e-01
8	7	nan	nan	nan	nan	nan	nan	nan	nan	1.000e+00	9.657e-01
8	8	nan	nan	nan	nan	nan	nan	nan	nan	1.000e+00	7.396e-01
8	9	nan	nan	5.500e-01	5.000e-01	5.500e-01	5.000e-01	6.000e-01	5.000e-01	1.000e+00	8.840e-01
9	0	nan	nan	nan	nan	nan	nan	1.000e+00	9.775e-01	1.000e+00	9.775e-01
9	1	nan	nan	nan	nan	nan	nan	1.000e+00	9.175e-01	1.000e+00	9.175e-01
9	2	nan	nan	nan	nan	nan	nan	1.000e+00	9.321e-01	1.000e+00	9.321e-01
9	3	nan	nan	nan	nan	nan	nan	nan	nan	1.000e+00	8.457e-01
9	4	nan	nan	nan	nan	nan	nan	nan	nan	1.000e+00	9.296e-01
9	5	nan	nan	nan	nan	nan	nan	nan	nan	1.000e+00	8.898e-01
9	6	nan	nan	nan	nan	nan	nan	nan	nan	1.000e+00	8.420e-01
9	7	nan	nan	nan	nan	nan	nan	nan	nan	1.000e+00	9.184e-01
9	8	nan	nan	nan	nan	nan	nan	nan	nan	1.000e+00	8.386e-01
9	9	nan	nan	4.500e-01	5.000e-01	4.500e-01	5.000e-01	4.500e-01	5.000e-01	1.000e+00	7.986e-01
