x	y	progress.rate.q.0.05.0.00.quality.maturePerformance	progress.rate.q.0.05.0.00.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.0.10.quality.maturePerformance	progress.rate.q.0.05.0.10.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.0.25.quality.maturePerformance	progress.rate.q.0.05.0.25.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.0.50.quality.maturePerformance	progress.rate.q.0.05.0.50.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.1.00.quality.maturePerformance	progress.rate.q.0.05.1.00.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.
0	0	nan	nan	1.000e+00	5.084e-02	1.000e+00	5.084e-02	1.000e+00	5.084e-02	1.000e+00	5.084e-02
0	1	nan	nan	1.000e+00	1.486e-01	1.000e+00	1.486e-01	1.000e+00	1.486e-01	1.000e+00	1.486e-01
0	2	-1.000e+00	-9.700e-01	1.000e+00	6.846e-02	1.000e+00	6.846e-02	1.000e+00	6.846e-02	1.000e+00	6.846e-02
0	3	nan	nan	7.000e-01	1.080e-01	7.000e-01	1.080e-01	9.800e-01	8.437e-02	1.000e+00	8.924e-02
0	4	-5.000e-02	-5.269e-05	4.700e-01	8.017e-02	1.000e+00	9.081e-02	1.000e+00	9.081e-02	1.000e+00	9.081e-02
0	5	-5.000e-02	-1.858e-02	4.700e-01	3.613e-02	6.100e-01	1.271e-01	9.300e-01	7.840e-02	9.300e-01	7.840e-02
0	6	nan	nan	7.400e-01	1.139e-01	9.400e-01	9.377e-02	9.400e-01	9.377e-02	9.500e-01	1.071e-01
0	7	nan	nan	5.100e-01	1.933e-01	5.100e-01	1.933e-01	5.100e-01	1.933e-01	5.400e-01	3.367e-01
0	8	nan	nan	5.000e-01	4.344e-02	5.000e-01	4.344e-02	5.000e-01	4.344e-02	5.000e-01	4.344e-02
0	9	5.000e-02	6.815e-05	5.000e-01	-2.090e-02	5.000e-01	-2.090e-02	5.000e-01	-2.090e-02	6.000e-01	1.918e-01
1	0	nan	nan	1.000e+00	1.001e-01	1.000e+00	1.001e-01	1.000e+00	1.001e-01	1.000e+00	1.001e-01
1	1	nan	nan	1.000e+00	1.860e-01	1.000e+00	1.860e-01	1.000e+00	1.860e-01	1.000e+00	1.860e-01
1	2	nan	nan	1.000e+00	1.030e-01	1.000e+00	1.030e-01	1.000e+00	1.030e-01	1.000e+00	1.030e-01
1	3	nan	nan	1.000e+00	1.638e-01	1.000e+00	1.638e-01	1.000e+00	1.638e-01	1.000e+00	1.638e-01
1	4	nan	nan	1.000e+00	1.735e-01	1.000e+00	1.735e-01	1.000e+00	1.735e-01	1.000e+00	1.735e-01
