x	y	progress.rate.q.0.05.0.00.quality.maturePerformance	progress.rate.q.0.05.0.00.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.0.10.quality.maturePerformance	progress.rate.q.0.05.0.10.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.0.25.quality.maturePerformance	progress.rate.q.0.05.0.25.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.0.50.quality.maturePerformance	progress.rate.q.0.05.0.50.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.1.00.quality.maturePerformance	progress.rate.q.0.05.1.00.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.
0	0	nan	nan	4.800e-01	1.362e-03	6.500e-01	1.996e-03	1.000e+00	4.385e-02	1.000e+00	4.385e-02
0	1	nan	nan	5.000e-01	2.669e-02	1.000e+00	6.370e-02	1.000e+00	6.370e-02	1.000e+00	6.370e-02
0	2	nan	nan	4.500e-01	2.886e-02	4.500e-01	2.886e-02	1.000e+00	1.328e-01	1.000e+00	1.328e-01
0	3	nan	nan	6.500e-01	5.862e-02	9.600e-01	1.074e-01	1.000e+00	1.131e-01	1.000e+00	1.131e-01
0	4	nan	nan	5.700e-01	6.827e-02	6.500e-01	8.116e-02	1.000e+00	1.102e-01	1.000e+00	1.102e-01
0	5	nan	nan	6.500e-01	1.263e-01	6.500e-01	1.263e-01	1.000e+00	1.534e-01	1.000e+00	1.534e-01
0	6	-5.000e-02	-4.398e-06	6.500e-01	8.712e-02	6.500e-01	8.712e-02	6.500e-01	8.712e-02	6.500e-01	8.712e-02
0	7	4.200e-01	7.859e-02	4.500e-01	5.925e-02	6.500e-01	8.878e-02	6.500e-01	8.878e-02	6.500e-01	8.878e-02
0	8	nan	nan	4.500e-01	6.183e-02	6.500e-01	6.467e-02	6.500e-01	6.467e-02	1.000e+00	1.559e-01
0	9	1.500e-01	-7.491e-02	5.000e-01	8.137e-02	6.500e-01	-2.065e-02	6.600e-01	-9.866e-02	6.600e-01	-9.866e-02
1	0	nan	nan	nan	nan	1.000e+00	1.421e-01	1.000e+00	1.421e-01	1.000e+00	1.421e-01
1	1	nan	nan	nan	nan	1.000e+00	1.460e-01	1.000e+00	1.460e-01	1.000e+00	1.460e-01
1	2	nan	nan	nan	nan	1.000e+00	1.292e-01	1.000e+00	1.292e-01	1.000e+00	1.292e-01
1	3	nan	nan	nan	nan	1.000e+00	1.252e-01	1.000e+00	1.252e-01	1.000e+00	1.252e-01
