n.evals.q.1.0.	xor._.me.hebbian.network.best.quality.inconsistency	xor._.me.hebbian.network.best.quality.inconsistency.min	xor._.me.hebbian.network.best.quality.inconsistency.max	xor._.me.hebbian.layer.best.quality.inconsistency	xor._.me.hebbian.layer.best.quality.inconsistency.min	xor._.me.hebbian.layer.best.quality.inconsistency.max	xor._.me.hebbian.neuron.best.quality.inconsistency	xor._.me.hebbian.neuron.best.quality.inconsistency.min	xor._.me.hebbian.neuron.best.quality.inconsistency.max	xor._.me.hebbian.synapse.best.quality.inconsistency	xor._.me.hebbian.synapse.best.quality.inconsistency.min	xor._.me.hebbian.synapse.best.quality.inconsistency.max	xor._.me.freeForm.best.quality.inconsistency	xor._.me.freeForm.best.quality.inconsistency.min	xor._.me.freeForm.best.quality.inconsistency.max
1.000e+02	7.290e-01	5.162e-01	8.930e-01	8.219e-01	5.822e-01	8.559e-01	3.528e-01	1.420e-01	6.675e-01	6.500e-01	4.219e-01	7.225e-01	8.660e-01	8.116e-01	8.660e-01
2.000e+02	7.120e-01	4.600e-01	8.930e-01	5.822e-01	4.392e-01	7.516e-01	2.195e-01	9.660e-02	3.257e-01	4.695e-01	2.559e-01	7.210e-01	8.595e-01	8.000e-01	8.660e-01
3.000e+02	7.120e-01	4.600e-01	8.930e-01	5.251e-01	4.422e-01	6.374e-01	2.224e-01	1.537e-01	2.411e-01	4.047e-01	2.263e-01	7.210e-01	8.352e-01	7.599e-01	8.660e-01
4.000e+02	7.120e-01	4.600e-01	8.930e-01	5.251e-01	4.422e-01	6.340e-01	2.320e-01	2.142e-01	3.257e-01	3.401e-01	2.224e-01	6.500e-01	8.331e-01	7.141e-01	8.660e-01
5.000e+02	7.120e-01	4.600e-01	8.930e-01	5.056e-01	4.392e-01	6.047e-01	2.376e-01	2.218e-01	3.257e-01	3.401e-01	2.224e-01	4.695e-01	8.331e-01	7.109e-01	8.660e-01
6.000e+02	7.120e-01	4.318e-01	8.930e-01	5.032e-01	4.392e-01	5.846e-01	2.487e-01	2.245e-01	3.363e-01	3.401e-01	2.263e-01	4.179e-01	8.331e-01	6.614e-01	8.660e-01
7.000e+02	6.890e-01	4.312e-01	8.921e-01	4.908e-01	4.314e-01	5.846e-01	2.487e-01	2.245e-01	3.363e-01	3.255e-01	2.421e-01	4.065e-01	8.000e-01	6.614e-01	8.655e-01
8.000e+02	6.890e-01	4.312e-01	8.921e-01	4.851e-01	4.177e-01	5.822e-01	2.487e-01	2.245e-01	3.363e-01	3.247e-01	2.598e-01	4.062e-01	8.000e-01	6.614e-01	8.655e-01
9.000e+02	6.890e-01	4.312e-01	8.921e-01	4.851e-01	4.314e-01	5.822e-01	2.487e-01	2.245e-01	3.363e-01	3.247e-01	2.598e-01	4.062e-01	8.000e-01	4.903e-01	8.655e-01
1.000e+03	6.890e-01	4.312e-01	8.921e-01	4.681e-01	3.924e-01	5.370e-01	2.376e-01	2.218e-01	3.363e-01	3.255e-01	2.647e-01	4.065e-01	8.000e-01	3.122e-01	8.655e-01
1.100e+03	6.890e-01	4.312e-01	8.921e-01	4.681e-01	3.924e-01	5.370e-01	2.411e-01	2.218e-01	3.363e-01	3.255e-01	2.598e-01	4.065e-01	7.599e-01	3.122e-01	8.449e-01
1.200e+03	6.890e-01	4.312e-01	8.921e-01	4.681e-01	3.924e-01	5.370e-01	2.411e-01	2.218e-01	3.363e-01	3.247e-01	2.827e-01	3.839e-01	7.141e-01	2.578e-01	8.449e-01
1.300e+03	6.890e-01	4.312e-01	8.921e-01	4.425e-01	3.827e-01	5.288e-01	2.411e-01	2.218e-01	3.363e-01	3.179e-01	2.827e-01	3.839e-01	7.141e-01	1.561e-01	8.352e-01
1.400e+03	5.769e-01	4.312e-01	8.921e-01	4.425e-01	3.924e-01	5.288e-01	2.411e-01	2.218e-01	3.363e-01	3.160e-01	2.827e-01	3.716e-01	7.141e-01	1.561e-01	8.352e-01
1.500e+03	5.769e-01	4.312e-01	8.921e-01	4.422e-01	3.827e-01	5.251e-01	2.411e-01	2.218e-01	3.363e-01	3.179e-01	2.832e-01	3.716e-01	6.606e-01	1.315e-01	7.982e-01
