x	y	progress.rate.q.0.05.0.00.quality.maturePerformance	progress.rate.q.0.05.0.00.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.0.10.quality.maturePerformance	progress.rate.q.0.05.0.10.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.0.25.quality.maturePerformance	progress.rate.q.0.05.0.25.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.0.50.quality.maturePerformance	progress.rate.q.0.05.0.50.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.1.00.quality.maturePerformance	progress.rate.q.0.05.1.00.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.
0	0	nan	nan	1.000e+00	1.020e-01	1.000e+00	1.020e-01	1.000e+00	1.020e-01	1.000e+00	1.020e-01
0	1	nan	nan	1.000e+00	6.999e-02	1.000e+00	6.999e-02	1.000e+00	6.999e-02	1.000e+00	6.999e-02
0	2	-1.000e+00	-3.656e-01	8.800e-01	1.063e-01	1.000e+00	7.707e-02	1.000e+00	7.707e-02	1.000e+00	7.707e-02
0	3	nan	nan	7.100e-01	9.265e-02	7.100e-01	9.265e-02	1.000e+00	9.487e-02	1.000e+00	9.487e-02
0	4	nan	nan	4.700e-01	9.098e-02	8.800e-01	8.681e-02	9.900e-01	9.446e-02	9.900e-01	9.446e-02
0	5	nan	nan	8.800e-01	7.169e-02	8.800e-01	7.169e-02	8.800e-01	7.169e-02	8.800e-01	7.169e-02
0	6	4.500e-01	8.443e-02	4.500e-01	8.443e-02	5.000e-01	8.046e-02	5.700e-01	8.928e-02	6.500e-01	7.882e-02
0	7	-1.000e+00	-9.010e-01	5.000e-01	8.175e-02	5.000e-01	8.175e-02	5.200e-01	2.024e-01	5.200e-01	2.024e-01
0	8	nan	nan	5.000e-01	3.935e-02	5.000e-01	3.935e-02	5.000e-01	3.935e-02	5.000e-01	3.935e-02
0	9	4.500e-01	3.416e-02	5.000e-01	7.496e-02	7.000e-01	2.929e-01	7.000e-01	2.929e-01	7.000e-01	2.929e-01
1	0	nan	nan	1.000e+00	1.365e-01	1.000e+00	1.365e-01	1.000e+00	1.365e-01	1.000e+00	1.365e-01
1	1	nan	nan	1.000e+00	1.884e-01	1.000e+00	1.884e-01	1.000e+00	1.884e-01	1.000e+00	1.884e-01
1	2	nan	nan	1.000e+00	1.929e-01	1.000e+00	1.929e-01	1.000e+00	1.929e-01	1.000e+00	1.929e-01
1	3	nan	nan	1.000e+00	1.916e-01	1.000e+00	1.916e-01	1.000e+00	1.916e-01	1.000e+00	1.916e-01
1	4	nan	nan	1.000e+00	1.922e-01	1.000e+00	1.922e-01	1.000e+00	1.922e-01	1.000e+00	1.922e-01
1	5	nan	nan	1.000e+00	1.531e-01	1.000e+00	1.531e-01	1.000e+00	1.531e-01	1.000e+00	1.531e-01
1	6	nan	nan	1.000e+00	2.020e-01	1.000e+00	2.020e-01	1.000e+00	2.020e-01	1.000e+00	2.020e-01
1	7	nan	nan	1.000e+00	2.023e-01	1.000e+00	2.023e-01	1.000e+00	2.023e-01	1.000e+00	2.023e-01
1	8	nan	nan	6.000e-01	1.895e-01	8.900e-01	2.437e-01	9.000e-01	1.340e-01	1.000e+00	1.922e-01
1	9	4.500e-01	1.899e-01	6.900e-01	1.606e-01	9.700e-01	1.743e-01	1.000e+00	1.886e-01	1.000e+00	1.886e-01
2	0	nan	nan	nan	nan	1.000e+00	2.583e-01	1.000e+00	2.583e-01	1.000e+00	2.583e-01
2	1	nan	nan	1.000e+00	2.106e-01	1.000e+00	2.106e-01	1.000e+00	2.106e-01	1.000e+00	2.106e-01
2	2	nan	nan	1.000e+00	2.956e-01	1.000e+00	2.956e-01	1.000e+00	2.956e-01	1.000e+00	2.956e-01
2	3	nan	nan	1.000e+00	2.306e-01	1.000e+00	2.306e-01	1.000e+00	2.306e-01	1.000e+00	2.306e-01
2	4	nan	nan	1.000e+00	2.432e-01	1.000e+00	2.432e-01	1.000e+00	2.432e-01	1.000e+00	2.432e-01
2	5	nan	nan	1.000e+00	3.106e-01	1.000e+00	3.106e-01	1.000e+00	3.106e-01	1.000e+00	3.106e-01
2	6	nan	nan	1.000e+00	2.283e-01	1.000e+00	2.283e-01	1.000e+00	2.283e-01	1.000e+00	2.283e-01
2	7	nan	nan	1.000e+00	2.215e-01	1.000e+00	2.215e-01	1.000e+00	2.215e-01	1.000e+00	2.215e-01
2	8	1.000e+00	2.952e-01	1.000e+00	2.952e-01	1.000e+00	2.952e-01	1.000e+00	2.952e-01	1.000e+00	2.952e-01
2	9	5.000e-01	2.542e-01	1.000e+00	2.905e-01	1.000e+00	2.905e-01	1.000e+00	2.905e-01	1.000e+00	2.905e-01
3	0	nan	nan	nan	nan	nan	nan	nan	nan	1.000e+00	3.817e-01
3	1	nan	nan	1.000e+00	3.312e-01	1.000e+00	3.312e-01	1.000e+00	3.312e-01	1.000e+00	3.312e-01
3	2	nan	nan	1.000e+00	3.188e-01	1.000e+00	3.188e-01	1.000e+00	3.188e-01	1.000e+00	3.188e-01
3	3	nan	nan	1.000e+00	3.862e-01	1.000e+00	3.862e-01	1.000e+00	3.862e-01	1.000e+00	3.862e-01
3	4	nan	nan	1.000e+00	3.888e-01	1.000e+00	3.888e-01	1.000e+00	3.888e-01	1.000e+00	3.888e-01
3	5	nan	nan	1.000e+00	3.546e-01	1.000e+00	3.546e-01	1.000e+00	3.546e-01	1.000e+00	3.546e-01
3	6	nan	nan	1.000e+00	3.852e-01	1.000e+00	3.852e-01	1.000e+00	3.852e-01	1.000e+00	3.852e-01
3	7	nan	nan	1.000e+00	3.403e-01	1.000e+00	3.403e-01	1.000e+00	3.403e-01	1.000e+00	3.403e-01
3	8	nan	nan	1.000e+00	3.832e-01	1.000e+00	3.832e-01	1.000e+00	3.832e-01	1.000e+00	3.832e-01
3	9	4.500e-01	3.948e-01	1.000e+00	3.571e-01	1.000e+00	3.571e-01	1.000e+00	3.571e-01	1.000e+00	3.571e-01
4	0	nan	nan	nan	nan	nan	nan	nan	nan	1.000e+00	4.436e-01
4	1	nan	nan	1.000e+00	4.307e-01	1.000e+00	4.307e-01	1.000e+00	4.307e-01	1.000e+00	4.307e-01
4	2	nan	nan	1.000e+00	4.442e-01	1.000e+00	4.442e-01	1.000e+00	4.442e-01	1.000e+00	4.442e-01
4	3	nan	nan	1.000e+00	4.230e-01	1.000e+00	4.230e-01	1.000e+00	4.230e-01	1.000e+00	4.230e-01
4	4	nan	nan	1.000e+00	4.525e-01	1.000e+00	4.525e-01	1.000e+00	4.525e-01	1.000e+00	4.525e-01
4	5	nan	nan	1.000e+00	4.882e-01	1.000e+00	4.882e-01	1.000e+00	4.882e-01	1.000e+00	4.882e-01
4	6	nan	nan	1.000e+00	4.780e-01	1.000e+00	4.780e-01	1.000e+00	4.780e-01	1.000e+00	4.780e-01
4	7	nan	nan	1.000e+00	4.926e-01	1.000e+00	4.926e-01	1.000e+00	4.926e-01	1.000e+00	4.926e-01
4	8	nan	nan	1.000e+00	4.570e-01	1.000e+00	4.570e-01	1.000e+00	4.570e-01	1.000e+00	4.570e-01
4	9	4.500e-01	4.859e-01	1.000e+00	4.943e-01	1.000e+00	4.943e-01	1.000e+00	4.943e-01	1.000e+00	4.943e-01
5	0	nan	nan	nan	nan	nan	nan	nan	nan	1.000e+00	4.959e-01
5	1	nan	nan	nan	nan	1.000e+00	5.940e-01	1.000e+00	5.940e-01	1.000e+00	5.940e-01
5	2	nan	nan	1.000e+00	5.654e-01	1.000e+00	5.654e-01	1.000e+00	5.654e-01	1.000e+00	5.654e-01
5	3	nan	nan	1.000e+00	5.893e-01	1.000e+00	5.893e-01	1.000e+00	5.893e-01	1.000e+00	5.893e-01
5	4	nan	nan	1.000e+00	6.180e-01	1.000e+00	6.180e-01	1.000e+00	6.180e-01	1.000e+00	6.180e-01
5	5	nan	nan	1.000e+00	5.264e-01	1.000e+00	5.264e-01	1.000e+00	5.264e-01	1.000e+00	5.264e-01
5	6	nan	nan	1.000e+00	5.796e-01	1.000e+00	5.796e-01	1.000e+00	5.796e-01	1.000e+00	5.796e-01
