x	y	progress.rate.q.0.05.0.00.quality.maturePerformance	progress.rate.q.0.05.0.00.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.0.10.quality.maturePerformance	progress.rate.q.0.05.0.10.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.0.25.quality.maturePerformance	progress.rate.q.0.05.0.25.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.0.50.quality.maturePerformance	progress.rate.q.0.05.0.50.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.1.00.quality.maturePerformance	progress.rate.q.0.05.1.00.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.
0	0	1.000e-02	1.689e-07	2.800e-01	-3.260e-07	4.500e-01	2.166e-05	1.000e+00	9.989e-01	1.000e+00	9.989e-01
0	1	nan	nan	4.500e-01	1.395e-04	4.500e-01	1.395e-04	1.000e+00	9.738e-01	1.000e+00	9.738e-01
0	2	nan	nan	4.500e-01	3.171e-04	4.500e-01	3.171e-04	1.000e+00	8.264e-01	1.000e+00	8.264e-01
0	3	nan	nan	4.500e-01	3.418e-04	4.500e-01	3.418e-04	1.000e+00	9.248e-01	1.000e+00	9.248e-01
0	4	nan	nan	4.500e-01	1.287e-03	4.500e-01	1.287e-03	1.000e+00	9.121e-01	1.000e+00	9.121e-01
0	5	nan	nan	2.600e-01	4.600e-04	4.500e-01	1.345e-03	1.000e+00	9.632e-01	1.000e+00	9.632e-01
0	6	nan	nan	4.500e-01	1.277e-03	4.500e-01	1.277e-03	1.000e+00	8.759e-01	1.000e+00	8.759e-01
0	7	nan	nan	4.500e-01	3.800e-03	4.500e-01	3.800e-03	1.000e+00	9.276e-01	1.000e+00	9.276e-01
0	8	nan	nan	4.500e-01	4.121e-03	4.500e-01	4.121e-03	1.000e+00	8.403e-01	1.000e+00	8.403e-01
0	9	4.500e-01	5.000e-01	5.000e-01	5.000e-01	5.000e-01	5.000e-01	1.000e+00	6.933e-01	1.000e+00	6.933e-01
1	0	nan	nan	nan	nan	nan	nan	1.000e+00	9.996e-01	1.000e+00	9.996e-01
1	1	nan	nan	nan	nan	nan	nan	1.000e+00	9.857e-01	1.000e+00	9.857e-01
1	2	nan	nan	nan	nan	nan	nan	1.000e+00	9.822e-01	1.000e+00	9.822e-01
1	3	nan	nan	nan	nan	nan	nan	1.000e+00	9.512e-01	1.000e+00	9.512e-01
1	4	nan	nan	nan	nan	nan	nan	1.000e+00	8.071e-01	1.000e+00	8.071e-01
1	5	nan	nan	nan	nan	nan	nan	1.000e+00	8.668e-01	1.000e+00	8.668e-01
1	6	nan	nan	nan	nan	nan	nan	1.000e+00	7.816e-01	1.000e+00	7.816e-01
1	7	nan	nan	nan	nan	nan	nan	1.000e+00	8.141e-01	1.000e+00	8.141e-01
1	8	nan	nan	nan	nan	nan	nan	1.000e+00	9.768e-01	1.000e+00	9.768e-01
1	9	4.500e-01	5.000e-01	5.000e-01	5.000e-01	5.000e-01	5.000e-01	1.000e+00	8.312e-01	1.000e+00	8.312e-01
2	0	nan	nan	nan	nan	nan	nan	1.000e+00	9.998e-01	1.000e+00	9.998e-01
2	1	nan	nan	nan	nan	nan	nan	1.000e+00	9.552e-01	1.000e+00	9.552e-01
2	2	nan	nan	nan	nan	nan	nan	1.000e+00	8.840e-01	1.000e+00	8.840e-01
2	3	nan	nan	nan	nan	nan	nan	1.000e+00	9.523e-01	1.000e+00	9.523e-01
2	4	nan	nan	nan	nan	nan	nan	1.000e+00	9.413e-01	1.000e+00	9.413e-01
2	5	nan	nan	nan	nan	nan	nan	1.000e+00	8.686e-01	1.000e+00	8.686e-01
2	6	nan	nan	nan	nan	nan	nan	1.000e+00	9.048e-01	1.000e+00	9.048e-01
2	7	nan	nan	nan	nan	nan	nan	1.000e+00	8.750e-01	1.000e+00	8.750e-01
2	8	nan	nan	nan	nan	nan	nan	1.000e+00	7.880e-01	1.000e+00	7.880e-01
2	9	5.000e-01	5.000e-01	5.500e-01	-5.000e-01	5.500e-01	-5.000e-01	1.000e+00	9.060e-01	1.000e+00	9.060e-01
3	0	nan	nan	nan	nan	nan	nan	1.000e+00	9.968e-01	1.000e+00	9.968e-01
3	1	nan	nan	nan	nan	nan	nan	1.000e+00	9.967e-01	1.000e+00	9.967e-01
3	2	nan	nan	nan	nan	nan	nan	1.000e+00	8.486e-01	1.000e+00	8.486e-01
3	3	nan	nan	nan	nan	nan	nan	1.000e+00	7.321e-01	1.000e+00	7.321e-01
3	4	nan	nan	nan	nan	nan	nan	1.000e+00	9.293e-01	1.000e+00	9.293e-01
3	5	nan	nan	nan	nan	nan	nan	1.000e+00	9.723e-01	1.000e+00	9.723e-01
3	6	nan	nan	nan	nan	nan	nan	1.000e+00	7.751e-01	1.000e+00	7.751e-01
3	7	nan	nan	nan	nan	nan	nan	1.000e+00	7.199e-01	1.000e+00	7.199e-01
3	8	nan	nan	nan	nan	nan	nan	1.000e+00	9.050e-01	1.000e+00	9.050e-01
3	9	4.500e-01	5.000e-01	5.500e-01	-5.000e-01	5.500e-01	-5.000e-01	1.000e+00	7.281e-01	1.000e+00	7.281e-01
4	0	nan	nan	nan	nan	nan	nan	1.000e+00	9.999e-01	1.000e+00	9.999e-01
4	1	nan	nan	nan	nan	nan	nan	1.000e+00	9.799e-01	1.000e+00	9.799e-01
4	2	nan	nan	nan	nan	nan	nan	1.000e+00	9.746e-01	1.000e+00	9.746e-01
4	3	nan	nan	nan	nan	nan	nan	1.000e+00	9.674e-01	1.000e+00	9.674e-01
4	4	nan	nan	nan	nan	nan	nan	1.000e+00	9.508e-01	1.000e+00	9.508e-01
4	5	nan	nan	nan	nan	nan	nan	1.000e+00	9.072e-01	1.000e+00	9.072e-01
4	6	nan	nan	nan	nan	nan	nan	1.000e+00	9.431e-01	1.000e+00	9.431e-01
4	7	nan	nan	nan	nan	nan	nan	1.000e+00	9.594e-01	1.000e+00	9.594e-01
4	8	nan	nan	nan	nan	nan	nan	1.000e+00	9.802e-01	1.000e+00	9.802e-01
4	9	4.500e-01	5.000e-01	5.500e-01	-5.000e-01	5.500e-01	-5.000e-01	1.000e+00	8.502e-01	1.000e+00	8.502e-01
5	0	nan	nan	nan	nan	nan	nan	1.000e+00	9.711e-01	1.000e+00	9.711e-01
