x	y	progress.rate.q.0.05.0.00.quality.maturePerformance	progress.rate.q.0.05.0.00.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.0.10.quality.maturePerformance	progress.rate.q.0.05.0.10.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.0.25.quality.maturePerformance	progress.rate.q.0.05.0.25.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.0.50.quality.maturePerformance	progress.rate.q.0.05.0.50.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.1.00.quality.maturePerformance	progress.rate.q.0.05.1.00.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.
0	0	nan	nan	3.500e-01	1.025e-02	5.000e-01	8.082e-03	5.000e-01	8.082e-03	5.000e-01	8.082e-03
0	1	nan	nan	3.800e-01	5.797e-03	5.000e-01	2.601e-02	5.000e-01	2.601e-02	5.000e-01	2.601e-02
0	2	2.000e-02	-1.545e-04	4.500e-01	3.306e-02	5.000e-01	4.293e-02	5.000e-01	4.293e-02	5.000e-01	4.293e-02
0	3	nan	nan	5.000e-01	3.520e-02	5.000e-01	3.520e-02	5.000e-01	3.520e-02	5.000e-01	3.520e-02
0	4	nan	nan	5.000e-01	5.218e-02	5.000e-01	5.218e-02	5.000e-01	5.218e-02	5.000e-01	5.218e-02
0	5	nan	nan	5.000e-01	7.665e-02	5.000e-01	7.665e-02	5.000e-01	7.665e-02	5.000e-01	7.665e-02
0	6	nan	nan	4.500e-01	6.156e-02	5.000e-01	9.143e-02	5.000e-01	9.143e-02	5.000e-01	9.143e-02
0	7	nan	nan	5.000e-01	6.902e-02	5.000e-01	6.902e-02	5.000e-01	6.902e-02	5.000e-01	6.902e-02
0	8	-5.000e-02	-2.670e-04	5.000e-01	1.141e-01	5.000e-01	1.141e-01	5.000e-01	1.141e-01	5.000e-01	1.141e-01
0	9	5.000e-02	-1.012e-02	5.000e-01	1.452e-01	5.000e-01	1.452e-01	5.000e-01	1.452e-01	5.000e-01	1.452e-01
1	0	nan	nan	5.000e-02	-8.754e-07	1.400e-01	-9.079e-06	1.400e-01	-9.079e-06	1.400e-01	-9.079e-06
1	1	nan	nan	5.000e-02	-1.850e-05	3.000e-01	-4.506e-06	3.000e-01	-4.506e-06	3.000e-01	-4.506e-06
1	2	nan	nan	5.000e-02	-3.856e-05	5.000e-02	-3.856e-05	2.400e-01	-2.165e-07	2.400e-01	-2.165e-07
1	3	nan	nan	5.000e-02	-4.452e-05	5.000e-02	-4.452e-05	5.000e-02	-4.452e-05	2.400e-01	-1.289e-03
1	4	nan	nan	-5.000e-02	-3.729e-04	3.500e-01	4.030e-02	5.000e-01	5.545e-02	5.000e-01	5.545e-02
1	5	nan	nan	5.000e-02	-1.459e-04	5.000e-01	4.603e-02	5.000e-01	4.603e-02	5.000e-01	4.603e-02
1	6	nan	nan	5.000e-01	7.962e-02	5.000e-01	7.962e-02	5.000e-01	7.962e-02	5.000e-01	7.962e-02
1	7	nan	nan	5.000e-01	1.009e-01	5.000e-01	1.009e-01	5.000e-01	1.009e-01	5.000e-01	1.009e-01
1	8	nan	nan	5.000e-01	1.025e-01	5.000e-01	1.025e-01	5.000e-01	1.025e-01	5.000e-01	1.025e-01
1	9	5.000e-02	1.905e-01	5.500e-01	2.740e-01	5.500e-01	2.740e-01	5.500e-01	2.740e-01	5.500e-01	2.740e-01
2	0	nan	nan	nan	nan	5.000e-02	-2.013e-04	5.000e-02	-2.013e-04	5.000e-02	-2.013e-04
2	1	nan	nan	nan	nan	5.000e-02	-2.296e-06	5.000e-02	-2.296e-06	5.000e-02	-2.296e-06
2	2	nan	nan	5.000e-02	-7.599e-07	5.000e-02	-7.599e-07	5.000e-02	-7.599e-07	5.000e-02	-7.599e-07
2	3	nan	nan	5.000e-02	-4.810e-04	5.000e-02	-4.810e-04	5.000e-02	-4.810e-04	5.000e-02	-4.810e-04
2	4	nan	nan	nan	nan	5.000e-02	-6.560e-07	5.000e-02	-6.560e-07	5.000e-02	-6.560e-07
2	5	nan	nan	nan	nan	5.000e-02	-9.942e-07	5.000e-02	-9.942e-07	5.000e-02	-9.942e-07
2	6	nan	nan	5.000e-02	-4.956e-05	5.000e-02	-4.956e-05	5.000e-02	-4.956e-05	5.000e-02	-4.956e-05
2	7	nan	nan	5.000e-02	-5.523e-06	5.000e-02	-5.523e-06	5.000e-02	-5.523e-06	5.000e-02	-5.523e-06
2	8	nan	nan	nan	nan	5.000e-02	-1.441e-09	5.000e-02	-1.441e-09	5.000e-02	-1.441e-09
2	9	4.500e-01	2.894e-01	5.500e-01	2.826e-01	5.500e-01	2.826e-01	5.500e-01	2.826e-01	5.500e-01	2.826e-01
3	0	nan	nan	nan	nan	nan	nan	5.000e-02	-1.706e-07	5.000e-02	-1.706e-07
3	1	nan	nan	nan	nan	nan	nan	5.000e-02	-8.767e-05	5.000e-02	-8.767e-05
3	2	nan	nan	nan	nan	nan	nan	5.000e-02	-2.782e-04	5.000e-02	-2.782e-04
3	3	nan	nan	nan	nan	nan	nan	5.000e-02	-6.138e-07	5.000e-02	-6.138e-07
3	4	nan	nan	nan	nan	nan	nan	5.000e-02	-1.904e-04	5.000e-02	-1.904e-04
3	5	nan	nan	nan	nan	nan	nan	5.000e-02	-2.964e-06	5.000e-02	-2.964e-06
3	6	nan	nan	nan	nan	nan	nan	5.000e-02	-3.636e-04	5.000e-02	-3.636e-04
3	7	nan	nan	nan	nan	nan	nan	5.000e-02	-6.587e-06	5.000e-02	-6.587e-06
3	8	nan	nan	nan	nan	nan	nan	5.000e-02	-3.208e-05	5.000e-02	-3.208e-05
3	9	nan	nan	5.000e-01	4.724e-01	5.000e-01	4.724e-01	5.000e-01	4.724e-01	5.000e-01	4.724e-01
4	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
4	1	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
4	2	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
4	3	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
4	4	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
4	5	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
4	6	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
4	7	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
4	8	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
4	9	5.000e-01	4.997e-01	5.000e-01	4.997e-01	5.000e-01	4.997e-01	5.000e-01	4.997e-01	5.000e-01	4.997e-01
5	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
5	1	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
5	2	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
5	3	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
5	4	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
5	5	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
5	6	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
5	7	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
5	8	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
5	9	5.000e-01	5.000e-01	5.000e-01	5.000e-01	5.000e-01	5.000e-01	5.000e-01	5.000e-01	5.000e-01	5.000e-01
6	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
6	1	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
6	2	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
6	3	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
6	4	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
6	5	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
6	6	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
6	7	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
6	8	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
6	9	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
7	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
7	1	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
7	2	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
7	3	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
7	4	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
7	5	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
7	6	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
7	7	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
7	8	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
7	9	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
8	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
8	1	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
8	2	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
8	3	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
8	4	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
8	5	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
8	6	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
8	7	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
8	8	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
8	9	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
9	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
9	1	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
9	2	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
9	3	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
9	4	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
9	5	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
9	6	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
9	7	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
9	8	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
9	9	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
