x	y	progress.rate.q.0.05.0.00.quality.maturePerformance	progress.rate.q.0.05.0.00.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.0.10.quality.maturePerformance	progress.rate.q.0.05.0.10.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.0.25.quality.maturePerformance	progress.rate.q.0.05.0.25.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.0.50.quality.maturePerformance	progress.rate.q.0.05.0.50.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	progress.rate.q.0.05.1.00.quality.maturePerformance	progress.rate.q.0.05.1.00.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.
0	0	nan	nan	-1.000e+00	-1.000e+00	-1.000e+00	-1.000e+00	-1.000e+00	-1.000e+00	-1.000e+00	-1.000e+00
0	1	nan	nan	-1.000e+00	-9.877e-01	-1.000e+00	-9.877e-01	-1.000e+00	-9.877e-01	-1.000e+00	-9.877e-01
0	2	nan	nan	-1.000e+00	-9.917e-01	-1.000e+00	-9.917e-01	-1.000e+00	-9.917e-01	-1.000e+00	-9.917e-01
0	3	nan	nan	-1.000e+00	-9.653e-01	-1.000e+00	-9.653e-01	-9.900e-01	-9.846e-01	7.300e-01	7.846e-02
0	4	nan	nan	-1.000e+00	-9.330e-01	-1.000e+00	-9.330e-01	-9.400e-01	-9.969e-01	2.400e-01	7.158e-02
0	5	nan	nan	-1.000e+00	-9.824e-01	-1.000e+00	-9.824e-01	-9.300e-01	-5.739e-01	3.500e-01	9.475e-02
0	6	nan	nan	-1.000e+00	-9.681e-01	-1.000e+00	-9.681e-01	6.400e-01	-2.655e-02	6.400e-01	-2.655e-02
0	7	nan	nan	-1.000e+00	-8.957e-01	-9.800e-01	-7.282e-01	-9.800e-01	-7.282e-01	5.600e-01	1.040e-02
0	8	nan	nan	-1.000e+00	-9.133e-01	-1.000e+00	-9.133e-01	-4.000e-01	-1.425e-01	1.600e-01	6.788e-02
0	9	1.500e-01	-1.644e-01	2.800e-01	6.000e-02	5.000e-01	1.265e-02	6.500e-01	1.503e-01	6.500e-01	1.503e-01
1	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
1	1	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
1	2	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
1	3	nan	nan	nan	nan	nan	nan	9.600e-01	1.606e-01	9.600e-01	1.606e-01
1	4	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
1	5	nan	nan	nan	nan	nan	nan	nan	nan	5.800e-01	1.117e-01
1	6	nan	nan	nan	nan	nan	nan	nan	nan	3.600e-01	1.104e-01
